region,D,eta,mu_full,mu_base,mu_cf,chi2_full,chi2_base,chi2_cf,delta_base,delta_cf,abs_delta_base,abs_delta_cf,abs_improvement,cf_shift_vs_base,improved,worsened,obs_acceptance_flip_vs_base
D21_guard,6.4,2.575,59.87906172356024,57.776892281520766,58.48757182851954,21373.754125424806,19864.71239576372,20368.69285797736,-2.102169442039475,-1.3914898950406993,2.102169442039475,1.3914898950406993,0.7106795469987759,0.7106795469987759,1.0,0.0,0.0
D21_guard,6.4,2.6700000000000004,59.87913790457715,57.77697098120234,58.48765076052046,21373.809812890955,19864.767856345818,20368.7491834697,-2.10216692337481,-1.3914871440566898,2.10216692337481,1.3914871440566898,0.7106797793181201,0.7106797793181201,1.0,0.0,0.0
D21_guard,6.4,2.765,59.87921408528987,57.77704968098772,58.487729692604084,21373.86550020728,19864.82331707848,20368.805509098933,-2.102164404302144,-1.3914843926857827,2.102164404302144,1.3914843926857827,0.7106800116163612,0.7106800116163612,1.0,0.0,0.0
D21_guard,6.4,2.8600000000000003,59.879290265719426,57.77712838096543,58.48780862493843,21373.92118738916,19864.87877802411,20368.861834984968,-2.102161884753997,-1.3914816407809951,2.102161884753997,1.3914816407809951,0.7106802439730018,0.7106802439730018,1.0,0.0,0.0
D21_guard,6.4,2.955,59.879366445892664,57.77720708109637,58.48788755736251,21373.976874456228,19864.93423915514,20368.91816101291,-2.102159364796293,-1.391478888530152,2.102159364796293,1.391478888530152,0.7106804762661412,0.7106804762661412,1.0,0.0,0.0
D21_guard,6.4,3.0500000000000003,59.87944262575423,57.77728578137421,58.487966489956044,21374.032561368,19864.98970046712,20368.97448723965,-2.102156844380019,-1.391476135798186,2.102156844380019,1.391476135798186,0.7106807085818332,0.7106807085818332,1.0,0.0,0.0
D21_guard,6.4,3.145,59.87951880535389,57.77736448181141,58.488045422693894,21374.088248160864,19865.04516196881,20369.030813647256,-2.1021543235424787,-1.3914733826599957,2.1021543235424787,1.3914733826599957,0.710680940882483,0.710680940882483,1.0,0.0,0.0
D21_guard,6.4,3.24,59.87959498467501,57.7774431824288,58.48812435561462,21374.143934822667,19865.10062367492,20369.08714026324,-2.102151802246212,-1.391470629060386,2.102151802246212,1.391470629060386,0.7106811731858258,0.7106811731858258,1.0,0.0,0.0
D21_guard,6.4,3.3350000000000004,59.87967116364688,57.77752188314878,58.4882032886615,21374.1996213017,19865.156085530747,20369.143467047135,-2.1021492804981037,-1.3914678749853806,2.1021492804981037,1.3914678749853806,0.7106814055127231,0.7106814055127231,1.0,0.0,0.0
D21_guard,6.4,3.43,59.879747342371076,57.77760058406029,58.488282221902345,21374.255307672225,19865.211547598963,20369.19979404732,-2.102146758310788,-1.3914651204687303,2.102146758310788,1.3914651204687303,0.7106816378420575,0.7106816378420575,1.0,0.0,0.0
D21_guard,6.4,3.5250000000000004,59.87982352083106,57.77767928510412,58.48836115528039,21374.31099392215,19865.26700983786,20369.256121223287,-2.1021442357269393,-1.391462365550673,2.1021442357269393,1.391462365550673,0.7106818701762663,0.7106818701762663,1.0,0.0,0.0
D21_guard,6.4,3.62,59.8798996990058,57.77775798633855,58.48844008881237,21374.366680036113,19865.322472288495,20369.312448586992,-2.1021417126672475,-1.3914596101934293,2.1021417126672475,1.3914596101934293,0.7106821024738181,0.7106821024738181,1.0,0.0,0.0
D21_guard,6.4,3.715,59.87997587685213,57.77783668768067,58.48851902250518,21374.422365982544,19865.377934892455,20369.36877614335,-2.10213918917146,-1.3914568543469485,2.10213918917146,1.3914568543469485,0.7106823348245115,0.7106823348245115,1.0,0.0,0.0
D21_guard,6.4,3.81,59.88005205442383,57.77791538920212,58.48859795637415,21374.47805180075,19865.43339770021,20369.42510390329,-2.102136665221707,-1.3914540980496781,2.102136665221707,1.3914540980496781,0.7106825671720287,0.7106825671720287,1.0,0.0,0.0
D21_guard,6.4,3.905,59.88012823173209,57.77799409087557,58.48867689036217,21374.53373749893,19865.48886069251,20369.481431826072,-2.1021341408565135,-1.3914513413699154,2.1021341408565135,1.3914513413699154,0.7106827994865981,0.7106827994865981,1.0,0.0,0.0
D21_guard,6.4,4.0,59.88020440872968,57.778072792714575,58.488755824533726,21374.589423042544,19865.54432387889,20369.537759957708,-2.1021316160151073,-1.391448584195956,2.1021316160151073,1.391448584195956,0.7106830318191513,0.7106830318191513,1.0,0.0,0.0
D21_guard,8.0,0.2,2.324543270099281,2.00188417036137,2.0111596234515186,5.3423766142867,2.2641534658224667,2.334475533358763,-0.32265909973791107,-0.3133836466477624,0.32265909973791107,0.3133836466477624,0.009275453090148655,0.009275453090148655,1.0,0.0,0.0
D21_guard,8.0,0.295,2.324543268592796,2.001884168907774,2.0111596219357883,5.3423765968765675,2.264153454886262,2.334475521779349,-0.3226590996850218,-0.31338364665700746,0.3226590996850218,0.31338364665700746,0.009275453028014358,0.009275453028014358,1.0,0.0,0.0
D21_guard,8.0,0.39,2.3245432673167357,2.0018841677091013,2.011159620411781,5.342376582129407,2.2641534458679855,2.334475510136704,-0.3226590996076344,-0.31338364690495446,0.3226590996076344,0.31338364690495446,0.009275452702679932,0.009275452702679932,1.0,0.0,0.0
D21_guard,8.0,0.485,2.324543266337917,2.001884166855599,2.0111596188702374,5.342376570817403,2.264153439446617,2.3344754983600873,-0.32265909948231775,-0.31338364746767944,0.32265909948231775,0.31338364746767944,0.009275452014638308,0.009275452014638308,1.0,0.0,0.0
D21_guard,8.0,0.5800000000000001,2.324543264773654,2.0018841655361546,2.0111596173813013,5.342376552739542,2.2641534295197077,2.334475486985367,-0.32265909923749936,-0.3133836473923526,0.32265909923749936,0.3133836473923526,0.009275451845146776,0.009275451845146776,1.0,0.0,0.0
D21_guard,8.0,0.675,2.324543263359669,2.001884164325855,2.0111596162800502,5.342376536398415,2.264153420413957,2.3344754785723647,-0.32265909903381385,-0.31338364707961874,0.32265909903381385,0.31338364707961874,0.009275451954195102,0.009275451954195102,1.0,0.0,0.0
D21_guard,8.0,0.77,2.3245432617595645,2.0018841630315003,2.0111596144956567,5.342376517906342,2.264153410675811,2.334475464940499,-0.3226590987280642,-0.31338364726390777,0.3226590987280642,0.31338364726390777,0.009275451464156426,0.009275451464156426,1.0,0.0,0.0
D21_guard,8.0,0.865,2.3245432602715232,2.0018841617990786,2.0111596133929908,5.342376500709361,2.2641534014036218,2.334475456516688,-0.32265909847244467,-0.3133836468785325,0.32265909847244467,0.3133836468785325,0.009275451593912187,0.009275451593912187,1.0,0.0,0.0
D21_guard,8.0,0.96,2.3245432590616906,2.001884160649544,2.011159611742171,5.342376486727577,2.2641533927550377,2.334475443905257,-0.3226590984121467,-0.31338364731951973,0.3226590984121467,0.31338364731951973,0.009275451092626952,0.009275451092626952,1.0,0.0,0.0
D21_guard,8.0,1.055,2.324543257393939,2.0018841592252654,2.0111596103430327,5.34237646745372,2.264153382039405,2.334475433216548,-0.32265909816867344,-0.31338364705090616,0.32265909816867344,0.31338364705090616,0.009275451117767286,0.009275451117767286,1.0,0.0,0.0
D21_guard,8.0,1.15,2.3245432559226185,2.0018841579946383,2.011159608928939,5.3423764504499776,2.2641533727807173,2.3344754224135857,-0.3226590979279802,-0.3133836469936795,0.3226590979279802,0.3133836469936795,0.00927545093430071,0.00927545093430071,1.0,0.0,0.0
D21_guard,8.0,1.245,2.324543254410841,2.001884156634085,2.011159607329713,5.342376432978683,2.2641533625445227,2.334475410196306,-0.3226590977767563,-0.3133836470811282,0.3226590977767563,0.3133836470811282,0.009275450695628074,0.009275450695628074,1.0,0.0,0.0
D21_guard,8.0,1.34,2.324543253192366,2.0018841554747437,2.011159605958625,5.342376418897021,2.26415335382216,2.3344753997218883,-0.32265909771762225,-0.3133836472337408,0.32265909771762225,0.3133836472337408,0.009275450483881453,0.009275450483881453,1.0,0.0,0.0
D21_guard,8.0,1.435,2.324543251501261,2.001884154093091,2.011159604420683,5.342376399353274,2.264153343427225,2.334475387972786,-0.3226590974081698,-0.313383647080578,0.3226590974081698,0.313383647080578,0.009275450327591805,0.009275450327591805,1.0,0.0,0.0
D21_guard,8.0,1.53,2.3245432500134355,2.001884152782726,2.011159602898251,5.342376382158788,2.264153333568625,2.334475376342175,-0.3226590972307095,-0.3133836471151845,0.3226590972307095,0.3133836471151845,0.009275450115524997,0.009275450115524997,1.0,0.0,0.0
D21_guard,8.0,1.625,2.324543248761011,2.0018841516272228,2.0111596013834334,5.342376367684781,2.2641533248751364,2.3344753647697334,-0.3226590971337884,-0.31338364737757773,0.3226590971337884,0.31338364737757773,0.00927544975621064,0.00927544975621064,1.0,0.0,0.0
D21_guard,8.0,1.72,2.324543247229297,2.001884150307743,2.0111596000039738,5.34237634998308,2.2641533149479627,2.3344753542313583,-0.3226590969215537,-0.3133836472253231,0.3226590969215537,0.3133836472253231,0.00927544969623062,0.00927544969623062,1.0,0.0,0.0
D21_guard,8.0,1.815,2.324543245746825,2.001884149021103,2.011159598513513,5.342376332850462,2.264153305267859,2.3344753428449914,-0.3226590967257219,-0.3133836472333118,0.3226590967257219,0.3133836472333118,0.009275449492410104,0.009275449492410104,1.0,0.0,0.0
