D,D_eff,gate,theta,notch,suppress,boost_gaussian,compensate,two_lobe_factor,residual_d8,residual_d72,residual_d96,residual_total
4.420175072947061,4.051157371347372,1.4119474184384705e-11,-24.048398637739336,0.2662530249877524,0.9999999999951128,6.387995060548114e-285,1.0,0.9999999999951128,1.0,1.0,1.0,1.0
4.426844518549395,4.0572700192105895,1.5407871777492003e-11,-23.9628215676543,0.3048871724138181,0.999999999993893,5.283055322465723e-283,1.0,0.999999999993893,1.0,1.0,1.0,1.0
4.43351396415173,4.063382667073807,1.681383524707738e-11,-23.877244497569254,0.3449493441128362,0.9999999999924601,4.304422304670722e-281,1.0,0.9999999999924601,1.0,1.0,1.0,1.0
4.440183409754065,4.069495314937025,1.834809244251417e-11,-23.791667427484203,0.3861463263872709,0.9999999999907895,3.455045059111885e-279,1.0,0.9999999999907895,1.0,1.0,1.0,1.0
4.446852855356399,4.075607962800243,2.0022350126067604e-11,-23.70609035739915,0.42817659989885737,0.9999999999888549,2.7321320496632443e-277,1.0,0.9999999999888549,1.0,1.0,1.0,1.0
4.453522300958733,4.08172061066346,2.1849383298389318e-11,-23.620513287314107,0.4707325464785777,0.9999999999866293,2.1284271198090912e-275,1.0,0.9999999999866293,1.0,1.0,1.0,1.0
4.460191746561067,4.087833258526677,2.3843132674936154e-11,-23.53493621722907,0.513502700573777,0.9999999999840834,1.6335220825870696e-273,1.0,0.9999999999840834,1.0,1.0,1.0,1.0
4.466861192163401,4.093945906389894,2.6018811057079614e-11,-23.449359147144026,0.5561740288541512,0.9999999999811877,1.235094999735091e-271,1.0,0.9999999999811877,1.0,1.0,1.0,1.0
4.473530637765736,4.100058554253112,2.8393019409547415e-11,-23.36378207705899,0.5984342212922226,0.9999999999779112,9.199936822047913e-270,1.0,0.9999999999779112,1.0,1.0,1.0,1.0
4.48020008336807,4.10617120211633,3.098387352989441e-11,-23.278205006973934,0.6399739769500397,0.9999999999742225,6.751160831854426e-268,1.0,0.9999999999742225,1.0,1.0,1.0,1.0
4.486869528970404,4.112283849979547,3.381114227652174e-11,-23.192627936888893,0.680489267742373,0.9999999999700895,4.880689632193113e-266,1.0,0.9999999999700895,1.0,1.0,1.0,1.0
4.493538974572739,4.118396497842765,3.689639840996371e-11,-23.107050866803842,0.7196835636081776,0.9999999999654802,3.4761063594255367e-264,1.0,0.9999999999654802,1.0,1.0,1.0,1.0
4.500208420175073,4.124509145705982,4.0263183198388556e-11,-23.021473796718798,0.7572700028041662,0.9999999999603628,2.439012628126152e-262,1.0,0.9999999999603628,1.0,1.0,1.0,1.0
4.506877865777407,4.130621793569199,4.393718604330559e-11,-22.93589672663376,0.7929734914363619,0.9999999999547067,1.6859479764225802e-260,1.0,0.9999999999547067,1.0,1.0,1.0,1.0
4.5135473113797415,4.1367344414324165,4.7946440496057363e-11,-22.850319656548717,0.8265327168631235,0.9999999999484819,1.1481097833426937e-258,1.0,0.9999999999484819,1.0,1.0,1.0,1.0
4.520216756982076,4.142847089295634,5.2321538160758e-11,-22.76474258646368,0.8577020602336316,0.9999999999416608,7.702501539617817e-257,1.0,0.9999999999416608,1.0,1.0,1.0,1.0
4.52688620258441,4.148959737158852,5.7095862115806266e-11,-22.679165516378625,0.8862533941640849,0.9999999999342182,5.090838240423727e-255,1.0,0.9999999999342182,1.0,1.0,1.0,1.0
4.533555648186745,4.15507238502207,6.230584163503693e-11,-22.59358844629357,0.9119777523943788,0.999999999926132,3.314789308574182e-253,1.0,0.999999999926132,1.0,1.0,1.0,1.0
4.540225093789079,4.161185032885287,6.799123015210113e-11,-22.508011376208533,0.9346868592052069,0.9999999999173843,2.1263350053144963e-251,1.0,0.9999999999173843,1.0,1.0,1.0,1.0
4.546894539391413,4.167297680748504,7.419540858900793e-11,-22.42243430612349,0.9542145074017746,0.9999999999079622,1.343744118076381e-249,1.0,0.9999999999079622,1.0,1.0,1.0,1.0
4.5535639849937475,4.1734103286117215,8.09657163632977e-11,-22.33685723603845,0.9704177747786897,0.9999999998978583,8.36585997758074e-248,1.0,0.9999999998978583,1.0,1.0,1.0,1.0
4.560233430596082,4.179522976474939,8.835381259951865e-11,-22.251280165953407,0.9831780701628294,0.9999999998870722,5.131138464188653e-246,1.0,0.9999999998870722,1.0,1.0,1.0,1.0
4.566902876198416,4.185635624338157,9.641607030113764e-11,-22.165703095868356,0.9924020013781681,0.9999999998756115,3.100459088069722e-244,1.0,0.9999999998756115,1.0,1.0,1.0,1.0
4.57357232180075,4.191748272201374,1.0521400649050909e-10,-22.080126025783315,0.9980220587800004,0.9999999998634923,1.8456417406744699e-242,1.0,0.9999999998634923,1.0,1.0,1.0,1.0
4.580241767403084,4.197860920064591,1.148147515989913e-10,-21.994548955698274,0.9999971093557806,0.9999999998507413,1.0823754416949755e-240,1.0,0.9999999998507413,1.0,1.0,1.0,1.0
4.586911213005419,4.203973567927809,1.2529156168875478e-10,-21.908971885613223,0.998312697776264,0.9999999998373958,6.253419794498456e-239,1.0,0.9999999998373958,1.0,1.0,1.0,1.0
4.593580658607753,4.210086215791026,1.3672437741466826e-10,-21.82339481552818,0.9929811521935819,0.9999999998235058,3.559314517407795e-237,1.0,0.9999999998235058,1.0,1.0,1.0,1.0
4.600250104210088,4.216198863654244,1.492004339912936e-10,-21.73781774544314,0.9840414940119071,0.9999999998091348,1.9958333517182914e-235,1.0,0.9999999998091348,1.0,1.0,1.0,1.0
4.606919549812422,4.222311511517462,1.6281492681916603e-10,-21.652240675358087,0.971559152291095,0.9999999997943604,1.1025322790588956e-233,1.0,0.9999999997943604,1.0,1.0,1.0,1.0
4.613588995414756,4.228424159380679,1.7767173784926158e-10,-21.566663605273046,0.9556254848735897,0.9999999997792761,6.000224205357755e-232,1.0,0.9999999997792761,1.0,1.0,1.0,1.0
4.62025844101709,4.234536807243896,1.9388422822801008e-10,-21.481086535188005,0.9363571097394103,0.9999999997639917,3.217012673074714e-230,1.0,0.9999999997639917,1.0,1.0,1.0,1.0
4.626927886619425,4.240649455107114,2.1157610327090133e-10,-21.39550946510295,0.9138950514830521,0.9999999997486342,1.6992105377905467e-228,1.0,0.9999999997486342,1.0,1.0,1.0,1.0
4.633597332221759,4.246762102970331,2.3088235636465937e-10,-21.309932395017913,0.8884037091592001,0.9999999997333482,8.842004701315647e-227,1.0,0.9999999997333482,1.0,1.0,1.0,1.0
