D,k_bg_med,E_part_med,E_part_smooth_fit,E_part_osc_fit,E_tree_med,E_tree_smooth_fit,E_tree_osc_fit,xi_target_med,xi_recon_part_smooth_tree_smooth,xi_recon_part_smooth_tree_osc,xi_recon_part_osc_tree_osc
11.6,1.2945371537709325,0.5024661751524557,0.5122046714779173,0.5040992994347439,0.9024796906213441,0.7856253887638387,0.761424372499715,0.13737451632829503,0.12792375468423703,0.12544251437730167,0.1241227461749908
12.0,1.324701506182844,0.5025679772754248,0.5164098375572551,0.5141242692023844,0.8771174535857547,0.7810191447200154,0.82188568578824,0.1332406764231668,0.1263103204886121,0.13038895260353214,0.13000781747083737
12.4,1.2307943012963667,0.5156246678269274,0.5202143368957425,0.526053001644953,0.8477732257871085,0.7770035308138585,0.8519421781080438,0.13875786531430093,0.13242820863320448,0.1399759066274372,0.14100537946856712
12.8,1.114287005200122,0.5279636012455764,0.5236088342009542,0.5337081246151902,0.7916631112424155,0.7735695625256395,0.8332590878773827,0.1435224689293072,0.1408198447869919,0.14703671690819822,0.14888584490677448
13.2,1.0690070955975786,0.5331058175220649,0.5265849609587473,0.5337508567400312,0.6921533090286713,0.770709346249342,0.7752420677456707,0.13666101792768795,0.14450644195053533,0.14499906713514418,0.1462855749414632
13.6,1.1152775579450587,0.5316470463244689,0.5291353498048788,0.5282537144701567,0.6820485800640339,0.7684156980120678,0.7096453303504535,0.13172042893134894,0.14115845414444353,0.13456052696678567,0.13441382213062794
14.0,1.1593702844248663,0.5302127819141333,0.5312536649109643,0.523177359177899,0.6604789559717466,0.7666811862734005,0.6728586615864448,0.12575394827299588,0.1381025556028315,0.1274086474595096,0.12613702192028114
14.4,1.195999582362392,0.5288277286523766,0.5329346282093856,0.5238699441910124,0.695860911849425,0.765495643615848,0.685680163894755,0.1272298715451561,0.13567685664301884,0.12668528734518597,0.12527126260794336
14.8,1.2312274913577999,0.5273601573473397,0.5341740413052254,0.5309960235109368,0.7619404224188107,0.76483961932754,0.7417353769501029,0.13198917456375034,0.13341460877500413,0.13089957318823708,0.1303909013279725
15.2,1.2635129579283289,0.5260573446774435,0.5349688029479112,0.5400022606964374,0.8192935642592201,0.764667082968716,0.8109446754626527,0.13559822399259677,0.13139982720765814,0.13624342738970605,0.13707582758385534
15.6,1.2931158595812953,0.5246495518668586,0.5353169219608078,0.5445472305406583,0.809709690266355,0.764859703427093,0.8561692214584233,0.13249961069277766,0.12958493126786716,0.13889241287047824,0.14044295145395996
16.0,1.3217878591111365,0.5232080093859286,0.5352175255533098,0.5413006297729139,0.7856815930066916,0.7651062570415199,0.85389411221108,0.12805377652662855,0.12781497675202425,0.1368261201770704,0.13783508630735436
16.4,1.3477040036769834,0.5224110308065044,0.5346708629668707,0.5324654030070213,0.7829068083011594,0.7645870323165999,0.8075181960186248,0.12609034328579247,0.12610852379505538,0.13053637115811753,0.13018501018881087
16.8,1.3729068193667717,0.519993092774879,0.5336783044336507,0.524105389709275,0.779708363237718,0.7611660842883359,0.7458007706789329,0.1240106643158503,0.12411247925995604,0.12248899721180034,0.12104739074203967
17.200000000000003,1.3497943618170907,0.5240256972717543,0.532242335453873,0.5215532579564074,0.7534369625638666,0.7494482008633127,0.7071403109372246,0.12319915314872609,0.12401121332147172,0.11941724694925318,0.11784104918879569
17.6,1.2679119024066776,0.533345106362586,0.5303665464253393,0.5253903715949922,0.6787167217903409,0.7168857684366821,0.7182162561098183,0.12127571595300088,0.12517407083285914,0.12532237627319573,0.12455153115208117
18.0,1.1674701716671605,0.5421795382279988,0.5280556176856651,0.5310423789354913,0.5112688165784269,0.6400915019552202,0.5112412382102884,0.10707160549955175,0.12237408075655301,0.10524230251836081,0.10563110047165158
18.4,1.20297833384972,0.5405182049703023,0.5253153000544505,0.5322733790945537,0.5139240325216037,0.4971900158915525,6.291965177568613e-13,0.10502599838695138,0.10071424357934375,1.8013119420329737e-13,1.8168831383277347e-13
18.8,1.236950473377259,0.5389378447668909,0.5221523909109748,0.5259033654447557,0.5164450896374899,0.31244324836591414,2.585114090222828e-25,0.10314824682398757,0.06917489192634452,7.169131399788088e-26,7.20288237719547e-26
19.200000000000003,1.2685122027208124,0.0,3.286809261534375e-06,2.6133691325798086e-05,0.0,0.1579415085231501,1.6990413660369705e-35,0.0,3.639248176424879e-07,4.402327806357146e-41,3.500247151811553e-40
19.6,1.29788076025205,0.0,3.0734807263917035e-21,9.406473164394484e-17,0.0,0.068733825171172,1.6346080426360041e-35,0.0,1.5458058853466152e-22,3.870876638367744e-56,1.1846925509838785e-51
20.0,1.3261537967964965,0.0,9.20855339964375e-36,3.4226945712369315e-28,0.0,0.0277162817567569,1.5254648477735336e-35,0.0,1.885165088140536e-37,1.0592530477185389e-70,3.937100105357131e-63
