peak,center_D,sigma_D,p95_abs_delta_mu,max_abs_delta_mu,D5p627_max_abs_delta_mu,D5p898_max_abs_delta_mu,D6p169_max_abs_delta_mu,D6p441_max_abs_delta_mu,D6p712_max_abs_delta_mu,hotspot_objective,guard_objective,joint_objective
0.5,5.84,0.1,27.2492105862005,27.256438607734246,0.9512703858631468,27.256438607734246,14.895956196785548,4.945935533254428,2.6032105963583376,27.256438607734246,2.472967766627214,27.256438607734246
0.5,5.96,0.1,27.31718399198828,27.32439540444568,0.75424562785863,27.32439540444568,15.27034287548868,4.945843553834862,2.603210596357556,27.32439540444568,2.472921776917431,27.32439540444568
0.5,5.84,0.08,27.55647236560736,27.563625308743845,0.8036796038374305,27.563625308743845,14.881284092479135,4.945935673398168,2.6032105963583376,27.563625308743845,2.472967836699084,27.563625308743845
0.5,5.96,0.08,27.651963279504056,27.65909288975226,0.7468547311838165,27.65909288975226,14.994216456656602,4.94593553467427,2.6032105963583376,27.65909288975226,2.472967767337135,27.65909288975226
1.0,5.84,0.04,27.85644068729789,27.863520334169287,0.7465148611939014,27.863520334169287,14.880557200255282,4.945935673403689,2.6032105963583376,27.863520334169287,2.4729678367018444,27.863520334169287
0.5,5.84,0.06,28.124072498855153,28.13108675078052,0.7501514097035056,28.13108675078052,14.880558192259485,4.945935673403689,2.6032105963583376,28.13108675078052,2.4729678367018444,28.13108675078052
1.0,5.96,0.04,28.18282768404461,28.189827579335173,0.7465120744269313,28.189827579335173,14.880564960014993,4.945935673403689,2.6032105963583376,28.189827579335173,2.4729678367018444,28.189827579335173
0.5,5.96,0.06,28.259200637255745,28.26618187106841,0.7465124824138769,28.26618187106841,14.888459965562504,4.945935673403582,2.6032105963583376,28.26618187106841,2.472967836701791,28.26618187106841
0.75,5.84,0.04,28.538058704970062,28.544971800738175,0.7465141645021021,28.544971800738175,14.880557200255225,4.945935673403689,2.6032105963583376,28.544971800738175,2.4729678367018444,28.544971800738175
0.25,5.9,0.16,28.610576271440678,28.61747164778184,0.9770573819647979,28.61747164778184,15.303857069913803,4.930056758106936,2.6032087339121794,28.61747164778184,2.465028379053468,28.61747164778184
0.25,5.9,0.12,28.610661755242624,28.617557110696097,0.8207984330320599,28.617557110696097,15.021280150461735,4.945748494462904,2.603210596274856,28.617557110696097,2.472874247231452,28.617557110696097
0.25,5.9,0.1,28.610747723642515,28.61764305808991,0.770315918140831,28.61764305808991,14.926984561428256,4.945933522532059,2.6032105963583376,28.61764305808991,2.4729667612660293,28.61764305808991
0.25,5.9,0.08,28.610905973474672,28.617801269254244,0.74944312720082,28.617801269254244,14.886580119490475,4.945935672825691,2.6032105963583376,28.617801269254244,2.4729678364128453,28.617801269254244
0.25,5.9,0.06,28.611247826236323,28.6181430384853,0.7465438391278241,28.6181430384853,14.880630192247324,4.945935673403689,2.6032105963583376,28.6181430384853,2.4729678367018444,28.6181430384853
0.25,5.9,0.04,28.612224209316683,28.619119182989685,0.7465120745041105,28.619119182989685,14.880557200499297,4.945935673403689,2.6032105963583376,28.619119182989685,2.4729678367018444,28.619119182989685
0.25,5.88,0.16,28.623243854483633,28.630136135542863,1.0297460322474592,28.630136135542863,15.221019828341696,4.935608044222434,2.6032096163466782,28.630136135542863,2.467804022111217,28.630136135542863
0.25,5.92,0.16,28.628389985483246,28.635281009102428,0.9312716158217214,28.635281009102428,15.398646355218204,4.921900600683067,2.603207111778854,28.635281009102428,2.4609503003415334,28.635281009102428
0.25,5.88,0.12,28.633122455795917,28.640012323051664,0.8535647186681246,28.640012323051664,14.976037955608561,4.94584855785228,2.6032105963316674,28.640012323051664,2.47292427892614,28.640012323051664
0.25,5.92,0.12,28.642213586619498,28.64910123248756,0.7966526143563257,28.64910123248756,15.082255713027607,4.945544513656095,2.603210596104077,28.64910123248756,2.4727722568280477,28.64910123248756
0.25,5.88,0.1,28.643005349627167,28.649892802030514,0.7867878767794352,28.649892802030514,14.907107575486194,4.945934958410824,2.6032105963583376,28.649892802030514,2.472967479205412,28.649892802030514
0.25,5.92,0.1,28.656013783556396,28.66289805739204,0.7600297245167766,28.66289805739204,14.958552833191561,4.945929456766649,2.60321059635832,28.66289805739204,2.4729647283833245,28.66289805739204
0.25,5.88,0.08,28.66106303050388,28.66794607057286,0.7531772606716416,28.66794607057286,14.88307198041592,4.9459356733002835,2.6032105963583376,28.66794607057286,2.4729678366501417,28.66794607057286
0.25,5.92,0.08,28.6811527742989,28.688030905505535,0.7477229487640287,28.688030905505535,14.894107800546251,4.945935670368918,2.6032105963583376,28.688030905505535,2.472967835184459,28.688030905505535
0.25,5.88,0.06,28.699482900672177,28.706356552973176,0.746648913900934,28.706356552973176,14.88057265041654,4.945935673403689,2.6032105963583376,28.706356552973176,2.4729678367018444,28.706356552973176
0.25,5.92,0.06,28.73430897427512,28.74117411694054,0.7465186725969133,28.74117411694054,14.880865776107896,4.945935673403689,2.6032105963583376,28.74117411694054,2.4729678367018444,28.74117411694054
0.25,5.84,0.16,28.73618590740839,28.74305059145137,1.1544903673742084,28.74305059145137,15.090667395950504,4.941767131071394,2.6032103374364723,28.74305059145137,2.470883565535697,28.74305059145137
0.25,5.96,0.16,28.75066153810618,28.757522685076786,0.8597585504022831,28.757522685076786,15.6209450871349,4.893395498847568,2.6031989570770584,28.757522685076786,2.446697749423784,28.757522685076786
0.75,5.96,0.04,28.780355610017935,28.787209501340456,0.7465120744269313,28.787209501340456,14.880563020075044,4.945935673403689,2.6032105963583376,28.787209501340456,2.4729678367018444,28.787209501340456
0.25,5.88,0.04,28.80491796201993,28.81176585161313,0.7465120764902267,28.81176585161313,14.880557200262714,4.945935673403689,2.6032105963583376,28.81176585161313,2.4729678367018444,28.81176585161313
0.25,5.84,0.12,28.8281956349965,28.835037836767526,0.951110120845641,28.835037836767526,14.920988663109839,4.945918312137152,2.603210596355826,28.835037836767526,2.472959156068576,28.835037836767526
0.25,5.96,0.12,28.852521547637057,28.859357805451964,0.7675318901316359,28.859357805451964,15.261634326535273,4.944364028575393,2.6032105941884467,28.859357805451964,2.4721820142876965,28.859357805451964
0.25,5.92,0.04,28.877841128317883,28.88467119937708,0.7465120744291625,28.88467119937708,14.88055720650867,4.945935673403689,2.6032105963583376,28.88467119937708,2.4729678367018444,28.88467119937708
0.25,5.84,0.1,28.91593358502291,28.92275434831668,0.8488015797582094,28.92275434831668,14.888257109867183,4.945935603329055,2.6032105963583376,28.92275434831668,2.4729678016645273,28.92275434831668
0.25,5.96,0.1,28.949037859612904,28.95585053398692,0.7503787230397947,28.95585053398692,15.07571428204669,4.945889613601075,2.6032105963579575,28.95585053398692,2.4729448068005375,28.95585053398692
0.25,5.84,0.08,29.065716843020994,29.07250100727216,0.7750888420622033,29.07250100727216,14.880920647283688,4.945935673400953,2.6032105963583376,29.07250100727216,2.4729678367004766,29.07250100727216
0.25,5.96,0.08,29.112340602027132,29.119113373917386,0.7466834025538205,29.119113373917386,14.937409253282667,4.945935604038958,2.6032105963583376,29.119113373917386,2.472967802019479,29.119113373917386
0.5,5.84,0.04,29.212296081827425,29.21904442992748,0.7465134678103738,29.21904442992748,14.880557200255282,4.945935673403689,2.6032105963583376,29.21904442992748,2.4729678367018444,29.21904442992748
0.25,5.84,0.06,29.343369193379043,29.350085514198696,0.7483317136951086,29.350085514198696,14.880557696257327,4.945935673403689,2.6032105963583376,29.350085514198696,2.4729678367018444,29.350085514198696
0.5,5.96,0.04,29.372182076862014,29.37889135734914,0.7465120744269882,29.37889135734914,14.880561080135209,4.945935673403689,2.6032105963583376,29.37889135734914,2.4729678367018444,29.37889135734914
0.25,5.96,0.06,29.409654727583604,29.416354851752736,0.7465122784204254,29.416354851752736,14.884508691241365,4.945935673403639,2.6032105963583376,29.416354851752736,2.4729678367018195,29.416354851752736
0.25,5.84,0.04,29.879232736325008,29.88581812066422,0.7465127711186454,29.88581812066422,14.880557200255282,4.945935673403689,2.6032105963583376,29.88581812066422,2.4729678367018444,29.88581812066422
0.25,5.96,0.04,29.9583614864462,29.96492753593762,0.7465120744269313,29.96492753593762,14.880559140195288,4.945935673403689,2.6032105963583376,29.96492753593762,2.4729678367018444,29.96492753593762
