combo_id,mode,omega,m,phase,center_D,width_D,boost,boost_center,boost_width,D60_p95_base,D60_p95_cf,D21_p95_base,D21_p95_cf,D60_mean_abs_improvement,D21_mean_abs_improvement,D60_improved_fraction,D21_improved_fraction,D21_acceptance_flip_fraction,beats_mainline_both,joint_objective
13151,pointamp_two_lobe,1.1,12.0,0.5853981633974483,5.8,0.05,0.2,5.92,0.1,31.28593012120719,24.741407642685907,2.102217055050133,11.458024122578909,6.255718550341326,-3.121335167762037,1.0,0.0,0.0,0.0,99.58786418291612
2,partial_two_lobe,1.0,12.0,0.4353981633974483,5.8,0.05,0.1,5.82,0.08,31.28593012120719,25.12100353697671,2.102217055050133,11.412291180444479,6.2129274730749104,-3.103537343727358,1.0,0.0,0.0,0.0,99.60159654013148
10242,pointamp_two_lobe,1.0,12.0,0.4353981633974483,5.8,0.05,0.1,5.82,0.08,31.28593012120719,25.121003536976723,2.102217055050133,11.412291180444486,6.21292747307491,-3.10353734372736,1.0,0.0,0.0,0.0,99.60159654013154
9864,partial_two_lobe,1.3,14.0,0.7853981633974483,5.9,0.07,0.2,5.86,0.12,31.28593012120719,37.853734733250555,2.102217055050133,9.831729304695306,-1.9472894577975108,-2.9757327571066075,0.4,0.0,0.0,0.0,99.68983273041195
20104,pointamp_two_lobe,1.3,14.0,0.7853981633974483,5.9,0.07,0.2,5.86,0.12,31.28593012120719,37.85373473325055,2.102217055050133,9.831729304695322,-1.9472894577975115,-2.975732757106609,0.4,0.0,0.0,0.0,99.68983273041206
17945,pointamp_two_lobe,1.3,12.0,0.4353981633974483,5.8,0.05,0.2,5.9,0.05,31.28593012120719,23.368649045413058,2.102217055050133,11.649326143388976,6.109585097138441,-3.182588727145877,1.0,0.0,0.0,0.0,99.7455217521238
7705,partial_two_lobe,1.3,12.0,0.4353981633974483,5.8,0.05,0.2,5.9,0.05,31.28593012120719,23.36864904541305,2.102217055050133,11.64932614338899,6.109585097138439,-3.1825887271458786,1.0,0.0,0.0,0.0,99.7455217521239
4266,partial_two_lobe,1.1,14.0,0.5853981633974483,5.8,0.07,0.2,5.9,0.08,31.28593012120719,20.708539453822972,2.102217055050133,11.984180098331084,7.507409604128339,-3.739101069827956,1.0,0.0,0.0,0.0,99.76424380007057
14506,pointamp_two_lobe,1.1,14.0,0.5853981633974483,5.8,0.07,0.2,5.9,0.08,31.28593012120719,20.70853945382301,2.102217055050133,11.984180098331084,7.507409604128339,-3.7391010698279565,1.0,0.0,0.0,0.0,99.76424380007062
4420,partial_two_lobe,1.1,14.0,0.5853981633974483,5.9,0.07,0.2,5.82,0.12,31.28593012120719,39.89018930991217,2.102217055050133,9.587522890152215,-3.0047657421129164,-2.819998606211151,0.4,0.0,0.0,0.0,99.77263599072882
14660,pointamp_two_lobe,1.1,14.0,0.5853981633974483,5.9,0.07,0.2,5.82,0.12,31.28593012120719,39.890189309912174,2.102217055050133,9.587522890152227,-3.0047657421129195,-2.8199986062111515,0.4,0.0,0.0,0.0,99.77263599072893
4340,partial_two_lobe,1.1,14.0,0.5853981633974483,5.9,0.05,0.2,5.82,0.12,31.28593012120719,39.851442559412185,2.102217055050133,9.597014840408345,-3.546955936767844,-2.823162530009805,0.4,0.0,0.0,0.0,99.80982484227789
14580,pointamp_two_lobe,1.1,14.0,0.5853981633974483,5.9,0.05,0.2,5.82,0.12,31.28593012120719,39.851442559412185,2.102217055050133,9.597014840408347,-3.546955936767843,-2.8231625300098107,0.4,0.0,0.0,0.0,99.80982484227789
18065,pointamp_two_lobe,1.3,12.0,0.4353981633974483,5.8,0.07,0.8,5.82,0.05,31.28593012120719,20.87595915143519,2.102217055050133,11.96897545776837,6.046371125416576,-3.289086457122702,1.0,0.0,0.0,0.0,99.81002637318107
7825,partial_two_lobe,1.3,12.0,0.4353981633974483,5.8,0.07,0.8,5.82,0.05,31.28593012120719,20.875959151435207,2.102217055050133,11.968975457768371,6.046371125416576,-3.2890864571227003,1.0,0.0,0.0,0.0,99.81002637318112
9669,partial_two_lobe,1.3,14.0,0.7853981633974483,5.8,0.05,0.8,5.86,0.05,31.28593012120719,23.57351961170801,2.102217055050133,11.633615110160662,5.955187850046315,-3.6590483787421877,1.0,0.0,0.3333333333333333,0.0,99.82470405259224
19909,pointamp_two_lobe,1.3,14.0,0.7853981633974483,5.8,0.05,0.8,5.86,0.05,31.28593012120719,23.573519611708,2.102217055050133,11.633615110160704,5.955187850046313,-3.6590483787421912,1.0,0.0,0.3333333333333333,0.0,99.82470405259258
1368,partial_two_lobe,1.0,14.0,0.4353981633974483,5.8,0.07,0.1,5.86,0.12,31.28593012120719,22.447278961448234,2.102217055050133,11.774706222444792,7.254679217921439,-3.645343093108124,1.0,0.0,0.0,0.0,99.8271923006055
11608,pointamp_two_lobe,1.0,14.0,0.4353981633974483,5.8,0.07,0.1,5.86,0.12,31.28593012120719,22.447278961448234,2.102217055050133,11.774706222444792,7.254679217921439,-3.6453430931081248,1.0,0.0,0.0,0.0,99.8271923006055
