beta_peak,sigma_D,beta_eff,D,eta,effective_ref_amp,effective_ref_vs_raw_ratio,base_mu,cur_mu,mu_cf,delta_mu_cf,delta_log_mu_cf,acceptance_mismatch_cf
0.75,0.2,0.018972089512683844,5.898305084745763,0.77,4.5192953410691254e-05,0.9850124022215527,90.80181516046262,48.986279979730654,48.983588396617556,-41.81822676384507,-0.6171939648338843,0.0
1.0,0.2,0.025296119350245127,5.898305084745763,0.77,4.5192953410691254e-05,0.9850124022215527,90.80181516046262,48.986279979730654,48.98269123511152,-41.81912392535111,-0.6172122805545474,0.0
0.0,0.3,0.0,5.898305084745763,0.77,4.5192953410691254e-05,0.9850124022215527,90.80181516046262,48.986279979730654,48.98627997973061,-41.81553518073201,-0.6171390176718979,0.0
0.25,0.3,0.04877375441437493,5.898305084745763,0.77,4.5192953410691254e-05,0.9850124022215527,90.80181516046262,48.986279979730654,48.97936071296159,-41.82245444750103,-0.6172802767241861,0.0
0.5,0.3,0.09754750882874987,5.898305084745763,0.77,4.5192953410691254e-05,0.9850124022215527,90.80181516046262,48.986279979730654,48.97244242353252,-41.829372736930104,-0.6174215357764761,0.0
0.75,0.3,0.1463212632431248,5.898305084745763,0.77,4.5192953410691254e-05,0.9850124022215527,90.80181516046262,48.986279979730654,48.965525111305524,-41.8362900491571,-0.6175627948287641,0.0
1.0,0.3,0.19509501765749973,5.898305084745763,0.77,4.5192953410691254e-05,0.9850124022215527,90.80181516046262,48.986279979730654,48.95860877614238,-41.84320638432025,-0.6177040538810544,0.0
0.0,0.05,0.0,5.898305084745763,0.96,4.5192953410689966e-05,0.9850124022215246,90.80341161896216,48.98835739180556,48.98835739180556,-41.8150542271566,-0.6171141921680643,0.0
0.25,0.05,7.027525579117002e-27,5.898305084745763,0.96,4.5192953410689966e-05,0.9850124022215246,90.80341161896216,48.98835739180556,48.98835739180556,-41.8150542271566,-0.6171141921680643,0.0
0.5,0.05,1.4055051158234003e-26,5.898305084745763,0.96,4.5192953410689966e-05,0.9850124022215246,90.80341161896216,48.98835739180556,48.98835739180556,-41.8150542271566,-0.6171141921680643,0.0
0.75,0.05,2.1082576737351005e-26,5.898305084745763,0.96,4.5192953410689966e-05,0.9850124022215246,90.80341161896216,48.98835739180556,48.98835739180556,-41.8150542271566,-0.6171141921680643,0.0
1.0,0.05,2.8110102316468006e-26,5.898305084745763,0.96,4.5192953410689966e-05,0.9850124022215246,90.80341161896216,48.98835739180556,48.98835739180556,-41.8150542271566,-0.6171141921680643,0.0
0.0,0.1,0.0,5.898305084745763,0.96,4.5192953410689966e-05,0.9850124022215246,90.80341161896216,48.98835739180556,48.98835739180556,-41.8150542271566,-0.6171141921680643,0.0
0.25,0.1,1.0236597216554897e-07,5.898305084745763,0.96,4.5192953410689966e-05,0.9850124022215246,90.80341161896216,48.98835739180556,48.98835737728179,-41.81505424168037,-0.6171141924645381,0.0
0.5,0.1,2.0473194433109794e-07,5.898305084745763,0.96,4.5192953410689966e-05,0.9850124022215246,90.80341161896216,48.98835739180556,48.98835736275801,-41.81505425620415,-0.6171141927610123,0.0
0.75,0.1,3.070979164966469e-07,5.898305084745763,0.96,4.5192953410689966e-05,0.9850124022215246,90.80341161896216,48.98835739180556,48.98835734823433,-41.81505427072783,-0.6171141930574843,0.0
1.0,0.1,4.094638886621959e-07,5.898305084745763,0.96,4.5192953410689966e-05,0.9850124022215246,90.80341161896216,48.98835739180556,48.988357333710645,-41.81505428525151,-0.6171141933539566,0.0
0.0,0.15,0.0,5.898305084745763,0.96,4.5192953410689966e-05,0.9850124022215246,90.80341161896216,48.98835739180556,48.98835739180556,-41.8150542271566,-0.6171141921680643,0.0
0.25,0.15,0.00036218021542526696,5.898305084745763,0.96,4.5192953410689966e-05,0.9850124022215246,90.80341161896216,48.98835739180556,48.988306005490735,-41.815105613471424,-0.6171152411181519,0.0
0.5,0.15,0.0007243604308505339,5.898305084745763,0.96,4.5192953410689966e-05,0.9850124022215246,90.80341161896216,48.98835739180556,48.9882546192298,-41.81515699973236,-0.6171162900682396,0.0
0.75,0.15,0.0010865406462758009,5.898305084745763,0.96,4.5192953410689966e-05,0.9850124022215246,90.80341161896216,48.98835739180556,48.98820323302278,-41.81520838593938,-0.6171173390183271,0.0
1.0,0.15,0.0014487208617010678,5.898305084745763,0.96,4.5192953410689966e-05,0.9850124022215246,90.80341161896216,48.98835739180556,48.98815184686958,-41.81525977209258,-0.6171183879684166,0.0
0.0,0.2,0.0,5.898305084745763,0.96,4.5192953410689966e-05,0.9850124022215246,90.80341161896216,48.98835739180556,48.98835739180556,-41.8150542271566,-0.6171141921680643,0.0
0.25,0.2,0.006324029837561282,5.898305084745763,0.96,4.5192953410689966e-05,0.9850124022215246,90.80341161896216,48.98835739180556,48.98746014295283,-41.81595147600933,-0.6171325078887255,0.0
0.5,0.2,0.012648059675122563,5.898305084745763,0.96,4.5192953410689966e-05,0.9850124022215246,90.80341161896216,48.98835739180556,48.98656291053381,-41.816848708428346,-0.6171508236093843,0.0
0.75,0.2,0.018972089512683844,5.898305084745763,0.96,4.5192953410689966e-05,0.9850124022215246,90.80341161896216,48.98835739180556,48.985665694547826,-41.81774592441433,-0.6171691393300489,0.0
