surface,D,mean_abs_delta_mu_mumu,max_abs_delta_mu_mumu,mean_risk_score,max_risk_score,n_high_anchor_eta,high_anchor_eta_min,high_anchor_eta_max,mean_boundary_proximity
D60E21,4.0,0.009799808551339783,0.011184762564329542,0.2386114110238842,0.2800439942331461,0,,,0.5230904029276138
D60E21,4.271186440677966,0.1498712313125246,0.15825829353012555,0.28784536380083336,0.2916986141463508,0,,,2.7786889141181168e-05
D60E21,4.5423728813559325,0.1448314921083568,0.1479611064835682,0.3180147495556888,0.31836594245326094,0,,,6.37437561288072e-28
D60E21,4.813559322033898,0.00722114170859625,0.007284049660281511,0.2517272871368866,0.2582372625535755,0,,,5.183720910943809e-127
D60E21,5.084745762711864,0.5382330526340056,0.5399767737904888,0.5079619104863619,0.5099440471410458,0,,,0.0
D60E21,5.3559322033898304,1.2911482116739716,1.29272601337167,0.8237790612762177,0.8245338235280043,0,,,0.0
D60E21,5.627118644067797,2.934498723007908,2.9358317578355013,1.7012090805163478,1.701405361735674,21,0.2,4.0,0.0
D60E21,5.898305084745763,0.01907006063129031,0.019072163221764526,0.26716917301757587,0.2673499269471039,0,,,0.0
D60E21,6.169491525423728,0.12514942268303134,0.12516605803355674,0.3458096109696698,0.3458185885016365,0,,,0.0
D60E21,6.4406779661016955,1.9007083767748985,1.9007543515838918,1.4183740131297753,1.4183964960011861,21,0.2,4.0,0.0
D60E21,6.711864406779661,0.9913514998360385,0.9913607397661579,1.0479307097704162,1.0479352742686996,21,0.2,4.0,0.0
D60E21,6.983050847457627,0.04213768727138898,0.04213769272505452,0.5968354354900719,0.5968393412399542,0,,,3.569326903548485e-10
D60E21,7.254237288135593,0.04657895835997286,0.0465789999323456,0.22962131826020188,0.22962264348585248,0,,,0.00014430329534073898
D60E21,7.525423728813559,0.03406883580028368,0.03406884796833198,0.06278995495266318,0.06279036557835083,0,,,0.00354003400283789
D60E21,7.796610169491526,0.025435143716107375,0.025435147677848935,0.06491560825405121,0.06491573181804802,0,,,0.07012217079124015
D60E21,8.067796610169491,0.02545200463214268,0.025452005279630097,0.10792029387713674,0.10792032028519727,0,,,0.566025547865644
D60E21,8.338983050847457,0.03282014775319529,0.03282014899755925,0.1380223598049238,0.1380223705709832,0,,,0.9955532885905992
D60E21,8.610169491525424,0.03179812519207549,0.03179812627542877,0.09978046228568421,0.09978047055915756,0,,,0.4640687177552077
D60E21,8.881355932203391,0.013399784418082598,0.013399784510323975,0.0683388658752181,0.06833887077343281,0,,,0.2220597217945588
D60E21,9.152542372881356,0.004673525658236316,0.0046735256736136765,0.053004489802916645,0.05300449232780048,0,,,0.14867215070931636
D60E21,9.423728813559322,0.016767390210936733,0.01676739038667896,0.06042750543683096,0.06042751155441398,0,,,0.13544094204334658
D60E21,9.694915254237287,0.0066176849882660874,0.006617685075150925,0.06668459662026392,0.06668460750451283,0,,,0.15497830275713742
D60E21,9.966101694915254,3.3306690738754696e-16,1.2212453270876722e-15,0.07849316515173108,0.07849321710888998,0,,,0.22313016332541238
D60E21,10.23728813559322,0.0022254651748370583,0.0022254652501587646,0.10828568478286206,0.10828574746671506,0,,,0.46723347461179054
D60E21,10.508474576271189,0.002057488031712779,0.002057488101061322,0.14229140288087208,0.14229142114850749,0,,,0.8192938414336688
D60E21,10.779661016949152,0.0012685096341886535,0.0012685097023680258,0.09066909903522943,0.09066912413483606,0,,,0.28089985678771
D60E21,11.050847457627118,0.00021149498834634777,0.00021149504202278013,0.06076560653668138,0.060765670800389845,0,,,0.10818689942135014
D60E21,11.322033898305085,0.0006573650171869936,0.0006573652750760939,0.038134746406952316,0.038134800386208714,0,,,0.06572657761472184
D60E21,11.593220338983052,0.0005512870222428525,0.0005512872170422983,0.02852270932604599,0.028522864522738337,0,,,0.04222572771424617
D60E21,11.864406779661016,0.00016631557843108235,0.00016631573647339637,0.023536084830603137,0.02353646359347036,0,,,0.029081527525696954
D60E21,12.135593220338984,0.00020091314168915807,0.00020091364885740232,0.018235656696588737,0.01823569635439687,0,,,0.02210045780706902
D60E21,12.40677966101695,0.0010542050521098853,0.0010542105003216,0.012940599521891381,0.012940841070019183,0,,,0.018687754475833707
D60E21,12.677966101694915,0.0002914464139362428,0.0002914489846815001,0.0076920247953326725,0.007692089938521814,0,,,0.017020603982544305
D60E21,12.94915254237288,1.614550634528094e-05,1.614583846320009e-05,0.004234432014666138,0.004234453931462094,0,,,0.016304273881531745
D60E21,13.220338983050848,1.580155941209526e-06,1.5802725127000094e-06,0.002284741482296363,0.0022847556871303677,0,,,0.01622362479859028
D60E21,13.491525423728811,1.8466647968809602e-06,1.846707470799997e-06,0.001730627351353346,0.0017306704350969473,0,,,0.016203568713917767
D60E21,13.76271186440678,9.840710416476205e-07,9.84088301899988e-07,0.0016789312616959486,0.001678935678289401,0,,,0.01618730423258094
D60E21,14.033898305084746,8.96748035918395e-08,8.972549036829341e-08,0.0016565353728682844,0.0016565993257921592,0,,,0.016175918051993764
D60E21,14.305084745762713,5.80351756218069e-07,5.80496969162489e-07,0.0016340736675875944,0.0016341317780724028,0,,,0.01617268431923139
D60E21,14.576271186440678,2.1085588535395217e-07,2.1106032919019274e-07,0.0016267276465903768,0.0016268381974780157,0,,,0.016169922604426346
D60E21,14.847457627118644,1.871304318723652e-08,1.874367253297383e-08,0.001624935620287933,0.0016250115305106124,0,,,0.016167569565289634
D60E21,15.11864406779661,5.194667718730289e-08,5.200644836821219e-08,0.0016222278682654534,0.0016222987760813785,0,,,0.01616603144608548
D60E21,15.389830508474576,9.610020945558122e-08,9.665806119141386e-08,0.0016200279068786807,0.0016201903701715977,0,,,0.016165147962894484
D60E21,15.66101694915254,6.323826143610327e-08,6.368621519100634e-08,0.0016190971422820224,0.0016192609099454978,0,,,0.016164440269690217
D60E21,15.932203389830509,9.378875045275636e-09,9.444720404186632e-09,0.0016181961810445213,0.0016182078895474617,0,,,0.016163921503702376
D60E21,16.203389830508474,9.154002058059383e-09,9.385911059010135e-09,0.001617216435494811,0.0016173055794187735,0,,,0.016163738486415297
D60E21,16.474576271186443,1.0847270188445916e-08,1.1062651782779704e-08,0.0016167614427999716,0.0016168496181349279,0,,,0.016163644080983235
D60E21,16.74576271186441,5.362599491498478e-09,5.471757794297764e-09,0.0016166305285785006,0.0016166448455908402,0,,,0.01616357136139866
