D,mode,beta,gamma,D_eff,uniform_omega1,uniform_omega2,uniform_delta_omega12,exact_omega1,exact_omega2,exact_delta_omega12,lorentz_E1,lorentz_E2,lorentz_omega1,lorentz_omega2,lorentz_delta_omega12,lorentz_rel_omega1_vs_exact,lorentz_rel_omega2_vs_exact,lorentz_rel_delta_vs_exact
12.0,length_contraction,0.8,1.666666666666667,7.199999999999998,0.5120394767370777,0.5121162902709587,7.681353388100387e-05,0.7224184535018031,0.7226741019993743,0.0002556484975712,-0.7321238317736959,-0.7268896030065269,0.5175675494332156,0.5225996526916882,0.005032103258472587,0.2835626679739518,0.27685293931822585,18.683680155683717
18.0,length_contraction,0.8,1.666666666666667,10.799999999999999,0.8331818635986599,0.8332064897769981,2.462617833820513e-05,0.720046264481841,0.7200499669852483,3.7025034073101537e-06,-0.3026017231185885,-0.3001434914513441,0.8351037521658081,0.8365742695951484,0.0014705174293402345,0.15979179861000284,0.161828078539843,396.16842027393477
6.0,boosted_frame,0.2,1.0206207261596576,5.919600211726014,0.830542721665029,0.8539665820249592,0.02342386035993027,0.721500223480184,0.7396293659720765,0.0181291424918924,-0.5619969711590231,-0.5381488361318457,0.6618179725883673,0.6795963242014735,0.017778351613106258,0.08271965683383596,0.08116638485777676,0.01934955715324206
12.0,boosted_frame,0.2,1.0206207261596576,12.04332456868396,0.5120394767370777,0.5121162902709587,7.681353388100387e-05,0.7224184535018031,0.7226741019993743,0.0002556484975712,-0.6120216498985294,-0.6118624039980138,0.6228790814447621,0.6230068988398011,0.00012781739503897604,0.13778630871697764,0.13791445256420648,0.5000268092583726
18.0,boosted_frame,0.2,1.0206207261596576,18.167048925641907,0.8331818635986599,0.8332064897769981,2.462617833820513e-05,0.720046264481841,0.7200499669852483,3.7025034073101537e-06,-0.6610958957127826,-0.6610951102699427,0.5821547082066909,0.5821553828060488,6.74599357930461e-07,0.1915037450744633,0.19150696549094415,0.8177991256946463
6.0,boosted_frame,0.4,1.0910894511799618,6.110100926607786,0.830542721665029,0.8539665820249592,0.02342386035993027,0.721500223480184,0.7396293659720765,0.0181291424918924,-0.693049910360767,-0.6783435542390304,0.5540307659681302,0.5671476401793184,0.013116874211188234,0.23211282832908703,0.23320021314468722,0.2764757507392156
12.0,boosted_frame,0.4,1.0910894511799618,12.656637633687557,0.5120394767370777,0.5121162902709587,7.681353388100387e-05,0.7224184535018031,0.7226741019993743,0.0002556484975712,-0.30794629596651313,-0.3071199443224524,0.831897652378877,0.8323941708575017,0.0004965184786246413,0.15154540743857212,0.15182510145938832,0.9421920462738382
18.0,boosted_frame,0.4,1.0910894511799618,19.20317434076733,0.8331818635986599,0.8332064897769981,2.462617833820513e-05,0.720046264481841,0.7200499669852483,3.7025034073101537e-06,-0.7415895624977458,-0.7415894130453113,0.508340867432724,0.5083410144329185,1.4700019446145518e-07,0.29401638129664376,0.2940198073179928,0.9602970805722364
6.0,boosted_frame,0.6,1.25,6.75,0.830542721665029,0.8539665820249592,0.02342386035993027,0.721500223480184,0.7396293659720765,0.0181291424918924,-0.41301282591607713,-0.3940895492726146,0.7661508820617012,0.7784024991785325,0.012251617116831315,0.06188585551109466,0.052422382060908934,0.3242031650250195
12.0,boosted_frame,0.6,1.25,14.25,0.5120394767370777,0.5121162902709587,7.681353388100387e-05,0.7224184535018031,0.7226741019993743,0.0002556484975712,-0.31671028223664244,-0.31640128704093984,0.8266134028452222,0.8268002860177663,0.00018688317254411668,0.14423074166828304,0.1440845655466455,0.268983880916146
18.0,boosted_frame,0.6,1.25,21.75,0.8331818635986599,0.8332064897769981,2.462617833820513e-05,0.720046264481841,0.7200499669852483,3.7025034073101537e-06,-0.319438289709147,-0.3194342894950259,0.8249616417087845,0.8249640661901426,2.4244813581209e-06,0.14570643915838194,0.14570391502711333,0.3451778185175875
6.0,boosted_frame,0.8,1.666666666666667,8.666666666666668,0.830542721665029,0.8539665820249592,0.02342386035993027,0.721500223480184,0.7396293659720765,0.0181291424918924,-0.30268067091352857,-0.2943274840949588,0.8350564825725691,0.8400431631202299,0.004986680547660716,0.1573890837408783,0.13576231794985857,0.7249356636757184
12.0,boosted_frame,0.8,1.666666666666667,18.666666666666668,0.5120394767370777,0.5121162902709587,7.681353388100387e-05,0.7224184535018031,0.7226741019993743,0.0002556484975712,-0.7421539105204034,-0.7421536743583523,0.5077854758454564,0.507785708386567,2.3254111058967908e-07,0.2971033984748716,0.2973517288336332,0.9990903873373052
18.0,boosted_frame,0.8,1.666666666666667,28.66666666666667,0.8331818635986599,0.8332064897769981,2.462617833820513e-05,0.720046264481841,0.7200499669852483,3.7025034073101537e-06,-0.30821485071200583,-0.3082147513791371,0.8317362257879563,0.8317362855021193,5.971416305872168e-08,0.15511497915552624,0.15510912247449513,0.9838719491950167
