combo_id,mode,kappa,center_D,width_D,power,region,D,eta,mu_full,mu_base,mu_cf,abs_delta_base,abs_delta_cf,abs_improvement
1,gamma_ref_enhance,0.05,6.1,0.12,0.5,D60_hotspot,6.711864406779661,1.53,21.790860366309776,29.252990488269216,25.719033554564582,7.46213012195944,3.9281731882548065,3.5339569337046335
1,gamma_ref_enhance,0.05,6.1,0.12,0.5,D60_hotspot,6.711864406779661,1.72,21.790881064165323,29.253039327209965,25.719076493434592,7.462158263044643,3.9281954292692696,3.533962833775373
1,gamma_ref_enhance,0.05,6.1,0.12,0.5,D60_hotspot,6.711864406779661,1.91,21.790901761884168,29.25308816630453,25.719119432439832,7.462186404420361,3.9282176705556644,3.533968733864697
1,gamma_ref_enhance,0.05,6.1,0.12,0.5,D60_hotspot,6.711864406779661,2.1,21.7909224595533,29.253137002982985,25.719162369320845,7.462214543429685,3.9282399097675444,3.5339746336621403
1,gamma_ref_enhance,0.05,6.1,0.12,0.5,D60_hotspot,6.711864406779661,2.29,21.790943157200772,29.253185837562075,25.719205304356112,7.462242680361303,3.9282621471553405,3.5339805332059626
1,gamma_ref_enhance,0.05,6.1,0.12,0.5,D60_hotspot,6.711864406779661,2.4800000000000004,21.790963854697058,29.253234672272725,25.719248239507042,7.462270817575668,3.9282843848099844,3.5339864327656834
1,gamma_ref_enhance,0.05,6.1,0.12,0.5,D60_hotspot,6.711864406779661,2.6700000000000004,21.7909845521938,29.25328350719355,25.71929117484276,7.462298954999749,3.9283066226489574,3.533992332350792
1,gamma_ref_enhance,0.05,6.1,0.12,0.5,D60_hotspot,6.711864406779661,2.8600000000000003,21.79100524961991,29.253332342305217,25.719334110346264,7.462327092685307,3.928328860726353,3.533998231958954
1,gamma_ref_enhance,0.05,6.1,0.12,0.5,D60_hotspot,6.711864406779661,3.0500000000000003,21.791025947001945,29.25338117760384,25.719377046014138,7.462355230601894,3.9283510990121933,3.5340041315897004
1,gamma_ref_enhance,0.05,6.1,0.12,0.5,D60_hotspot,6.711864406779661,3.24,21.791046644304153,29.25343001308495,25.719419981842453,7.462383368780799,3.9283733375383,3.5340100312424987
1,gamma_ref_enhance,0.05,6.1,0.12,0.5,D60_hotspot,6.711864406779661,3.43,21.79106734152444,29.25347884874859,25.719462917831247,7.46241150722415,3.9283955763068086,3.5340159309173416
1,gamma_ref_enhance,0.05,6.1,0.12,0.5,D60_hotspot,6.711864406779661,3.62,21.7910880386692,29.25352768459161,25.719505853977754,7.462439645922409,3.9284178153085527,3.534021830613856
1,gamma_ref_enhance,0.05,6.1,0.12,0.5,D60_hotspot,6.711864406779661,3.81,21.79110873580438,29.25357652063404,25.719548790299577,7.462467784829663,3.928440054495198,3.534027730334465
1,gamma_ref_enhance,0.05,6.1,0.12,0.5,D60_hotspot,6.711864406779661,4.0,21.791129432843228,29.253625356866003,25.71959172678804,7.462495924022775,3.9284622939448113,3.534033630077964
1,gamma_ref_enhance,0.05,6.1,0.12,0.5,D21_guard,4.0,0.2,2.408283091800887,1.7088539774154017,1.708853973124471,0.6994291143854852,0.6994291186764159,-4.2909307218508275e-09
1,gamma_ref_enhance,0.05,6.1,0.12,0.5,D21_guard,4.0,0.295,2.426537875766881,1.721749963029307,1.7217499587059943,0.704787912737574,0.7047879170608866,-4.323312596810069e-09
1,gamma_ref_enhance,0.05,6.1,0.12,0.5,D21_guard,4.0,0.39,2.444858483789307,1.7347286463553877,1.7347286419994856,0.7101298374339191,0.7101298417898212,-4.355902083474916e-09
1,gamma_ref_enhance,0.05,6.1,0.12,0.5,D21_guard,4.0,0.485,2.463244330280558,1.7477910238007683,1.7477910194120667,0.7154533064797897,0.7154533108684913,-4.388701624336022e-09
1,gamma_ref_enhance,0.05,6.1,0.12,0.5,D21_guard,4.0,0.5800000000000001,2.481694821821148,1.7609381139352602,1.7609381095135463,0.7207567078858879,0.7207567123076017,-4.421713883928646e-09
1,gamma_ref_enhance,0.05,6.1,0.12,0.5,D21_guard,4.0,0.675,2.500209357237757,1.7740414941581613,1.7740414897035448,0.7261678630795958,0.7261678675342123,-4.4546164534864374e-09
1,gamma_ref_enhance,0.05,6.1,0.12,0.5,D21_guard,4.0,0.77,2.518787327683288,1.7871935483273715,1.7871935438397302,0.7315937793559166,0.731593783843558,-4.487641369621542e-09
1,gamma_ref_enhance,0.05,6.1,0.12,0.5,D21_guard,4.0,0.865,2.5374281167187394,1.800429385011821,1.8004293804909444,0.7369987317069184,0.736998736227795,-4.520876561997511e-09
1,gamma_ref_enhance,0.05,6.1,0.12,0.5,D21_guard,4.0,0.96,2.5561311003970992,1.813750031551268,1.8137500269969433,0.7423810688458312,0.7423810734001559,-4.554324695149603e-09
1,gamma_ref_enhance,0.05,6.1,0.12,0.5,D21_guard,4.0,1.055,2.574895647349112,1.8269818958066275,1.8269818912190776,0.7479137515424843,0.7479137561300342,-4.58754989551835e-09
1,gamma_ref_enhance,0.05,6.1,0.12,0.5,D21_guard,4.0,1.15,2.5937211188708993,1.8401679114085652,1.8401679067879053,0.7535532074623341,0.753553212082994,-4.620659854737141e-09
1,gamma_ref_enhance,0.05,6.1,0.12,0.5,D21_guard,4.0,1.245,2.6126068690134527,1.8534345227135596,1.8534345180595873,0.7591723462998932,0.7591723509538655,-4.653972318635624e-09
1,gamma_ref_enhance,0.05,6.1,0.12,0.5,D21_guard,4.0,1.34,2.631552244673955,1.866782700501997,1.8667826958145073,0.764769544171958,0.7647695488594477,-4.687489729704453e-09
1,gamma_ref_enhance,0.05,6.1,0.12,0.5,D21_guard,4.0,1.435,2.6505565856888667,1.880213436765445,1.8802134320442307,0.7703431489234216,0.7703431536446359,-4.721214308389676e-09
1,gamma_ref_enhance,0.05,6.1,0.12,0.5,D21_guard,4.0,1.53,2.6696192249287676,1.893727745169134,1.8937277404139852,0.7758914797596337,0.7758914845147824,-4.755148719226554e-09
1,gamma_ref_enhance,0.05,6.1,0.12,0.5,D21_guard,4.0,1.625,2.688739488394995,1.9073266615270352,1.9073266567377398,0.7814128268679599,0.7814128316572553,-4.78929540470574e-09
1,gamma_ref_enhance,0.05,6.1,0.12,0.5,D21_guard,4.0,1.72,2.707916695317909,1.9210112442900005,1.921011239466343,0.7869054510279085,0.786905455851566,-4.8236574734517035e-09
1,gamma_ref_enhance,0.05,6.1,0.12,0.5,D21_guard,4.0,1.815,2.7271501582568853,1.934782575047329,1.934782570189092,0.7923675832095562,0.7923675880677934,-4.858237145910493e-09
1,gamma_ref_enhance,0.05,6.1,0.12,0.5,D21_guard,4.0,1.91,2.7464391832019213,1.9486417590422531,1.9486417541492154,0.7977974241596681,0.7977974290527059,-4.893037752751184e-09
1,gamma_ref_enhance,0.05,6.1,0.12,0.5,D21_guard,4.0,2.005,2.765783069676865,1.9625521125632797,1.9625521076353132,0.8032309571135854,0.8032309620415519,-4.927966479328916e-09
1,gamma_ref_enhance,0.05,6.1,0.12,0.5,D21_guard,4.0,2.1,2.785181110844213,1.9758631323240792,1.9758631273626888,0.8093179785201339,0.8093179834815243,-4.961390409619071e-09
1,gamma_ref_enhance,0.05,6.1,0.12,0.5,D21_guard,4.0,2.1950000000000003,2.804632593611466,1.9892484587296648,1.9892484537346637,0.8153841348818012,0.8153841398768022,-4.995001079421968e-09
1,gamma_ref_enhance,0.05,6.1,0.12,0.5,D21_guard,4.0,2.29,2.8241367987389703,2.00270896253508,2.0027089575062793,0.8214278362038905,0.821427841232691,-5.028800487139051e-09
1,gamma_ref_enhance,0.05,6.1,0.12,0.5,D21_guard,4.0,2.385,2.8436930009492434,2.0162455330151308,2.01624552795234,0.8274474679341126,0.8274474729969032,-5.062790631171765e-09
1,gamma_ref_enhance,0.05,6.1,0.12,0.5,D21_guard,4.0,2.4800000000000004,2.863300469037758,2.0298590783416146,2.02985907324464,0.8334413906961435,0.8334413957931179,-5.096974398099974e-09
1,gamma_ref_enhance,0.05,6.1,0.12,0.5,D21_guard,4.0,2.575,2.882958465985096,2.0435505259702658,2.043550520838912,0.8394079400148304,0.839407945146184,-5.131353564280516e-09
1,gamma_ref_enhance,0.05,6.1,0.12,0.5,D21_guard,4.0,2.6700000000000004,2.9026662490704944,2.057320823037913,2.0573208178719824,0.8453454260325812,0.845345431198512,-5.165930794248652e-09
1,gamma_ref_enhance,0.05,6.1,0.12,0.5,D21_guard,4.0,2.765,2.9224230699866847,2.0711709367700424,2.071170931569334,0.8512521332166423,0.8512521384173506,-5.20070830845043e-09
1,gamma_ref_enhance,0.05,6.1,0.12,0.5,D21_guard,4.0,2.8600000000000003,2.9422281749560883,2.085101854899203,2.085101849663514,0.8571263200568855,0.8571263252925743,-5.23568877142111e-09
1,gamma_ref_enhance,0.05,6.1,0.12,0.5,D21_guard,4.0,2.955,2.962080804848188,2.099114586094514,2.099114580823639,0.862966218753674,0.8629662240245488,-5.27087484769595e-09
1,gamma_ref_enhance,0.05,6.1,0.12,0.5,D21_guard,4.0,3.0500000000000003,2.981980195298183,2.1132101604027227,2.113210155096454,0.8687700348954603,0.8687700402017291,-5.306268757721e-09
1,gamma_ref_enhance,0.05,6.1,0.12,0.5,D21_guard,4.0,3.145,3.0019255768267654,2.1273896297011547,2.127389624359281,0.8745359471256107,0.8745359524674843,-5.341873610120729e-09
