width_power_base,trigger_lo,trigger_hi,turnoff_lo,turnoff_hi,tail_reboost_max,objective_width_focus,d4p0_max_abs_delta_mu,d4p0_acceptance_mismatch,d4p8_max_abs_delta_mu,d6p4_max_abs_delta_mu,d7p2_max_abs_delta_mu,width_focus_acceptance_mismatch
0.8,3.5,7.0,30.0,60.0,0.15,12.58390842241157,0.1306880131025432,0.1951219512195122,12.58390842241157,41.61379577039803,1.022838568768722,0.06504065040650407
0.8,3.5,7.0,30.0,60.0,0.05,12.58390842241157,0.7122486736370541,0.3902439024390244,12.58390842241157,41.61379577039803,1.022838568768722,0.13008130081300814
0.8,3.5,7.0,30.0,60.0,0.0,12.58390842241157,0.9786627326303692,0.3902439024390244,12.58390842241157,41.61379577039803,1.022838568768722,0.13008130081300814
0.8,2.5,5.0,30.0,60.0,0.05,12.58390842241157,0.7122486736370541,0.3902439024390244,12.58390842241157,41.61379577039803,0.3602270741826179,0.13008130081300814
0.75,3.0,6.0,30.0,60.0,0.05,13.637582409808656,0.7122486736370541,0.3902439024390244,13.637582409808656,39.64690399844427,1.0201585204067576,0.13008130081300814
0.75,2.0,4.0,30.0,60.0,0.0,13.637582409808656,0.9786627326303692,0.3902439024390244,13.637582409808656,39.64690399844427,0.5134792410126541,0.13008130081300814
0.75,3.5,7.0,30.0,60.0,0.05,13.637582409808656,0.7122486736370541,0.3902439024390244,13.637582409808656,39.64690399844427,1.022838568768722,0.13008130081300814
0.75,3.5,7.0,30.0,60.0,0.0,13.637582409808656,0.9786627326303692,0.3902439024390244,13.637582409808656,39.64690399844427,1.022838568768722,0.13008130081300814
0.75,3.5,7.0,30.0,60.0,0.15,13.637582409808656,0.1306880131025432,0.1951219512195122,13.637582409808656,39.64690399844427,1.022838568768722,0.06504065040650407
0.75,4.0,8.0,30.0,60.0,0.15,13.637582409808656,0.1306880131025432,0.1951219512195122,13.637582409808656,39.64690399844427,1.022838568768722,0.06504065040650407
0.75,3.0,6.0,30.0,60.0,0.15,13.637582409808656,0.1306880131025432,0.1951219512195122,13.637582409808656,39.64690399844427,1.0201585204067576,0.06504065040650407
0.75,3.0,6.0,30.0,60.0,0.0,13.637582409808656,0.9786627326303692,0.3902439024390244,13.637582409808656,39.64690399844427,1.0201585204067576,0.13008130081300814
0.75,4.0,8.0,30.0,60.0,0.0,13.637582409808656,0.9786627326303692,0.3902439024390244,13.637582409808656,39.64690399844427,1.022838568768722,0.13008130081300814
0.75,2.0,4.0,30.0,60.0,0.05,13.637582409808656,0.7122486736370541,0.3902439024390244,13.637582409808656,39.64690399844427,0.5134792410126541,0.13008130081300814
0.75,2.0,4.0,30.0,60.0,0.15,13.637582409808656,0.1306880131025432,0.1951219512195122,13.637582409808656,39.64690399844427,0.5134792410126541,0.06504065040650407
0.75,2.5,5.0,30.0,60.0,0.15,13.637582409808656,0.1306880131025432,0.1951219512195122,13.637582409808656,39.64690399844427,0.3602270741826179,0.06504065040650407
0.75,2.5,5.0,30.0,60.0,0.05,13.637582409808656,0.7122486736370541,0.3902439024390244,13.637582409808656,39.64690399844427,0.3602270741826179,0.13008130081300814
0.75,4.0,8.0,30.0,60.0,0.05,13.637582409808656,0.7122486736370541,0.3902439024390244,13.637582409808656,39.64690399844427,1.022838568768722,0.13008130081300814
0.75,2.5,5.0,30.0,60.0,0.0,13.637582409808656,0.9786627326303692,0.3902439024390244,13.637582409808656,39.64690399844427,0.3602270741826179,0.13008130081300814
0.8,2.0,4.0,40.0,80.0,0.05,25.129893634164752,0.7122486736370541,0.3902439024390244,25.129893634164752,23.051202627246127,0.5134792410126541,0.13008130081300814
0.8,2.5,5.0,40.0,80.0,0.15,25.129893634164752,0.1306880131025432,0.1951219512195122,25.129893634164752,23.051202627246127,0.3602270741826179,0.06504065040650407
0.8,3.5,7.0,40.0,80.0,0.0,25.129893634164752,0.9786627326303692,0.3902439024390244,25.129893634164752,23.051202627246127,1.022838568768722,0.13008130081300814
0.8,2.5,5.0,40.0,80.0,0.05,25.129893634164752,0.7122486736370541,0.3902439024390244,25.129893634164752,23.051202627246127,0.3602270741826179,0.13008130081300814
0.8,2.5,5.0,40.0,80.0,0.0,25.129893634164752,0.9786627326303692,0.3902439024390244,25.129893634164752,23.051202627246127,0.3602270741826179,0.13008130081300814
0.8,4.0,8.0,40.0,80.0,0.15,25.129893634164752,0.1306880131025432,0.1951219512195122,25.129893634164752,23.051202627246127,1.022838568768722,0.06504065040650407
0.8,4.0,8.0,40.0,80.0,0.05,25.129893634164752,0.7122486736370541,0.3902439024390244,25.129893634164752,23.051202627246127,1.022838568768722,0.13008130081300814
0.8,3.5,7.0,40.0,80.0,0.05,25.129893634164752,0.7122486736370541,0.3902439024390244,25.129893634164752,23.051202627246127,1.022838568768722,0.13008130081300814
0.8,3.0,6.0,40.0,80.0,0.15,25.129893634164752,0.1306880131025432,0.1951219512195122,25.129893634164752,23.051202627246127,1.0201585204067576,0.06504065040650407
0.8,3.0,6.0,40.0,80.0,0.05,25.129893634164752,0.7122486736370541,0.3902439024390244,25.129893634164752,23.051202627246127,1.0201585204067576,0.13008130081300814
0.8,3.0,6.0,40.0,80.0,0.0,25.129893634164752,0.9786627326303692,0.3902439024390244,25.129893634164752,23.051202627246127,1.0201585204067576,0.13008130081300814
0.8,2.0,4.0,40.0,80.0,0.15,25.129893634164752,0.1306880131025432,0.1951219512195122,25.129893634164752,23.051202627246127,0.5134792410126541,0.06504065040650407
0.8,4.0,8.0,40.0,80.0,0.0,25.129893634164752,0.9786627326303692,0.3902439024390244,25.129893634164752,23.051202627246127,1.022838568768722,0.13008130081300814
0.8,3.5,7.0,40.0,80.0,0.15,25.129893634164752,0.1306880131025432,0.1951219512195122,25.129893634164752,23.051202627246127,1.022838568768722,0.06504065040650407
0.8,2.0,4.0,40.0,80.0,0.0,25.129893634164752,0.9786627326303692,0.3902439024390244,25.129893634164752,23.051202627246127,0.5134792410126541,0.13008130081300814
0.75,4.0,8.0,40.0,80.0,0.05,32.28331016471443,0.7122486736370541,0.3902439024390244,32.28331016471443,13.999274743361546,1.022838568768722,0.13008130081300814
0.75,4.0,8.0,40.0,80.0,0.0,32.28331016471443,0.9786627326303692,0.3902439024390244,32.28331016471443,13.999274743361546,1.022838568768722,0.13008130081300814
0.75,4.0,8.0,40.0,80.0,0.15,32.28331016471443,0.1306880131025432,0.1951219512195122,32.28331016471443,13.999274743361546,1.022838568768722,0.06504065040650407
0.75,3.5,7.0,40.0,80.0,0.15,32.28331016471443,0.1306880131025432,0.1951219512195122,32.28331016471443,13.999274743361546,1.022838568768722,0.06504065040650407
0.75,2.5,5.0,40.0,80.0,0.15,32.28331016471443,0.1306880131025432,0.1951219512195122,32.28331016471443,13.999274743361546,0.3602270741826179,0.06504065040650407
0.75,2.5,5.0,40.0,80.0,0.0,32.28331016471443,0.9786627326303692,0.3902439024390244,32.28331016471443,13.999274743361546,0.3602270741826179,0.13008130081300814
0.75,2.5,5.0,40.0,80.0,0.05,32.28331016471443,0.7122486736370541,0.3902439024390244,32.28331016471443,13.999274743361546,0.3602270741826179,0.13008130081300814
0.75,2.0,4.0,40.0,80.0,0.05,32.28331016471443,0.7122486736370541,0.3902439024390244,32.28331016471443,13.999274743361546,0.5134792410126541,0.13008130081300814
0.75,2.0,4.0,40.0,80.0,0.0,32.28331016471443,0.9786627326303692,0.3902439024390244,32.28331016471443,13.999274743361546,0.5134792410126541,0.13008130081300814
0.75,3.0,6.0,40.0,80.0,0.0,32.28331016471443,0.9786627326303692,0.3902439024390244,32.28331016471443,13.999274743361546,1.0201585204067576,0.13008130081300814
0.75,3.0,6.0,40.0,80.0,0.15,32.28331016471443,0.1306880131025432,0.1951219512195122,32.28331016471443,13.999274743361546,1.0201585204067576,0.06504065040650407
0.75,3.0,6.0,40.0,80.0,0.05,32.28331016471443,0.7122486736370541,0.3902439024390244,32.28331016471443,13.999274743361546,1.0201585204067576,0.13008130081300814
0.75,2.0,4.0,40.0,80.0,0.15,32.28331016471443,0.1306880131025432,0.1951219512195122,32.28331016471443,13.999274743361546,0.5134792410126541,0.06504065040650407
0.75,3.5,7.0,40.0,80.0,0.05,32.28331016471443,0.7122486736370541,0.3902439024390244,32.28331016471443,13.999274743361546,1.022838568768722,0.13008130081300814
0.75,3.5,7.0,40.0,80.0,0.0,32.28331016471443,0.9786627326303692,0.3902439024390244,32.28331016471443,13.999274743361546,1.022838568768722,0.13008130081300814
0.8,4.0,8.0,50.0,100.0,0.05,38.99539469763636,0.7122486736370541,0.3902439024390244,38.99539469763636,6.615337374710364,1.022838568768722,0.13008130081300814
