ref_D,refamp2_peak,center_D,sigma_D,D,eta,target_mu,mu_new,delta_mu,acceptance_mismatch
9.694915254237287,0.0,5.9,0.1,5.898305084745763,0.5800000000000001,73.29256906733613,60.257317741395916,-13.035251325940216,0.0
9.694915254237287,0.0,5.9,0.1,5.898305084745763,0.77,73.2939336216711,60.26014963122751,-13.033783990443588,0.0
9.694915254237287,0.0,5.9,0.1,5.898305084745763,0.96,73.29529815797706,60.26298173779924,-13.032316420177821,0.0
9.694915254237287,0.0,5.9,0.1,5.898305084745763,1.15,73.29666267615853,60.26581328900283,-13.030849387155705,0.0
9.694915254237287,0.0,5.9,0.1,5.898305084745763,1.34,73.29802717630976,60.268644897635,-13.02938227867476,0.0
9.694915254237287,0.0,5.9,0.1,5.898305084745763,1.53,73.29939165838354,60.27147678658714,-13.027914871796405,0.0
9.694915254237287,0.0,5.9,0.1,5.898305084745763,1.72,73.30075612237763,60.27430895591068,-13.026447166466951,0.0
9.694915254237287,0.0,5.9,0.1,5.898305084745763,1.91,73.30212056828817,60.27714140564782,-13.024979162640356,0.0
9.694915254237287,0.0,5.9,0.1,5.898305084745763,2.1,73.30348499615062,60.27997294177464,-13.023512054375978,0.0
9.694915254237287,0.0,5.9,0.1,5.898305084745763,2.29,73.30484940592164,60.28280368338697,-13.02204572253467,0.0
9.694915254237287,0.0,5.9,0.1,5.898305084745763,2.4800000000000004,73.30621379761986,60.28563470510325,-13.020579092516613,0.0
9.694915254237287,0.0,5.9,0.1,5.898305084745763,2.6700000000000004,73.307578171227,60.288466006961094,-13.019112164265898,0.0
9.694915254237287,0.0,5.9,0.1,5.898305084745763,2.8600000000000003,73.30894252676417,60.291297589012885,-13.017644937751285,0.0
9.694915254237287,0.0,5.9,0.1,5.898305084745763,3.0500000000000003,73.31030686420101,60.29412945129645,-13.016177412904561,0.0
9.694915254237287,0.0,5.9,0.1,5.898305084745763,3.24,73.31167118356616,60.29696159386269,-13.014709589703472,0.0
9.694915254237287,0.0,5.9,0.1,5.898305084745763,3.43,73.31303548482741,60.29979401674245,-13.013241468084956,0.0
9.694915254237287,0.0,5.9,0.1,5.898305084745763,3.62,73.31439976801113,60.30262671999676,-13.01177304801437,0.0
9.694915254237287,0.0,5.9,0.1,5.898305084745763,3.81,73.3157640331047,60.30545970366357,-13.010304329441126,0.0
9.694915254237287,0.0,5.9,0.1,5.898305084745763,4.0,73.31712828008988,60.30829296778385,-13.008835312306026,0.0
