region,D,eta,mu_full,mu_base,mu_cf,chi2_full,chi2_base,chi2_cf,delta_base,delta_cf,abs_delta_base,abs_delta_cf,abs_improvement,cf_shift_vs_base,improved,worsened,obs_acceptance_flip_vs_base
D21_guard,4.0,1.53,2.6696192249287676,1.893727745169134,1.9784998508361047,10.07458110192953,1.5235442896862346,2.0916379838587216,-0.7758914797596337,-0.6911193740926629,0.7758914797596337,0.6911193740926629,0.0847721056669708,0.0847721056669708,1.0,0.0,0.0
D21_guard,4.0,1.625,2.688739488394995,1.9073266615270352,1.9925621397851494,10.380309180928712,1.6086271343510452,2.194561809417219,-0.7814128268679599,-0.6961773486098457,0.7814128268679599,0.6961773486098457,0.08523547825811417,0.08523547825811417,1.0,0.0,0.0
D21_guard,4.0,1.72,2.707916695317909,1.9210112442900005,2.0067127297835214,10.691538011820745,1.6965794792288411,2.3006271030085776,-0.7869054510279085,-0.7012039655343876,0.7869054510279085,0.7012039655343876,0.08570148549352097,0.08570148549352097,1.0,0.0,0.0
D21_guard,4.0,1.815,2.7271501582568853,1.934782575047329,2.0209527462707584,11.008297141007976,1.7874525160890775,2.409889456882481,-0.7923675832095562,-0.706197411986127,0.7923675832095562,0.706197411986127,0.08617017122342929,0.08617017122342929,1.0,0.0,0.0
D21_guard,4.0,1.91,2.7464391832019213,1.9486417590422531,2.0352833391776395,11.330615462884108,1.881298623531111,2.522405756479324,-0.7977974241596681,-0.7111558440242818,0.7977974241596681,0.7111558440242818,0.08664158013538636,0.08664158013538636,1.0,0.0,0.0
D21_guard,4.0,2.005,2.765783069676865,1.9625521125632797,2.0496661918799313,11.658521208849752,1.977905495933806,2.637913505448574,-0.8032309571135854,-0.7161168777969338,0.8032309571135854,0.7161168777969338,0.0871140793166516,0.0871140793166516,1.0,0.0,0.0
D21_guard,4.0,2.1,2.785181110844213,1.9758631323240792,2.0634219782000605,11.992041936497552,2.0726146698131265,2.7508045072430103,-0.8093179785201339,-0.7217591326441526,0.8093179785201339,0.7217591326441526,0.08755884587598128,0.08755884587598128,1.0,0.0,0.0
D21_guard,4.0,2.1950000000000003,2.804632593611466,1.9892484587296648,2.0772542879685627,12.331204518972962,2.1700859132205332,2.866708566073781,-0.8153841348818012,-0.7273783056429033,0.8153841348818012,0.7273783056429033,0.08800582923889788,0.08800582923889788,1.0,0.0,0.0
D21_guard,4.0,2.29,2.8241367987389703,2.00270896253508,2.0911640281337416,12.676035134515514,2.270363084500702,2.9856732111628728,-0.8214278362038905,-0.7329727706052287,0.8214278362038905,0.7329727706052287,0.08845506559866179,0.08845506559866179,1.0,0.0,0.0
D21_guard,4.0,2.385,2.8436930009492434,2.0162455330151308,2.1051521248043734,13.02655925618645,2.373490981006892,3.107746994475767,-0.8274474679341126,-0.73854087614487,0.8274474679341126,0.73854087614487,0.08890659178924265,0.08890659178924265,1.0,0.0,0.0
