scenario,grid,D,eta,mu_mumu_full,mu_mumu_cmp,abs_delta_mu_mumu,chi2_mumu_full,chi2_mumu_cmp,accept_full,accept_cmp,acceptance_mismatch
small_full_vs_cell_direct_runtime_release_tuned,D21xE41,5.6,2.765,52.98998834071848,58.375611117630385,5.385622776911902,16634.54310622168,20288.876638921545,False,False,False
small_full_vs_cell_direct_runtime_release_tuned,D21xE41,5.6,2.6700000000000004,52.9886115413988,58.374105343910145,5.385493802511348,16633.655254808404,20287.80424836856,False,False,False
small_full_vs_cell_direct_runtime_release_tuned,D21xE41,5.6,2.575,52.98723472822851,58.372599554272526,5.385364826044018,16632.767418158408,20286.73187482184,False,False,False
small_full_vs_cell_direct_runtime_release_tuned,D21xE41,5.6,2.4800000000000004,52.98585790121561,58.37109374872653,5.38523584751092,16631.87959627755,20285.659518288667,False,False,False
small_full_vs_cell_direct_runtime_release_tuned,D21xE41,5.6,2.385,52.98448106035807,58.36958792726979,5.38510686691172,16630.991789165248,20284.587178768274,False,False,False
small_full_vs_cell_direct_runtime_release_tuned,D21xE41,5.6,2.29,52.98310420565327,58.36808208989937,5.384977884246098,16630.103996820522,20283.51485625945,False,False,False
small_full_vs_cell_direct_runtime_release_tuned,D21xE41,5.6,2.1950000000000003,52.98172733711608,58.36657623663163,5.3848488995155535,16629.216219253678,20282.44255077477,False,False,False
small_full_vs_cell_direct_runtime_release_tuned,D21xE41,5.6,2.1,52.980350454742386,58.36507036746199,5.3847199127196035,16628.328456462765,20281.370262311848,False,False,False
small_full_vs_cell_direct_runtime_release_tuned,D21xE41,5.6,2.005,52.978973558534975,58.36356448239364,5.384590923858667,16627.44070845031,20280.297990873867,False,False,False
small_full_vs_cell_direct_runtime_release_tuned,D21xE41,5.6,1.91,52.97759664849401,58.3620585814266,5.384461932932595,16626.55297521712,20279.22573646172,False,False,False
small_full_vs_cell_direct_runtime_release_tuned,D21xE41,5.6,1.815,52.97621972463325,58.360552664576005,5.384332939942752,16625.665256772805,20278.153499087104,False,False,False
small_full_vs_cell_direct_runtime_release_tuned,D21xE41,5.6,1.72,52.974842786936115,58.35904673182385,5.384203944887737,16624.777553107346,20277.08127873809,False,False,False
small_full_vs_cell_direct_runtime_release_tuned,D21xE41,5.6,1.625,52.97346583543359,58.35754078320384,5.3840749477702445,16623.889864241475,20276.00907543955,False,False,False
small_full_vs_cell_direct_runtime_release_tuned,D21xE41,5.6,1.53,52.972088870096584,58.35603481868418,5.383945948587595,16623.002190157124,20274.936889169778,False,False,False
small_full_vs_cell_direct_runtime_release_tuned,D21xE41,5.6,1.435,52.97071189095272,58.35452883829517,5.383816947342446,16622.114530872823,20273.864719951223,False,False,False
small_full_vs_cell_direct_runtime_release_tuned,D21xE41,5.6,1.34,52.9693348979908,58.353022842024494,5.383687944033696,16621.22688638207,20272.792567776025,False,False,False
small_full_vs_cell_direct_runtime_release_tuned,D21xE41,5.6,1.245,52.967957891220266,58.351516829882534,5.383558938662269,16620.339256691663,20271.720432652455,False,False,False
small_full_vs_cell_direct_runtime_release_tuned,D21xE41,5.6,1.15,52.9665808706477,58.350010801876465,5.383429931228768,16619.451641806554,20270.64831458654,False,False,False
small_full_vs_cell_direct_runtime_release_tuned,D21xE41,5.6,1.055,52.96520383626276,58.348504757995045,5.383300921732285,16618.564041720794,20269.576213571152,False,False,False
small_full_vs_cell_direct_runtime_release_tuned,D21xE41,5.6,0.96,52.963826788075046,58.34699869824866,5.3831719101736155,16617.67645644128,20268.50412961459,False,False,False
small_full_vs_cell_direct_runtime_release_tuned,D21xE41,5.6,0.865,52.962449726095045,58.345492622648905,5.38304289655386,16616.788885975493,20267.43206272601,False,False,False
small_full_vs_cell_direct_runtime_release_tuned,D21xE41,5.6,0.77,52.96107265031055,58.3439865311823,5.3829138808717545,16615.90133031626,20266.360012896697,False,False,False
small_full_vs_cell_direct_runtime_release_tuned,D21xE41,5.6,0.675,52.959695560731745,58.34248042386006,5.382784863128315,16615.01378947088,20265.287980135538,False,False,False
small_full_vs_cell_direct_runtime_release_tuned,D21xE41,5.6,0.5800000000000001,52.95831845737875,58.34097430070425,5.3826558433254945,16614.126263453018,20264.215964459137,False,False,False
small_full_vs_cell_direct_runtime_release_tuned,D21xE41,5.6,0.485,52.95694134022074,58.339468161681054,5.382526821460317,16613.238752243513,20263.143965844316,False,False,False
small_full_vs_cell_direct_runtime_release_tuned,D21xE41,5.6,0.39,52.955564209266726,58.337962006800446,5.38239779753372,16612.3512558489,20262.07198429907,False,False,False
small_full_vs_cell_direct_runtime_release_tuned,D21xE41,5.6,0.295,52.954187064558965,58.33645583610865,5.382268771549683,16611.463774297114,20261.000019857187,False,False,False
small_full_vs_cell_direct_runtime_release_tuned,D21xE41,5.6,0.2,52.95280990608075,58.334949649587166,5.382139743506414,16610.576307578107,20259.928072506413,False,False,False
small_full_vs_cell_direct_runtime,D21xE41,5.6,4.0,53.00788547030098,58.03132782718416,5.02344235688318,16646.086516973137,20044.420571687515,False,False,False
small_full_vs_cell_direct_runtime,D21xE41,5.6,3.905,53.00650885127799,58.029829840271034,5.023320988993042,16645.198473856457,20043.36017336282,False,False,False
small_full_vs_cell_direct_runtime,D21xE41,5.6,3.81,53.00513221836765,58.028331837612185,5.0231996192445365,16644.31044547004,20042.299791942012,False,False,False
small_full_vs_cell_direct_runtime,D21xE41,5.6,3.715,53.0037555715775,58.026833819215724,5.0230782476382245,16643.422431819472,20041.23942743171,False,False,False
small_full_vs_cell_direct_runtime,D21xE41,5.6,3.62,53.00237891090342,58.02533578507725,5.022956874173836,16642.534432902812,20040.179079829693,False,False,False
