D,k_bg_med,E_part_med,E_part_smooth_fit,E_tree_med,E_tree_smooth_fit,E_tree_twofreq_global_fit,E_tree_piecewise_best_fit,xi_target_med,xi_recon_smooth_tree_smooth,xi_recon_smooth_tree_twofreq_global,xi_recon_smooth_tree_piecewise_best
9.2,1.0598348415567096,0.4934887080203627,0.47919392653226917,0.8648841756716079,0.8263338266098682,0.8595763801652083,0.8381934619131646,0.14847929267990154,0.14192574904566174,0.14507835871958177,0.14306314716593324
9.6,1.1066533286499558,0.4963861813219064,0.4855581496798957,0.8851615244197655,0.8179196274582371,0.9263314553285157,0.9147835159014559,0.14741767427457422,0.13890818690541118,0.14893057800719722,0.14791415759537496
10.0,1.1516910487217735,0.49844749346982065,0.4915956471294547,0.9185571848549621,0.8101789711923099,0.9564089330864183,0.94044407105467,0.14759160740545657,0.1361029872405827,0.14952346091590826,0.148149491238685
10.4,1.191089660939199,0.5001900866904507,0.4972922005566532,0.9172112583548901,0.8030942949252873,0.9526670848969302,0.928334875677446,0.14505261665287944,0.13375388596085516,0.14759469297314953,0.14547614832772474
10.8,1.22923354090777,0.5012073334368792,0.502634280906937,0.9202811758006644,0.7966496175874291,0.9285695066442973,0.9050559849412739,0.1429410129189407,0.1315381624457808,0.14394660560926814,0.14184725121149946
11.2,1.263616892757297,0.5018903608205016,0.5076091018660881,0.9184677741110561,0.7908304788093183,0.8980590210282032,0.8919908864471969,0.14065751827459697,0.12960717015002302,0.13987978181819713,0.13932572927640377
11.6,1.2945371537709325,0.5024661751524557,0.5122046708072685,0.9024796906213441,0.7856238820922767,0.8674516544436534,0.8919647976197672,0.13737451632829503,0.12792360189709936,0.1359016712692619,0.13817542366598365
12.0,1.324701506182844,0.5025679772754248,0.516409836930663,0.8771174535857547,0.7810182391693716,0.8336748419631475,0.8888738646580339,0.1332406764231668,0.12631022825620994,0.13153684959592785,0.13674886685008478
12.4,1.2307943012963667,0.5156246678269274,0.5202143363254415,0.8477732257871085,0.7770033078864259,0.7893191019439232,0.8604079600738076,0.13875786531430093,0.1324281852467897,0.1337070649789238,0.14079455920084685
12.8,1.114287005200122,0.5279636012455764,0.523608833699288,0.7916631112424155,0.7735701038052762,0.7310227837856953,0.7963319282128538,0.1435224689293072,0.14081990285706392,0.13614293534394933,0.14323644526298543
13.2,1.0690070955975786,0.5331058175220649,0.5265849605381113,0.6921533090286713,0.7707107336458358,0.6658091174383401,0.7112194258046631,0.13666101792768795,0.14450659303132282,0.13238651127085685,0.13780843959039463
13.6,1.1152775579450587,0.5316470463244689,0.5291353494776613,0.6820485800640339,0.7684180138178989,0.6111410477573009,0.6431300939865352,0.13172042893134894,0.1411587059623522,0.12249438864682398,0.12656106331004421
14.0,1.1593702844248663,0.5302127819141333,0.5312536646894875,0.6604789559717466,0.7666845127597655,0.5879949508142037,0.6372719105399856,0.12575394827299588,0.1381029162486552,0.11674672422908587,0.12306030268626876
14.4,1.195999582362392,0.5288277286523766,0.5329346281058457,0.695860911849425,0.7655000614898688,0.6102445902713096,0.7222470464161799,0.1272298715451561,0.13567733406623023,0.11745669713623619,0.1308975855995764
14.8,1.2312274913577999,0.5273601573473397,0.5341740413316326,0.7619404224188107,0.7648452033793952,0.6759262730634531,0.8135937247168922,0.13198917456375034,0.13341520959933403,0.1234018775130381,0.13853528319971856
15.2,1.2635129579283289,0.5260573446774435,0.5349688031160303,0.8192935642592201,0.7646738908191036,0.7652816636984237,0.8137215613961933,0.13559822399259677,0.1314005560274713,0.13146559952304213,0.13652720399308158
15.6,1.2931158595812953,0.5246495518668586,0.5353169222820997,0.809709690266355,0.7648677474682929,0.8471736158891934,0.8052178661210538,0.13249961069277766,0.1295857876512391,0.13801072632863476,0.13379866405403706
16.0,1.3217878591111365,0.5232080093859286,0.5352175260388733,0.7856815930066916,0.765115436004398,0.8912539413071566,0.7883522766940196,0.12805377652662855,0.12781594803731797,0.14040166334496254,0.13024751157721468
