center_D,sigma_D,D,eta,mu,base_mu,delta_mu,delta_log_mu,acceptance_mismatch
6.0,0.1,4.813559322033898,1.53,14.814950453434383,13.502234299583389,1.3127161538509942,0.09278166124555604,0.0
6.0,0.15,4.813559322033898,1.53,14.814950453434435,13.502234299583389,1.3127161538510457,0.09278166124555948,0.0
6.0,0.2,4.813559322033898,1.53,14.814950484492599,13.502234299583389,1.3127161849092097,0.09278166334196632,0.0
6.2,0.1,4.813559322033898,1.53,14.814950453434383,13.502234299583389,1.3127161538509942,0.09278166124555604,0.0
6.2,0.15,4.813559322033898,1.53,14.814950453434383,13.502234299583389,1.3127161538509942,0.09278166124555604,0.0
6.2,0.2,4.813559322033898,1.53,14.814950453484338,13.502234299583389,1.3127161539009489,0.09278166124892792,0.0
5.8,0.1,4.813559322033898,1.72,14.827938433294486,13.513879853135862,1.3140585801586244,0.09279583867999956,0.0
5.8,0.15,4.813559322033898,1.72,14.827938433848038,13.513879853135862,1.3140585807121763,0.0927958387173314,0.0
5.8,0.2,4.813559322033898,1.72,14.827945541066311,13.513879853135862,1.3140656879304498,0.0927963180298536,0.0
6.0,0.1,4.813559322033898,1.72,14.827938433294486,13.513879853135862,1.3140585801586244,0.09279583867999956,0.0
6.0,0.15,4.813559322033898,1.72,14.827938433294538,13.513879853135862,1.314058580158676,0.0927958386800032,0.0
6.0,0.2,4.813559322033898,1.72,14.827938464379923,13.513879853135862,1.3140586112440609,0.09279584077640947,0.0
6.2,0.1,4.813559322033898,1.72,14.827938433294486,13.513879853135862,1.3140585801586244,0.09279583867999956,0.0
6.2,0.15,4.813559322033898,1.72,14.827938433294486,13.513879853135862,1.3140585801586244,0.09279583867999956,0.0
6.2,0.2,4.813559322033898,1.72,14.827938433344478,13.513879853135862,1.3140585802086164,0.0927958386833712,0.0
5.8,0.1,4.813559322033898,1.91,14.840938939930442,13.525527280828776,1.3154116591016667,0.09281069700635987,0.0
5.8,0.15,4.813559322033898,1.91,14.840938940484488,13.525527280828776,1.3154116596557124,0.09281069704369217,0.0
5.8,0.2,4.813559322033898,1.91,14.840946053934065,13.525527280828776,1.3154187731052893,0.09281117635621422,0.0
6.0,0.1,4.813559322033898,1.91,14.840938939930442,13.525527280828776,1.3154116591016667,0.09281069700635987,0.0
6.0,0.15,4.813559322033898,1.91,14.840938939930503,13.525527280828776,1.315411659101727,0.09281069700636392,0.0
6.0,0.2,4.813559322033898,1.91,14.840938971043139,13.525527280828776,1.315411690214363,0.09281069910277019,0.0
6.2,0.1,4.813559322033898,1.91,14.840938939930442,13.525527280828776,1.3154116591016667,0.09281069700635987,0.0
6.2,0.15,4.813559322033898,1.91,14.840938939930442,13.525527280828776,1.3154116591016667,0.09281069700635987,0.0
6.2,0.2,4.813559322033898,1.91,14.840938939980484,13.525527280828776,1.3154116591517084,0.09281069700973187,0.0
5.8,0.1,4.813559322033898,2.1,14.853909470914534,13.537176570358241,1.3167329005562927,0.09282337398003643,0.0
5.8,0.15,4.813559322033898,2.1,14.853909471469061,13.537176570358241,1.3167329011108198,0.09282337401736865,0.0
5.8,0.2,4.813559322033898,2.1,14.85391659113558,13.537176570358241,1.3167400207773383,0.09282385332989081,0.0
6.0,0.1,4.813559322033898,2.1,14.853909470914534,13.537176570358241,1.3167329005562927,0.09282337398003643,0.0
6.0,0.15,4.813559322033898,2.1,14.853909470914589,13.537176570358241,1.3167329005563477,0.09282337398004027,0.0
6.0,0.2,4.813559322033898,2.1,14.853909502054417,13.537176570358241,1.3167329316961762,0.09282337607644647,0.0
6.2,0.1,4.813559322033898,2.1,14.853909470914534,13.537176570358241,1.3167329005562927,0.09282337398003643,0.0
6.2,0.15,4.813559322033898,2.1,14.853909470914534,13.537176570358241,1.3167329005562927,0.09282337398003643,0.0
6.2,0.2,4.813559322033898,2.1,14.853909470964613,13.537176570358241,1.3167329006063717,0.09282337398340797,0.0
5.8,0.1,4.813559322033898,2.29,14.86685410506459,13.54882770941436,1.3180263956502305,0.09283415056980161,0.0
