D,eta,mu_mumu_center,mu_mumu_min,mu_mumu_max,mu_mumu_half_width,mu_mumu_full_span,case_at_min,case_at_max
4.8,0.5800000000000001,11.519885103252694,11.519803403705017,11.51996692950151,8.176289824657346e-05,0.0001635257964931469,gamma_diag_plus,gamma_diag_minus
5.6,0.5800000000000001,52.95831845737877,52.95682477404777,52.95981523030986,0.0014952281310449678,0.0029904562620899355,gamma_diag_plus,gamma_diag_minus
6.4,0.5800000000000001,57.79780610273658,57.793920669770834,57.80170106144563,0.0038901958373962486,0.007780391674792497,gamma_diag_plus,gamma_diag_minus
7.2,0.5800000000000001,3.4844543191501836,3.4841121889960736,3.4847973410510718,0.00034257602749909744,0.0006851520549981949,gamma_diag_plus,gamma_diag_minus
8.0,0.5800000000000001,2.318770700595129,2.3183265280162875,2.3192160396384005,0.0004447558110565186,0.0008895116221130372,gamma_diag_plus,gamma_diag_minus
8.8,0.5800000000000001,1.5837709977298622,1.5837697229156118,1.5837722690409568,1.2730626725021565e-06,2.546125345004313e-06,gamma_diag_minus,gamma_diag_plus
9.600000000000001,0.5800000000000001,0.9999999954492003,0.9999999954492,0.9999999954492003,1.1102230246251565e-16,2.220446049250313e-16,mu_low_minus,center_nonzero
10.4,0.5800000000000001,0.49393768161773444,0.4938882440487079,0.4939872577612897,4.950685629090401e-05,9.901371258180802e-05,gamma_diag_plus,gamma_diag_minus
11.2,0.5800000000000001,0.15086340259999126,0.15083338652025333,0.15089350436809362,3.0058923920148195e-05,6.011784784029639e-05,gamma_diag_plus,gamma_diag_minus
12.0,0.5800000000000001,0.03759247596507403,0.03758159620887296,0.03760338727857374,1.089553485039002e-05,2.179106970078004e-05,gamma_diag_plus,gamma_diag_minus
12.8,0.5800000000000001,0.0023379313871204664,0.002337648987847053,0.002338213027304162,2.8201972855439704e-07,5.640394571087941e-07,gamma_diag_minus,gamma_diag_plus
13.600000000000001,0.5800000000000001,0.0001766506707446797,0.00017662555337827208,0.00017667572086386832,2.508374279812408e-08,5.016748559624816e-08,gamma_diag_minus,gamma_diag_plus
14.4,0.5800000000000001,4.3634139579881774e-05,4.3631866929030777e-05,4.363640604416201e-05,2.2695575656176466e-09,4.539115131235293e-09,gamma_diag_minus,gamma_diag_plus
15.200000000000001,0.5800000000000001,1.2049019199360937e-05,1.2048625226476973e-05,1.2049414264379957e-05,3.945189514922761e-10,7.890379029845522e-10,gamma_diag_plus,gamma_diag_minus
16.0,0.5800000000000001,1.760338644372508e-06,1.7601384998580195e-06,1.7605393518457544e-06,2.0042599386745361e-10,4.0085198773490723e-10,gamma_diag_plus,gamma_diag_minus
16.8,0.5800000000000001,3.383992857714392e-07,3.383344816034369e-07,3.3846427475036623e-07,6.489657346466572e-11,1.2979314692933144e-10,gamma_diag_plus,gamma_diag_minus
17.6,0.5800000000000001,5.455700779212423e-08,5.361672046099409e-08,5.5522248782164476e-08,9.527641605851941e-10,1.9055283211703883e-09,mu_low_minus,mu_low_plus
