beta_peak,sigma_D,D,eta,mu,base_mu,delta_mu,delta_log_mu,acceptance_mismatch
0.0,0.8,4.8,0.6,13.650464923447986,13.765096208939836,-0.11463128549184987,-0.008362546582374352,0.0
0.25,0.2,4.8,0.6,13.650708636102388,13.765096208939836,-0.1143875728374475,-0.008344692942941847,0.0
0.25,0.3,4.8,0.6,13.671233276947824,13.765096208939836,-0.09386293199201212,-0.006842263520348129,0.0
0.25,0.4,4.8,0.6,13.749139682249865,13.765096208939836,-0.01595652668997083,-0.0011598743677233554,0.0
0.25,0.6,4.8,0.6,13.952425549181774,13.765096208939836,0.18732934024193781,0.01351723968711072,0.0
0.25,0.8,4.8,0.6,14.098292894162674,13.765096208939836,0.33319668522283763,0.02391759075925305,0.0
0.5,0.2,4.8,0.6,13.65095235310796,13.765096208939836,-0.11414385583187503,-0.008326839303511276,0.0
0.5,0.3,4.8,0.6,13.6920332282363,13.765096208939836,-0.07306298070353634,-0.005321980458330615,0.0
0.5,0.4,4.8,0.6,13.848527728700114,13.765096208939836,0.0834315197602784,0.006042797846926826,0.0
0.5,0.6,4.8,0.6,14.261065816964768,13.765096208939836,0.4959696080249323,0.03539702595659772,0.0
0.5,0.8,4.8,0.6,14.560812664202803,13.765096208939836,0.7957164552629674,0.056197728100879536,0.0
0.75,0.2,4.8,0.6,13.651196074464762,13.765096208939836,-0.11390013447507386,-0.008308985664083961,0.0
0.75,0.3,4.8,0.6,13.712864825387701,13.765096208939836,-0.05223138355213486,-0.003801697396309432,0.0
0.75,0.4,4.8,0.6,13.948634218922555,13.765096208939836,0.18353800998271907,0.013245470061579324,0.0
0.75,0.6,4.8,0.6,14.576533486518253,13.765096208939836,0.8114372775784169,0.05727681222608454,0.0
0.75,0.8,4.8,0.6,15.038506224380775,13.765096208939836,1.2734100154409393,0.08847786544250566,0.0
1.0,0.2,4.8,0.6,13.651439800172968,13.765096208939836,-0.11365640876686811,-0.008291132024652944,0.0
1.0,0.3,4.8,0.6,13.733728116549228,13.765096208939836,-0.03136809239060767,-0.0022814143342886773,0.0
1.0,0.4,4.8,0.6,14.049464346312817,13.765096208939836,0.28436813737298117,0.02044814227622922,0.0
1.0,0.6,4.8,0.6,14.89897958614212,13.765096208939836,1.1338833772022845,0.07915659849556807,0.0
1.0,0.8,4.8,0.6,15.531871378081581,13.765096208939836,1.766775169141745,0.12075800278413178,0.0
0.0,0.2,4.8,1.0,13.676073627145422,13.790954693731495,-0.11488106658607222,-0.008365064843333306,0.0
0.0,0.3,4.8,1.0,13.676073627145422,13.790954693731495,-0.11488106658607222,-0.008365064843333306,0.0
