mode,family,D,slice_p95_abs_log_B_sum_ratio,slice_p95_abs_log_B2_ratio,slice_p95_share_l1
release_tuned,sum_anchor,9.600000000000001,0.0,0.46114770516972725,0.6077628024941495
release_tuned,sum_anchor,10.4,1.1102230246251565e-16,0.4695367409867641,0.6337286867607554
release_tuned,sum_anchor,11.2,0.0,0.4507252466555332,0.6507946987303262
release_tuned,sum_anchor,12.0,0.0,0.45246709200248025,0.645230775600155
release_tuned,sum_anchor,12.8,0.0,0.4704040435313988,0.6157379668008749
release_tuned,sum_anchor,13.600000000000001,2.2204460492503128e-16,0.4061430102129578,0.5192253781500878
release_tuned,sum_anchor,14.4,0.0,0.38945571351214375,0.5234962932127504
release_tuned,sum_anchor,15.200000000000001,0.0,0.446209326942549,0.6216011194135358
release_tuned,sum_anchor,16.0,0.0,0.4427729467287802,0.6095787245628546
release_tuned,sum_anchor,16.8,2.2204460492503128e-16,0.44105757504658555,0.6143989547994573
release_tuned,sum_anchor,17.6,0.0,0.3077751126684707,0.522403049858102
release_tuned,sum_anchor,18.4,0.0,0.029240814787450848,0.4251678463361135
release_tuned,sum_anchor,19.200000000000003,0.0,0.011331767669890412,0.40561480448058573
release_tuned,sum_anchor,20.0,0.0,0.007456381863292211,0.38982879561851286
tailm2_detlin,direct_runtime,4.0,0.03574058832209365,0.08710717277651545,0.04214557939084815
tailm2_detlin,direct_runtime,4.8,0.39704603779833203,0.6947288695757264,0.38736114489878704
tailm2_detlin,direct_runtime,5.6,0.3506330374795608,0.49640153319836694,0.18572484834138114
tailm2_detlin,direct_runtime,6.4,0.4694662376058767,0.6534407719886691,0.23408919121001348
tailm2_detlin,direct_runtime,7.2,0.118417451781147,0.20455733842510174,0.07236111775834028
tailm2_detlin,direct_runtime,8.0,0.34426255565147756,0.47978177963273416,0.1161029548474303
tailm2_detlin,direct_runtime,8.8,0.4370521142030147,0.2756938276332873,0.3071121187993233
tailm2_detlin,direct_runtime,9.600000000000001,0.3815491271571994,0.47914656379675946,0.12945590715275926
tailm2_detlin,direct_runtime,10.4,0.022913719009862017,0.20210019191893702,0.219498015534143
tailm2_detlin,direct_runtime,11.2,0.41342355582391604,0.6445719762803852,0.2863926119536325
tailm2_detlin,direct_runtime,12.0,0.5551943715870833,0.6135819658025503,0.10537967174024711
tailm2_detlin,direct_runtime,12.8,0.19914892295482864,0.1100418252616903,0.391740271296106
tailm2_detlin,direct_runtime,13.600000000000001,0.48636815881084544,0.3004321151293161,0.38361445403089667
tailm2_detlin,direct_runtime,14.4,0.37529125927817497,0.15823318944604745,0.3677259344234276
tailm2_detlin,direct_runtime,15.200000000000001,0.08246580074491096,0.26398551329626063,0.2131031985900887
tailm2_detlin,direct_runtime,16.0,0.0023314041896503918,0.15611504829564807,0.18244611808911107
tailm2_detlin,direct_runtime,16.8,0.33942898688436174,0.39385101087842544,0.09677602684169775
tailm2_detlin,direct_runtime,17.6,0.24628489505418327,0.608564814496764,0.291067345492986
tailm2_detlin,direct_runtime,18.4,0.0,0.0,0.0
tailm2_detlin,direct_runtime,19.200000000000003,0.0,0.0,0.0
tailm2_detlin,direct_runtime,20.0,0.0,0.0,0.0
tailm2_detlin,sum_anchor,4.0,0.0,0.05136658445442169,0.04214557939084815
tailm2_detlin,sum_anchor,4.8,2.2204460492503128e-16,0.29768283177739446,0.38736114489878704
tailm2_detlin,sum_anchor,5.6,1.1102230246251565e-16,0.14576849571880626,0.1857248483413811
tailm2_detlin,sum_anchor,6.4,0.0,0.1839745343827924,0.23408919121001348
tailm2_detlin,sum_anchor,7.2,0.0,0.08613988664395475,0.07236111775834034
tailm2_detlin,sum_anchor,8.0,0.0,0.13551922398125646,0.11610295484743025
tailm2_detlin,sum_anchor,8.8,0.0,0.16135828656972742,0.30711211879932343
tailm2_detlin,sum_anchor,9.600000000000001,1.1102230246251565e-16,0.09759743663956007,0.12945590715275931
tailm2_detlin,sum_anchor,10.4,1.1102230246251565e-16,0.1791864729090752,0.21949801553414308
tailm2_detlin,sum_anchor,11.2,0.0,0.231148420456469,0.2863926119536325
tailm2_detlin,sum_anchor,12.0,0.0,0.05838759421546701,0.10537967174024711
tailm2_detlin,sum_anchor,12.8,0.0,0.30919074821651904,0.391740271296106
tailm2_detlin,sum_anchor,13.600000000000001,0.0,0.1859360436815292,0.38361445403089667
tailm2_detlin,sum_anchor,14.4,0.0,0.21705806983212755,0.3677259344234276
tailm2_detlin,sum_anchor,15.200000000000001,1.1102230246251565e-16,0.18151971255134955,0.2131031985900886
tailm2_detlin,sum_anchor,16.0,0.0,0.15844645248529834,0.18244611808911107
tailm2_detlin,sum_anchor,16.8,0.0,0.05442202399406374,0.09677602684169775
tailm2_detlin,sum_anchor,17.6,1.1102230246251565e-16,0.3622799194425809,0.291067345492986
tailm2_detlin,sum_anchor,18.4,0.0,0.0,0.0
tailm2_detlin,sum_anchor,19.200000000000003,0.0,0.0,0.0
tailm2_detlin,sum_anchor,20.0,0.0,0.0,0.0
