alpha,beta,lambda,j_exact,gamma_var,abs_gap,rel_gap
0.9,1.05,0.05,2.822253888327036e-05,2.7129541409945837e-05,1.0929974733245212e-06,0.038727822392067776
0.9,1.05,0.1,3.081396306186136e-05,2.7269923720797412e-05,3.5440393410639507e-06,0.11501407118419087
0.9,1.05,0.2,4.27740943199769e-05,2.9516040694422583e-05,1.3258053625554315e-05,0.3099552155651925
0.9,1.1,-0.2,1.6178359170905762e-05,2.63107424789441e-05,1.0132383308038339e-05,0.6262923947355452
0.9,1.1,-0.1,2.132082685640627e-05,2.406462550531893e-05,2.7437986489126594e-06,0.12869100562524527
0.9,1.1,-0.05,2.300761154501791e-05,2.3924243194467355e-05,9.166316494494465e-07,0.03984036533544199
0.9,1.1,0.0,2.3605258125687564e-05,2.3914884373743916e-05,3.0962624805635214e-07,0.013116833817606623
0.9,1.1,0.05,2.300761154501791e-05,2.3924243194467355e-05,9.166316494494465e-07,0.03984036533544199
0.9,1.1,0.1,2.132082685640627e-05,2.406462550531893e-05,2.7437986489126594e-06,0.12869100562524527
0.9,1.1,0.2,1.6178359170905762e-05,2.63107424789441e-05,1.0132383308038339e-05,0.6262923947355452
0.95,0.9,-0.2,0.000535672298857097,0.00045771655696446673,7.795574189263028e-05,0.14552879075314434
0.95,0.9,-0.1,0.0004874706200550428,0.00045547043999084153,3.200018006420125e-05,0.0656453512225782
0.95,0.9,-0.05,0.0004758138315511819,0.00045533005767998995,2.0483773871191968e-05,0.04304997566887374
0.95,0.9,0.0,0.00047196299417870006,0.0004553206988592665,1.6642295319433547e-05,0.03526186485954077
0.95,0.9,0.05,0.0004758138315511819,0.00045533005767998995,2.0483773871191968e-05,0.04304997566887374
0.95,0.9,0.1,0.0004874706200550428,0.00045547043999084153,3.200018006420125e-05,0.0656453512225782
0.95,0.9,0.2,0.000535672298857097,0.00045771655696446673,7.795574189263028e-05,0.14552879075314434
0.95,0.95,-0.2,0.00023389423243687086,0.00018939348959116011,4.450074284571075e-05,0.19026011194064696
0.95,0.95,-0.1,0.0002015101120137416,0.00018714737261753495,1.4362739396206665e-05,0.07127552683424257
0.95,0.95,-0.05,0.00019381750816735161,0.00018700699030668337,6.810517860668245e-06,0.03513881653450888
0.95,0.95,0.0,0.00019128891712468692,0.00018699763148595993,4.291285638726989e-06,0.022433529883646223
0.95,0.95,0.05,0.00019381750816735161,0.00018700699030668337,6.810517860668245e-06,0.03513881653450888
0.95,0.95,0.1,0.0002015101120137416,0.00018714737261753495,1.4362739396206665e-05,0.07127552683424257
0.95,0.95,0.2,0.00023389423243687086,0.00018939348959116011,4.450074284571075e-05,0.19026011194064696
0.95,1.0,-0.2,5.804453013520898e-05,3.961283033588303e-05,1.843169979932595e-05,0.31754412959138667
0.95,1.0,-0.1,4.226873915728384e-05,3.7366713362257856e-05,4.902025795025981e-06,0.1159728416971542
0.95,1.0,-0.05,3.8735388699623664e-05,3.7226331051406285e-05,1.5090576482173785e-06,0.038958112952459927
0.95,1.0,0.0,3.759383438511683e-05,3.7216972230682846e-05,3.7686215443398356e-07,0.010024573459928339
0.95,1.0,0.05,3.8735388699623664e-05,3.7226331051406285e-05,1.5090576482173785e-06,0.038958112952459927
0.95,1.0,0.1,4.226873915728384e-05,3.7366713362257856e-05,4.902025795025981e-06,0.1159728416971542
0.95,1.0,0.2,5.804453013520898e-05,3.961283033588303e-05,1.843169979932595e-05,0.31754412959138667
0.95,1.05,-0.2,3.3353793972895014e-06,8.374579198636147e-06,5.039199801346645e-06,1.5108325623890808
0.95,1.05,-0.1,4.84609355579191e-06,6.128462225010974e-06,1.2823686692190634e-06,0.26461904923119234
0.95,1.05,-0.05,5.638937577563672e-06,5.988079914159401e-06,3.4914233659572845e-07,0.06191633296046822
0.95,1.05,0.0,5.939836557414751e-06,5.978721093435962e-06,3.8884536021210954e-08,0.00654639831337969
0.95,1.05,0.05,5.638937577563672e-06,5.988079914159401e-06,3.4914233659572845e-07,0.06191633296046822
0.95,1.05,0.1,4.84609355579191e-06,6.128462225010974e-06,1.2823686692190634e-06,0.26461904923119234
0.95,1.05,0.2,3.3353793972895014e-06,8.374579198636147e-06,5.039199801346645e-06,1.5108325623890808
0.95,1.1,-0.2,6.51239610229446e-05,9.567873617941944e-05,3.0554775156474835e-05,0.469178696696746
0.95,1.1,-0.1,8.449526140449149e-05,9.343261920579427e-05,8.937357801302786e-06,0.1057734795152395
0.95,1.1,-0.05,8.97552583231623e-05,9.32922368949427e-05,3.536978571780399e-06,0.039406923202711615
0.95,1.1,0.0,9.154537005955053e-05,9.328287807421926e-05,1.7375080146687303e-06,0.018979747567118645
0.95,1.1,0.05,8.97552583231623e-05,9.32922368949427e-05,3.536978571780399e-06,0.039406923202711615
0.95,1.1,0.1,8.449526140449149e-05,9.343261920579427e-05,8.937357801302786e-06,0.1057734795152395
0.95,1.1,0.2,6.51239610229446e-05,9.567873617941944e-05,3.0554775156474835e-05,0.469178696696746
1.0,0.9,-0.2,0.00029122264668743505,0.00023948067434126008,5.174197234617496e-05,0.177671527042019
1.0,0.9,-0.1,0.00025501222274021027,0.00023723455736763491,1.777766537257536e-05,0.0697129932892906
1.0,0.9,-0.05,0.0002463686312993792,0.00023709417505678334,9.274456242595874e-06,0.037644631111035616
1.0,0.9,0.0,0.00024352353826755205,0.0002370848162360599,6.438722031492153e-06,0.02643983442954956
1.0,0.9,0.05,0.0002463686312993792,0.00023709417505678334,9.274456242595874e-06,0.037644631111035616
1.0,0.9,0.1,0.00025501222274021027,0.00023723455736763491,1.777766537257536e-05,0.0697129932892906
1.0,0.9,0.2,0.00029122264668743505,0.00023948067434126008,5.174197234617496e-05,0.177671527042019
1.0,0.95,-0.2,8.564685176939472e-05,6.16670621642153e-05,2.3979789605179427e-05,0.2799844840735691
1.0,0.95,-0.1,6.601752312948248e-05,5.942094519059011e-05,6.59657793889237e-06,0.09992162120281718
1.0,0.95,-0.05,6.152883327751825e-05,5.928056287973854e-05,2.2482703977797042e-06,0.036540111001929075
1.0,0.95,0.0,6.006954232391508e-05,5.92712040590151e-05,7.983382648999788e-07,0.013290233852541637
1.0,0.95,0.05,6.152883327751825e-05,5.928056287973854e-05,2.2482703977797042e-06,0.036540111001929075
1.0,0.95,0.1,6.601752312948248e-05,5.942094519059011e-05,6.59657793889237e-06,0.09992162120281718
1.0,0.95,0.2,8.564685176939472e-05,6.16670621642153e-05,2.3979789605179427e-05,0.2799844840735691
1.0,1.0,-0.2,2.414619899308513e-06,2.3958581052001854e-06,1.876179410832772e-08,0.0077700817895605965
1.0,1.0,-0.1,1.5003288724437935e-07,1.497411315750116e-07,2.9175566936775833e-10,0.0019446114430400547
1.0,1.0,-0.05,9.363373977762799e-09,9.358820723438224e-09,4.553254324574432e-12,0.00048628350585889406
1.0,1.0,0.0,5.4223007232453335e-33,0.0,5.4223007232453335e-33,0.005422300723245333
1.0,1.0,0.05,9.363373977762799e-09,9.358820723438224e-09,4.553254324574432e-12,0.00048628350585889406
1.0,1.0,0.1,1.5003288724437935e-07,1.497411315750116e-07,2.9175566936775833e-10,0.0019446114430400547
1.0,1.0,0.2,2.414619899308513e-06,2.3958581052001854e-06,1.876179410832772e-08,0.0077700817895605965
1.0,1.05,-0.2,3.684876806179119e-05,6.16670621642153e-05,2.4818294102424108e-05,0.6735176074490918
1.0,1.05,-0.1,5.26184712710935e-05,5.942094519059011e-05,6.80247391949661e-06,0.12927920091881534
1.0,1.05,-0.05,5.699044140148532e-05,5.928056287973854e-05,2.2901214782532244e-06,0.040184308489906485
1.0,1.05,0.0,5.848563369424986e-05,5.92712040590151e-05,7.855703647652445e-07,0.013431851809489406
1.0,1.05,0.05,5.699044140148532e-05,5.928056287973854e-05,2.2901214782532244e-06,0.040184308489906485
1.0,1.05,0.1,5.26184712710935e-05,5.942094519059011e-05,6.80247391949661e-06,0.12927920091881534
1.0,1.05,0.2,3.684876806179119e-05,6.16670621642153e-05,2.4818294102424108e-05,0.6735176074490918
1.0,1.1,-0.2,0.00018441378202206917,0.0002394806743412606,5.506689231919143e-05,0.29860508100528765
1.0,1.1,-0.1,0.00021878187775285185,0.00023723455736763543,1.8452679614783577e-05,0.08434281579587112
1.0,1.1,-0.05,0.0002278047910800722,0.00023709417505678385,9.289383976711645e-06,0.0407778253155636
1.0,1.1,0.0,0.00023085039944123953,0.0002370848162360604,6.234416794820887e-06,0.027006307157843107
1.0,1.1,0.05,0.0002278047910800722,0.00023709417505678385,9.289383976711645e-06,0.0407778253155636
1.0,1.1,0.1,0.00021878187775285185,0.00023723455736763543,1.8452679614783577e-05,0.08434281579587112
1.0,1.1,0.2,0.00018441378202206917,0.0002394806743412606,5.506689231919143e-05,0.29860508100528765
1.05,0.9,-0.2,0.00012574585105761148,9.567873617941913e-05,3.006711487819235e-05,0.2391101942951331
1.05,0.9,-0.1,0.00010228273866389475,9.343261920579396e-05,8.850119458100785e-06,0.0865260314077299
1.05,0.9,-0.05,9.683946163042064e-05,9.329223689494238e-05,3.5472247354782587e-06,0.036629951011251306
1.05,0.9,0.0,9.506231680919474e-05,9.328287807421895e-05,1.7794387349757967e-06,0.018718655243248644
1.05,0.9,0.05,9.683946163042064e-05,9.329223689494238e-05,3.5472247354782587e-06,0.036629951011251306
1.05,0.9,0.1,0.00010228273866389475,9.343261920579396e-05,8.850119458100785e-06,0.0865260314077299
1.05,0.9,0.2,0.00012574585105761148,9.567873617941913e-05,3.006711487819235e-05,0.2391101942951331
1.05,0.95,-0.2,1.3578345974349809e-05,8.374579198636147e-06,5.203766775713662e-06,0.3832401078558349
1.05,0.95,-0.1,7.447657954755813e-06,6.128462225010974e-06,1.3191957297448393e-06,0.1771289360707613
1.05,0.95,-0.05,6.3468271891205855e-06,5.988079914159401e-06,3.5874727496118484e-07,0.05652387630407387
1.05,0.95,0.0,6.017972120169288e-06,5.978721093435962e-06,3.9251026733326186e-08,0.006522301192086951
1.05,0.95,0.05,6.3468271891205855e-06,5.988079914159401e-06,3.5874727496118484e-07,0.05652387630407387
1.05,0.95,0.1,7.447657954755813e-06,6.128462225010974e-06,1.3191957297448393e-06,0.1771289360707613
1.05,0.95,0.2,1.3578345974349809e-05,8.374579198636147e-06,5.203766775713662e-06,0.3832401078558349
1.05,1.0,-0.2,2.0254455380213694e-05,3.961283033588303e-05,1.9358374955669337e-05,0.9557588487212683
1.05,1.0,-0.1,3.222981707314096e-05,3.7366713362257856e-05,5.136896289116899e-06,0.15938335229950107
1.05,1.0,-0.05,3.566188114007729e-05,3.7226331051406285e-05,1.5644499113289979e-06,0.04386896768524218
1.05,1.0,0.0,3.684453670922398e-05,3.7216972230682846e-05,3.724355214588653e-07,0.010108297042737045
1.05,1.0,0.05,3.566188114007729e-05,3.7226331051406285e-05,1.5644499113289979e-06,0.04386896768524218
1.05,1.0,0.1,3.222981707314096e-05,3.7366713362257856e-05,5.136896289116899e-06,0.15938335229950107
1.05,1.0,0.2,2.0254455380213694e-05,3.961283033588303e-05,1.9358374955669337e-05,0.9557588487212683
1.05,1.05,-0.2,0.0001412050197861186,0.00018939348959116011,4.81884698050415e-05,0.34126598245609074
1.05,1.05,-0.1,0.0001719447406285131,0.00018714737261753495,1.5202631989021846e-05,0.0884158011082593
1.05,1.05,-0.05,0.00018007134817988056,0.00018700699030668337,6.9356421268028075e-06,0.03851607819293114
1.05,1.05,0.0,0.00018281913808136129,0.00018699763148595993,4.178493404598645e-06,0.022855886142177633
1.05,1.05,0.05,0.00018007134817988056,0.00018700699030668337,6.9356421268028075e-06,0.03851607819293114
1.05,1.05,0.1,0.0001719447406285131,0.00018714737261753495,1.5202631989021846e-05,0.0884158011082593
1.05,1.05,0.2,0.0001412050197861186,0.00018939348959116011,4.81884698050415e-05,0.34126598245609074
1.05,1.1,-0.2,0.00037199931087379245,0.0004577165569644675,8.571724609067504e-05,0.2304231314013272
1.05,1.1,-0.1,0.0004220551670466548,0.0004554704399908423,3.3415272944187506e-05,0.07917276117719871
1.05,1.1,-0.05,0.00043501138432009995,0.0004553300576799907,2.031867335989076e-05,0.046708371532960646
1.05,1.1,0.0,0.0004393690761408802,0.0004553206988592673,1.5951622718387052e-05,0.03630574745609154
1.05,1.1,0.05,0.00043501138432009995,0.0004553300576799907,2.031867335989076e-05,0.046708371532960646
1.05,1.1,0.1,0.0004220551670466548,0.0004554704399908423,3.3415272944187506e-05,0.07917276117719871
1.05,1.1,0.2,0.00037199931087379245,0.0004577165569644675,8.571724609067504e-05,0.2304231314013272
1.1,0.9,-0.2,3.6989185354457675e-05,2.6310742478943898e-05,1.0678442875513777e-05,0.2886909450204176
1.1,0.9,-0.1,2.695732181376068e-05,2.4064625505318726e-05,2.8926963084419547e-06,0.10730651688719849
1.1,0.9,-0.05,2.4883397832011467e-05,2.392424319446715e-05,9.59154637544315e-07,0.03854596723564826
1.1,0.9,0.0,2.423037467214269e-05,2.3914884373743713e-05,3.15490298398977e-07,0.013020446553874037
1.1,0.9,0.05,2.4883397832011467e-05,2.392424319446715e-05,9.59154637544315e-07,0.03854596723564826
1.1,0.9,0.1,2.695732181376068e-05,2.4064625505318726e-05,2.8926963084419547e-06,0.10730651688719849
1.1,0.9,0.2,3.6989185354457675e-05,2.6310742478943898e-05,1.0678442875513777e-05,0.2886909450204176
1.1,0.95,-0.2,1.5501127792424425e-05,2.95160406944227e-05,1.4014912901998274e-05,0.904122144509222
1.1,0.95,-0.1,2.3540363720723382e-05,2.7269923720797527e-05,3.7295600000741455e-06,0.15843255628165537
1.1,0.95,-0.05,2.5993146777430162e-05,2.7129541409945953e-05,1.1363946325157904e-06,0.04371900956226359
1.1,0.95,0.0,2.684979575418252e-05,2.7120182589222514e-05,2.7038683503999243e-07,0.010070349790198049
1.1,0.95,0.05,2.5993146777430162e-05,2.7129541409945953e-05,1.1363946325157904e-06,0.04371900956226359
1.1,0.95,0.1,2.3540363720723382e-05,2.7269923720797527e-05,3.7295600000741455e-06,0.15843255628165537
1.1,0.95,0.2,1.5501127792424425e-05,2.95160406944227e-05,1.4014912901998274e-05,0.904122144509222
1.1,1.0,-0.2,0.00010943961141494819,0.00015126374702793157,4.182413561298338e-05,0.3821663387893817
1.1,1.0,-0.1,0.00013631086464071108,0.0001490176300543064,1.2706765413595322e-05,0.09321902144108529
1.1,1.0,-0.05,0.000143477465797355,0.00014887724774345482,5.399781946099837e-06,0.03763505241810162
1.1,1.0,0.0,0.0001459058811314214,0.00014886788892273139,2.962007791309986e-06,0.020300811511785633
1.1,1.0,0.05,0.000143477465797355,0.00014887724774345482,5.399781946099837e-06,0.03763505241810162
1.1,1.0,0.1,0.00013631086464071108,0.0001490176300543064,1.2706765413595322e-05,0.09321902144108529
1.1,1.0,0.2,0.00010943961141494819,0.00015126374702793157,4.182413561298338e-05,0.3821663387893817
1.1,1.05,-0.2,0.0003143409614780676,0.0003915538614794707,7.721290000140311e-05,0.24563422990862888
1.1,1.05,-0.1,0.0003606888829187831,0.0003893077445058455,2.861886158706244e-05,0.07934500602145422
1.1,1.05,-0.05,0.00037272737993086433,0.00038916736219499394,1.643998226412961e-05,0.04410725680302583
1.1,1.05,0.0,0.0003767799812575794,0.0003891580033742705,1.2378022116691083e-05,0.032852122544772495
1.1,1.05,0.05,0.00037272737993086433,0.00038916736219499394,1.643998226412961e-05,0.04410725680302583
1.1,1.05,0.1,0.0003606888829187831,0.0003893077445058455,2.861886158706244e-05,0.07934500602145422
1.1,1.05,0.2,0.0003143409614780676,0.0003915538614794707,7.721290000140311e-05,0.24563422990862888
1.1,1.1,-0.2,0.0006258767811183533,0.0007503863840490399,0.00012450960293068658,0.1989362869608384
1.1,1.1,-0.1,0.000692238650285199,0.0007481402670754147,5.590161679021571e-05,0.08075483327488939
1.1,1.1,-0.05,0.0007092803342578851,0.0007479998847645631,3.8719550506677997e-05,0.05458991126151831
1.1,1.1,0.0,0.0007150006175120758,0.0007479905259438397,3.298990843176393e-05,0.046139692223701824
1.1,1.1,0.05,0.0007092803342578851,0.0007479998847645631,3.8719550506677997e-05,0.05458991126151831
1.1,1.1,0.1,0.000692238650285199,0.0007481402670754147,5.590161679021571e-05,0.08075483327488939
1.1,1.1,0.2,0.0006258767811183533,0.0007503863840490399,0.00012450960293068658,0.1989362869608384
