combo_id,mode,peak,center_D,width_D,s_min,power,D60_p95_base,D60_p95_cf,D21_p95_base,D21_p95_cf,D60_mean_abs_improvement,D21_mean_abs_improvement,D60_improved_fraction,D21_improved_fraction,D21_acceptance_flip_fraction,joint_objective
27,pointamp_cloud,1.0,6.169492525423729,0.12,0.6,2.0,31.28593012120719,158.21678620256662,2.102217055050133,12.024280881158589,-28.4112841939145,-3.2610084418355574,0.2,0.3333333333333333,0.0,237.59329681143427
22,pointamp_cloud,0.5,6.4406779661016955,0.05,0.75,2.0,31.28593012120719,98.4563998162021,2.102217055050133,23.74507305415145,-13.432826349090366,-7.212724124677499,0.2,0.3333333333333333,0.0,271.59924780901264
11,partial_cloud,1.0,6.169492525423729,0.12,0.6,2.0,31.28593012120719,159.02995455986326,2.102217055050133,17.060849748376306,-29.503191802747928,-4.914046659164795,0.2,0.3333333333333333,0.0,278.69901610647264
24,pointamp_cloud,0.5,6.4406779661016955,0.12,0.75,2.0,31.28593012120719,98.4563998162021,2.102217055050133,32.8739233446542,-15.248901411487308,-10.255049497288832,0.2,0.3333333333333333,0.0,344.6300501330346
6,partial_cloud,0.5,6.4406779661016955,0.05,0.75,2.0,31.28593012120719,101.55055753495986,2.102217055050133,32.58378368894876,-14.051031695085673,-10.158144839096172,0.2,0.3333333333333333,0.0,345.4030906061489
21,pointamp_cloud,0.5,6.4406779661016955,0.05,0.6,2.0,31.28593012120719,119.33337746014362,2.102217055050133,32.2859203853179,-17.493057360108935,-9.94199157003553,0.2,0.3333333333333333,0.0,360.80300410228574
8,partial_cloud,0.5,6.4406779661016955,0.12,0.75,2.0,31.28593012120719,101.55055753495986,2.102217055050133,43.50475577624924,-17.003279344055645,-13.797696760186613,0.2,0.3333333333333333,0.0,432.7708673045527
5,partial_cloud,0.5,6.4406779661016955,0.05,0.6,2.0,31.28593012120719,135.51538263332878,2.102217055050133,41.48803991481269,-20.692262538829024,-12.964523668049743,0.2,0.3333333333333333,0.0,450.6019655114292
23,pointamp_cloud,0.5,6.4406779661016955,0.12,0.6,2.0,31.28593012120719,119.33337746014362,2.102217055050133,44.76945160603101,-19.732623003765028,-14.05542724094593,0.2,0.3333333333333333,0.0,460.6712538679907
7,partial_cloud,0.5,6.4406779661016955,0.12,0.6,2.0,31.28593012120719,135.51538263332878,2.102217055050133,55.20973142939698,-25.0557549021839,-17.486786003934625,0.2,0.3333333333333333,0.0,560.3754976281036
30,pointamp_cloud,1.0,6.4406779661016955,0.05,0.75,2.0,31.28593012120719,186.23112255864567,2.102217055050133,54.40609653511008,-30.985863309535613,-17.43089786483052,0.2,0.3333333333333333,0.0,604.6621583991252
14,partial_cloud,1.0,6.4406779661016955,0.05,0.75,2.0,31.28593012120719,171.81518494871256,2.102217055050133,67.3045532003521,-28.102063394280105,-21.729279932822337,0.2,0.3333333333333333,0.0,693.4338741111283
32,pointamp_cloud,1.0,6.4406779661016955,0.12,0.75,2.0,31.28593012120719,186.23112255864567,2.102217055050133,76.14292126356281,-34.72892400116828,-24.67487165904584,0.2,0.3333333333333333,0.0,778.5567562267471
29,pointamp_cloud,1.0,6.4406779661016955,0.05,0.6,2.0,31.28593012120719,240.1157633585773,2.102217055050133,74.7202668085689,-41.46050195776878,-23.91806302422563,0.2,0.3333333333333333,0.0,821.0601613867274
16,partial_cloud,1.0,6.4406779661016955,0.12,0.75,2.0,31.28593012120719,171.81518494871256,2.102217055050133,89.14649737495307,-34.006558692220054,-29.008383775003217,0.2,0.3333333333333333,0.0,868.169427507936
13,partial_cloud,1.0,6.4406779661016955,0.05,0.6,2.0,31.28593012120719,239.74483514545037,2.102217055050133,85.11306565207991,-41.38452508176681,-27.342037590729472,0.2,0.3333333333333333,0.0,903.8316239216886
31,pointamp_cloud,1.0,6.4406779661016955,0.12,0.6,2.0,31.28593012120719,240.1157633585773,2.102217055050133,105.51972128824434,-46.11034957186796,-34.053108411612065,0.2,0.3333333333333333,0.0,1067.455797224131
15,partial_cloud,1.0,6.4406779661016955,0.12,0.6,2.0,31.28593012120719,239.74483514545037,2.102217055050133,112.55644868124853,-50.111509808476555,-36.38656226249923,0.2,0.3333333333333333,0.0,1123.3786881550375
