mode,D,slice_p95_abs_delta_log_partial,slice_p95_abs_delta_log_width,slice_p95_abs_delta_mu,slice_max_abs_delta_mu,slice_dominant_fraction_partial,slice_dominant_fraction_width,slice_acceptance_mismatch
release_eftsumanchor,9.600000000000001,2.131628207280298e-15,2.2204460492503128e-16,2.1316282072803005e-15,2.220446049250313e-15,1.0,0.0,0.0
release_eftsumanchor,10.4,0.30614786881529993,0.03456260633238486,0.14293980312816162,0.14293980391796235,1.0,0.0,0.0
release_eftsumanchor,11.2,0.29738801208156107,0.0162007389592721,0.04091271612335729,0.04091271640771327,1.0,0.0,0.0
release_eftsumanchor,12.0,0.21376052818361227,0.0003894116309773554,0.007332369784910131,0.007332371491122855,1.0,0.0,0.0
release_eftsumanchor,12.8,1.5837255669297206,4.6521616446379034e-05,0.0018768784655154578,0.00187688478826482,1.0,0.0,0.0
release_eftsumanchor,13.600000000000001,0.41571372746401364,1.800750153809059e-06,6.0516879343651634e-05,6.051737211028241e-05,1.0,0.0,0.0
release_eftsumanchor,14.4,0.5613987451559262,1.4670777484427116e-06,1.88531829705312e-05,1.885334719730453e-05,1.0,0.0,0.0
release_eftsumanchor,15.200000000000001,0.3553257383814869,1.2533359620663656e-06,3.626312366360575e-06,3.626793467636922e-06,1.0,0.0,0.0
release_eftsumanchor,16.0,0.21523169078478546,4.7053009063595035e-07,3.4251440170387924e-07,3.427027325260143e-07,1.0,0.0,0.0
release_eftsumanchor,16.8,0.5028511018130546,4.705745294232284e-07,1.5878469550931735e-07,1.6250801046818007e-07,1.0,0.0,0.0
release_eftsumanchor,17.6,0.21288379622504594,4.7060278325364156e-07,1.065941446754108e-08,1.065941446754108e-08,1.0,0.0,0.0
release_eftsumanchor,18.4,0.21288379622504594,4.7060278325364156e-07,1.065941446754108e-08,1.065941446754108e-08,1.0,0.0,0.0
release_eftsumanchor,19.200000000000003,0.21288379622504594,4.7060278325364156e-07,1.065941446754108e-08,1.065941446754108e-08,1.0,0.0,0.0
release_eftsumanchor,20.0,0.21288379622504594,4.7060278325364156e-07,1.065941446754108e-08,1.065941446754108e-08,1.0,0.0,0.0
release_fullsumanchor,4.0,0.2128837962475409,0.7440368401364676,1.9088192713612009,1.960338806498766,0.0,1.0,1.0
release_fullsumanchor,4.8,0.09942671221994316,0.5220172048147521,7.3387523791222184,7.352066063976986,0.0,1.0,0.0
release_fullsumanchor,5.6,0.21450140783824,1.6734908320771351,49.24087962881938,49.246163058758064,0.0,1.0,0.0
release_fullsumanchor,6.4,0.4626664461759334,2.4633983026630615,51.78178065267282,51.78203746770311,0.0,1.0,0.0
release_fullsumanchor,7.2,0.1850374444585904,0.3203381602759484,1.4009786191128535,1.400978619251136,0.0,1.0,1.0
release_fullsumanchor,8.0,0.15036077784400592,0.005291552522931736,0.3139007121985153,0.31390071224049976,1.0,0.0,1.0
release_fullsumanchor,8.8,0.1950874297206595,0.07028402861733679,0.36912497796711585,0.3691249782520316,1.0,0.0,0.0
release_fullsumanchor,9.600000000000001,2.131628207280298e-15,2.2204460492503128e-16,2.1316282072803005e-15,2.220446049250313e-15,1.0,0.0,0.0
release_fullsumanchor,10.4,0.30614786881529993,0.03456260633238486,0.14293980312816162,0.14293980391796235,1.0,0.0,0.0
release_fullsumanchor,11.2,0.29738801208156107,0.0162007389592721,0.04091271612335729,0.04091271640771327,1.0,0.0,0.0
release_fullsumanchor,12.0,0.21376052818361227,0.0003894116309773554,0.007332369784910131,0.007332371491122855,1.0,0.0,0.0
release_fullsumanchor,12.8,1.5837255669297206,4.6521616446379034e-05,0.0018768784655154578,0.00187688478826482,1.0,0.0,0.0
release_fullsumanchor,13.600000000000001,0.41571372746401364,1.800750153809059e-06,6.0516879343651634e-05,6.051737211028241e-05,1.0,0.0,0.0
release_fullsumanchor,14.4,0.5613987451559262,1.4670777484427116e-06,1.88531829705312e-05,1.885334719730453e-05,1.0,0.0,0.0
release_fullsumanchor,15.200000000000001,0.3553257383814869,1.2533359620663656e-06,3.626312366360575e-06,3.626793467636922e-06,1.0,0.0,0.0
release_fullsumanchor,16.0,0.21523169078478546,4.7053009063595035e-07,3.4251440170387924e-07,3.427027325260143e-07,1.0,0.0,0.0
release_fullsumanchor,16.8,0.5028511018130546,4.705745294232284e-07,1.5878469550931735e-07,1.6250801046818007e-07,1.0,0.0,0.0
release_fullsumanchor,17.6,0.21288379622504594,4.7060278325364156e-07,1.065941446754108e-08,1.065941446754108e-08,1.0,0.0,0.0
release_fullsumanchor,18.4,0.21288379622504594,4.7060278325364156e-07,1.065941446754108e-08,1.065941446754108e-08,1.0,0.0,0.0
release_fullsumanchor,19.200000000000003,0.21288379622504594,4.7060278325364156e-07,1.065941446754108e-08,1.065941446754108e-08,1.0,0.0,0.0
release_fullsumanchor,20.0,0.21288379622504594,4.7060278325364156e-07,1.065941446754108e-08,1.065941446754108e-08,1.0,0.0,0.0
release_sumanchor,4.0,0.2128837962475409,0.7440368401364676,1.9088192713612009,1.960338806498766,0.0,1.0,1.0
release_sumanchor,4.8,0.09942671221994316,0.5220172048147521,7.3387523791222184,7.352066063976986,0.0,1.0,0.0
release_sumanchor,5.6,0.21450140783824,1.6734908320771351,49.24087962881938,49.246163058758064,0.0,1.0,0.0
release_sumanchor,6.4,0.4626664461759334,2.4633983026630615,51.78178065267282,51.78203746770311,0.0,1.0,0.0
release_sumanchor,7.2,0.1850374444585904,0.3203381602759484,1.4009786191128535,1.400978619251136,0.0,1.0,1.0
release_sumanchor,8.0,0.15036077784400592,0.005291552522931736,0.3139007121985153,0.31390071224049976,1.0,0.0,1.0
release_sumanchor,8.8,0.1950874297206595,0.07028402861733679,0.36912497796711585,0.3691249782520316,1.0,0.0,0.0
release_sumanchor,9.600000000000001,2.131628207280298e-15,2.2204460492503128e-16,2.1316282072803005e-15,2.220446049250313e-15,1.0,0.0,0.0
release_sumanchor,10.4,0.30614786881529993,0.03456260633238486,0.14293980312816162,0.14293980391796235,1.0,0.0,0.0
release_sumanchor,11.2,0.29738801208156107,0.0162007389592721,0.04091271612335729,0.04091271640771327,1.0,0.0,0.0
release_sumanchor,12.0,0.21376052818361227,0.0003894116309773554,0.007332369784910131,0.007332371491122855,1.0,0.0,0.0
release_sumanchor,12.8,1.5837255669297206,4.6521616446379034e-05,0.0018768784655154578,0.00187688478826482,1.0,0.0,0.0
release_sumanchor,13.600000000000001,0.41571372746401364,1.800750153809059e-06,6.0516879343651634e-05,6.051737211028241e-05,1.0,0.0,0.0
release_sumanchor,14.4,0.5613987451559262,1.4670777484427116e-06,1.88531829705312e-05,1.885334719730453e-05,1.0,0.0,0.0
release_sumanchor,15.200000000000001,0.3553257383814869,1.2533359620663656e-06,3.626312366360575e-06,3.626793467636922e-06,1.0,0.0,0.0
release_sumanchor,16.0,0.21523169078478546,4.7053009063595035e-07,3.4251440170387924e-07,3.427027325260143e-07,1.0,0.0,0.0
release_sumanchor,16.8,0.5028511018130546,4.705745294232284e-07,1.5878469550931735e-07,1.6250801046818007e-07,1.0,0.0,0.0
release_sumanchor,17.6,0.21288379622504594,4.7060278325364156e-07,1.065941446754108e-08,1.065941446754108e-08,1.0,0.0,0.0
release_sumanchor,18.4,0.21288379622504594,4.7060278325364156e-07,1.065941446754108e-08,1.065941446754108e-08,1.0,0.0,0.0
release_sumanchor,19.200000000000003,0.21288379622504594,4.7060278325364156e-07,1.065941446754108e-08,1.065941446754108e-08,1.0,0.0,0.0
release_sumanchor,20.0,0.21288379622504594,4.7060278325364156e-07,1.065941446754108e-08,1.065941446754108e-08,1.0,0.0,0.0
release_tuned,4.0,0.004133322563351932,0.00582549005054666,0.030704587745457167,0.03153267979967156,0.0,1.0,0.0
release_tuned,4.8,0.0009033939618723758,0.004643497394547885,0.07720364112829578,0.07734542173282044,0.0,1.0,0.0
release_tuned,5.6,0.001719745481013058,0.019359527484273734,1.014487259157238,1.0145871023443789,0.0,1.0,0.0
release_tuned,6.4,0.008582181702460607,0.0034055494413368697,0.3107841041832572,0.3107862827053367,1.0,0.0,0.0
release_tuned,7.2,0.0006860069643533118,0.0033310163817579005,0.014157240579001052,0.014157241089646,0.0,1.0,0.0
release_tuned,8.0,0.0037696539959460335,0.0010938104136669594,0.006228444674607925,0.006228444798731747,1.0,0.0,0.0
release_tuned,8.8,0.0020555674232233226,0.0007877484429019277,0.00450934012679709,0.004509340130605111,1.0,0.0,0.0
release_tuned,9.600000000000001,1.7319479184152426e-15,2.2204460492503128e-16,1.709743457922741e-15,1.7763568394002505e-15,1.0,0.0,0.0
release_tuned,10.4,0.008780999471879464,0.00021990497874003085,0.004220122547884364,0.004220122570680052,1.0,0.0,0.0
release_tuned,11.2,0.008896534340110842,1.117947124591279e-05,0.0013445022151402808,0.0013445022283177233,1.0,0.0,0.0
release_tuned,12.0,0.006044392082910661,3.991640937375792e-07,0.00022997864283353514,0.00022997869659564796,1.0,0.0,0.0
release_tuned,12.8,0.0434536345061738,3.4262322154844346e-06,0.00010042606627077792,0.00010042640456013998,1.0,0.0,0.0
release_tuned,13.600000000000001,0.013344902738084731,1.1166620424060048e-08,2.35857365783265e-06,2.3585928628467266e-06,1.0,0.0,0.0
release_tuned,14.4,0.01753285578779188,3.83343342644932e-08,7.627468074665697e-07,7.627534517413499e-07,1.0,0.0,0.0
release_tuned,15.200000000000001,0.011210489584124456,8.992164572553906e-10,1.3517783477522457e-07,1.3519576887321547e-07,1.0,0.0,0.0
release_tuned,16.0,0.006137296897420954,3.466985315044501e-09,1.0822214788479839e-08,1.0828165360479606e-08,1.0,0.0,0.0
release_tuned,16.8,0.015114451285871527,3.468195946635275e-09,6.0271246082573925e-09,6.16845361443252e-09,1.0,0.0,0.0
release_tuned,17.6,0.004983514309174103,3.4694185242257512e-09,2.777251745410576e-10,2.777251745410576e-10,1.0,0.0,0.0
release_tuned,18.4,0.004983514309174103,3.4694185242257512e-09,2.777251745410576e-10,2.777251745410576e-10,1.0,0.0,0.0
release_tuned,19.200000000000003,0.004983514309174103,3.4694185242257512e-09,2.777251745410576e-10,2.777251745410576e-10,1.0,0.0,0.0
release_tuned,20.0,0.004983514309174103,3.4694185242257512e-09,2.777251745410576e-10,2.777251745410576e-10,1.0,0.0,0.0
tailm2_detlin,4.0,0.0390360765442532,0.2254244736302966,0.7230160452372916,0.7735170902628248,0.0,1.0,0.6
tailm2_detlin,4.8,0.09942671221994316,1.8593239090936764,66.13591246571475,66.14646155556899,0.0,1.0,0.0
tailm2_detlin,5.6,0.21450140783824,0.1317424717805571,4.7392100683800695,4.742350767567302,1.0,0.0,0.0
tailm2_detlin,6.4,0.4626664461759334,0.33872435612485013,7.905935701647654,7.906050552547832,1.0,0.0,0.0
tailm2_detlin,7.2,0.04067314099769634,0.3202019724682713,1.0697793286227428,1.069779348801723,0.0,1.0,0.0
tailm2_detlin,8.0,0.010970239527280885,0.00535322868393775,0.01302038810753805,0.013020388758436141,1.0,0.0,0.0
tailm2_detlin,8.8,0.060456048039939585,0.07025678250611218,0.1940500435727765,0.19405004379067048,0.0,1.0,0.0
tailm2_detlin,9.600000000000001,2.131628207280298e-15,2.2204460492503128e-16,2.1316282072803005e-15,2.220446049250313e-15,1.0,0.0,0.0
tailm2_detlin,10.4,0.30614786881529993,0.03456260633238486,0.14293980312816162,0.14293980391796235,1.0,0.0,0.0
tailm2_detlin,11.2,0.29738801208156107,0.0162007389592721,0.04091271612335729,0.04091271640771327,1.0,0.0,0.0
tailm2_detlin,12.0,0.21376052818361227,0.0003894116309773554,0.007332369784910131,0.007332371491122855,1.0,0.0,0.0
tailm2_detlin,12.8,1.471751205124857,4.654090000149447e-05,0.0018194581067050397,0.0018194642360270818,1.0,0.0,0.0
tailm2_detlin,13.600000000000001,0.30649687130676745,1.7953640090378859e-06,4.696786571628102e-05,4.696824815815753e-05,1.0,0.0,0.0
tailm2_detlin,14.4,0.4550262187922582,1.4657629842969202e-06,1.6043547170257297e-05,1.6043686922416127e-05,1.0,0.0,0.0
tailm2_detlin,15.200000000000001,0.3553257383814869,1.2533359620663656e-06,3.626312366360575e-06,3.626793467636922e-06,1.0,0.0,0.0
tailm2_detlin,16.0,0.21523169078478546,4.7053009063595035e-07,3.4251440170387924e-07,3.427027325260143e-07,1.0,0.0,0.0
tailm2_detlin,16.8,0.5028511018130546,4.705745294232284e-07,1.5878469550931735e-07,1.6250801046818007e-07,1.0,0.0,0.0
tailm2_detlin,17.6,0.21288379622504594,4.7060278325364156e-07,1.065941446754108e-08,1.065941446754108e-08,1.0,0.0,0.0
tailm2_detlin,18.4,0.21288379622504594,4.7060278325364156e-07,1.065941446754108e-08,1.065941446754108e-08,1.0,0.0,0.0
tailm2_detlin,19.200000000000003,0.21288379622504594,4.7060278325364156e-07,1.065941446754108e-08,1.065941446754108e-08,1.0,0.0,0.0
tailm2_detlin,20.0,0.21288379622504594,4.7060278325364156e-07,1.065941446754108e-08,1.065941446754108e-08,1.0,0.0,0.0
