D,eta,mu_full,mu_detlin_map,mu_detlin_path,chi2_full,chi2_detlin,acceptance_mismatch,width_full,width_detlin,c_uv22_full,c_uv22_detlin,delta_log_mu,delta_log_uv_ratio,delta_log_fin_ratio,delta_log_rge_ratio,delta_log_width_term,identity_residual,delta_log_uv_g_only,delta_log_uv_p_only,delta_log_uv_m2_only,dominant_component,abs_width_component,abs_uv_component,abs_fin_component,abs_rge_component
4.0,2.1950000000000003,2.144623578583578,2.274799554290285,2.2747995542907207,3.465401711141339,4.782964126165504,1.0,428.7590380643746,508.38529201814686,0.0015148424929922713,0.0016527137623246011,-0.2093806072088754,-0.019441421504972745,0.0,-7.661676715240567e-05,-0.17034453066462252,-2.609024107869118e-15,-0.10523521912657063,0.0,0.08579379762159878,width,0.17034453066462252,0.03888284300994549,0.0,0.00015323353430481135
4.0,2.29,2.159544392612591,2.289979120395228,2.2899791203956674,3.605673027182685,4.950392717121652,1.0,426.7423812301534,506.1355364973446,0.0015165215975457566,0.001654545688228954,-0.20966006014411886,-0.019441421504973633,0.0,-7.661676715240567e-05,-0.17062398359986553,-1.27675647831893e-15,-0.10523521912657152,0.0,0.08579379762159789,width,0.17062398359986553,0.038882843009947266,0.0,0.00015323353430481135
4.0,2.3850000000000002,2.1745050790863396,2.305193092188442,2.305193092188883,3.749113234565858,5.121090838410452,1.0,424.7379260459354,503.8987593148826,0.001518185091249457,0.0016563605824838775,-0.20993911593928816,-0.019441421504973633,0.0,-7.661676715240567e-05,-0.17090303939503393,-2.1649348980190553e-15,-0.10523521912657152,0.0,0.08579379762159789,width,0.17090303939503393,0.038882843009947266,0.0,0.00015323353430481135
4.0,2.4800000000000004,2.1895050794607793,2.3123233300866692,2.31232333008686,3.8957391905898224,5.202086616377685,1.0,422.745651475404,503.43610622117745,0.0015198330466008035,0.0016581585241850557,-0.21372217994123854,-0.019441421504972745,0.0,-7.661676715240567e-05,-0.17468610339698465,-3.608224830031759e-15,-0.10523521912657063,0.0,0.08579379762159878,width,0.17468610339698465,0.03888284300994549,0.0,0.00015323353430481135
4.0,2.575,2.2045438307331704,2.3184468986466342,2.3184468986468256,4.045567347317527,5.27215441021013,0.0,420.76553515460034,503.1856407642732,0.001521465536352639,0.0016599395927068285,-0.21791949076172434,-0.019441421504972745,0.0,-7.661676715240567e-05,-0.17888341421747178,-2.275957200481571e-15,-0.10523521912657152,0.0,0.08579379762159789,width,0.17888341421747178,0.03888284300994549,0.0,0.00015323353430481135
4.0,2.6700000000000004,2.2196207655287057,2.324567442221174,2.3245674422213662,4.198613745536636,5.342655970096275,0.0,418.7975534251082,502.9281394762146,0.0015230826335008037,0.0016617038676886508,-0.22209573546364503,-0.019441421504972745,0.0,-7.661676715240567e-05,-0.18305965891939202,-2.7200464103316335e-15,-0.10523521912657063,0.0,0.08579379762159878,width,0.18305965891939202,0.03888284300994549,0.0,0.00015323353430481135
4.0,2.765,2.234735312188143,2.3306848182258832,2.330684818226077,4.35489400883648,5.413588942975909,0.0,416.8416813668033,502.6637035252164,0.0015246844112718962,0.0016634514290217374,-0.22625095286449526,-0.019441421504973633,0.0,-7.661676715240567e-05,-0.18721487632024214,-1.0547118733938987e-15,-0.10523521912657152,0.0,0.08579379762159789,width,0.18721487632024214,0.038882843009947266,0.0,0.00015323353430481135
4.0,2.8600000000000003,2.2498868948564748,2.3367988838024725,2.3367988838026656,4.51442333780488,5.48495092933474,0.0,414.89789283016677,502.392433609654,0.0015262709431112347,0.0016651823568359298,-0.23038518251003182,-0.019441421504973633,0.0,-7.661676715240567e-05,-0.19134910596577903,-7.216449660063518e-16,-0.10523521912657152,0.0,0.08579379762159789,width,0.19134910596577903,0.038882843009947266,0.0,0.00015323353430481135
4.0,2.955,2.265074933572471,2.3429094958410412,2.342909495841236,4.677216504346346,5.556739483420042,0.0,412.966160468165,502.11442994457633,0.0015278423026709733,0.0016668967314867297,-0.23449846466485902,-0.019441421504973633,0.0,-7.661676715240567e-05,-0.1954623881206059,-1.0547118733938987e-15,-0.10523521912657152,0.0,0.08579379762159789,width,0.1954623881206059,0.038882843009947266,0.0,0.00015323353430481135
4.0,3.0500000000000003,2.280298844359258,2.3490165110024184,2.3490165110026133,4.843287846126531,5.628952113470022,0.0,411.0464557676908,501.8297922486211,0.0015293985637984202,0.0016685946335425546,-0.238590840303052,-0.019441421504973633,0.0,-7.661676715240567e-05,-0.19955476375879933,-6.106226635438361e-16,-0.10523521912657152,0.0,0.08579379762159789,width,0.19955476375879933,0.038882843009947266,0.0,0.00015323353430481135
4.0,3.145,2.2955580393157105,2.355119785740486,2.3551197857406843,5.0126512611437475,5.701586281955958,0.0,409.138749080574,501.53861973131785,0.0015309398005245263,0.0016702761437721785,-0.24266235109877632,-0.019441421504972745,0.0,-7.661676715240567e-05,-0.20362627455452298,-3.0531133177191805e-15,-0.10523521912657152,0.0,0.08579379762159789,width,0.20362627455452298,0.03888284300994549,0.0,0.00015323353430481135
4.0,3.24,2.3108519267087737,2.361219176324536,2.3612191763247323,5.185320202431784,5.774639405837623,0.0,407.2430096541478,501.2410110807752,0.001532466087052544,0.0016719413431323593,-0.24671303941693434,-0.019441421504972745,0.0,-7.661676715240567e-05,-0.20767696287268134,-2.7200464103316335e-15,-0.10523521912657063,0.0,0.08579379762159878,width,0.20767696287268134,0.03888284300994549,0.0,0.00015323353430481135
4.0,3.3350000000000004,2.3261799110666166,2.367314538861623,2.36731453886182,5.361307672896037,5.848108856831713,0.0,405.35920566138844,500.9370644517562,0.001533977497746883,0.0016735903127556794,-0.2507429483038234,-0.019441421504973633,0.0,-7.661676715240567e-05,-0.21170687175956981,-1.4988010832439613e-15,-0.10523521912657152,0.0,0.08579379762159789,width,0.21170687175956981,0.038882843009947266,0.0,0.00015323353430481135
4.0,3.43,2.3415413932725633,2.3734057293189155,2.3734057293191153,5.540626220285248,5.9219919616930605,0.0,403.4873042306146,500.62687745412853,0.0015354741071221191,0.0016752231339385545,-0.25475212147780757,-0.019441421504973633,0.0,-7.661676715240567e-05,-0.21571604493355423,-1.27675647831893e-15,-0.10523521912657152,0.0,0.08579379762159789,width,0.21571604493355423,0.038882843009947266,0.0,0.00015323353430481135
4.0,3.5250000000000004,2.356935770659859,2.3794926035460673,2.3794926035462667,5.723287932302366,5.996286002509083,0.0,401.6272714747532,500.3105471416929,0.0015369559898321956,0.0016768398881294516,-0.25874060332001514,-0.019441421504972745,0.0,-7.661676715240567e-05,-0.2197045267757627,-2.1649348980190553e-15,-0.10523521912657152,0.0,0.08579379762159789,width,0.2197045267757627,0.03888284300994549,0.0,0.00015323353430481135
4.0,3.62,2.3723624371071432,2.3855750172975307,2.385575017297729,5.909304431855894,6.070988217006425,0.0,399.7790725201757,499.988170001384,0.0015384232206597922,0.0016784406569172914,-0.2627084388650486,-0.019441421504973633,0.0,-7.661676715240567e-05,-0.22367236232079524,-1.27675647831893e-15,-0.10523521912657152,0.0,0.08579379762159789,width,0.22367236232079524,0.038882843009947266,0.0,0.00015323353430481135
