D,level,Nz,zmax,N_ref,E_ref,omega_ref,S_l1,gamma_geo_l1,A1_fp,S_l2,gamma_geo_l2,A2_fp,A21_ratio,grid_index,A1_profile,A2_profile,D_ref_profile
12.135593220338983,fine,8001,80.0,2.0,-0.4778803581701833,0.7225784675935317,17.685311833838092,3.144983239865431e-16,5.856702905015332e-15,26.42749810418482,8.021430433454118e-24,5.4795717397341405e-22,9.356069154612165e-08,30,0.821772387281889,0.8106495530190831,12.0
12.40677966101695,fine,8001,80.0,2.0,-0.47814420373196675,0.7223958722667463,17.891817660183577,2.0803667009860052e-16,3.882957094217785e-15,26.655400220522225,5.08380399866528e-24,3.4842593432131296e-22,8.973211031359664e-08,31,0.5448299107499535,0.5154624144614864,12.0
12.677966101694915,fine,8001,80.0,2.0,-0.4783927441820412,0.722223826675608,18.09466020804278,1.386275830584131e-16,2.5930049354136246e-15,26.88070719260766,3.2388154715439192e-24,2.2266535480944307e-22,8.587155071261925e-08,32,0.3638326701161217,0.3294118207089452,12.0
12.94915254237288,fine,8001,80.0,2.0,-0.4786275326640447,0.7220612628689863,18.28913228205324,9.393676261261054e-17,1.7606343449205078e-15,27.100952416317316,2.0844230600524275e-24,1.4372200373177497e-22,8.16308077520003e-08,33,0.24704013712507464,0.21262278079020672,12.0
13.220338983050848,fine,8001,80.0,2.0,-0.4788499085721743,0.721907259575512,18.495472975849147,6.216095841849592e-17,1.1673068111968714e-15,27.312771770362342,1.3642981129898016e-24,9.433024437567167e-23,8.081015502595441e-08,34,0.16378848654013314,0.13955245787698958,12.0
13.491525423728813,fine,8001,80.0,2.0,-0.4790610313866472,0.7217610190453296,18.700460859826926,4.12457781970768e-17,7.759588587536708e-16,27.53596968933782,8.728789956501466e-25,6.051172660186989e-23,7.798316356496347e-08,35,0.10887722565617572,0.08952123715529418,12.0
13.76271186440678,fine,8001,80.0,2.0,-0.4792619087769211,0.7216218478005492,18.90342215388614,2.747930929777565e-17,5.178676131747003e-16,27.757055447964532,5.608382733168674e-25,3.8977312325294917e-23,7.526501239641355e-08,36,0.07266363202581355,0.05766315747865097,12.0
14.033898305084746,fine,8001,80.0,2.0,-0.4794534200255352,0.7214891405797214,19.093068833885987,1.8801864756035513e-17,3.5492184934317e-16,27.97509540794446,3.625523011410394e-25,2.5257088288043877e-23,7.116239345305304e-08,37,0.04980019990146252,0.03736541522542359,12.0
14.305084745762711,fine,8001,80.0,2.0,-0.47963633554138096,0.7213623669547914,19.297980804153678,1.2477866403015664e-17,2.3591686925170047e-16,28.180004364982334,2.406094554716429e-25,1.6800315140075262e-23,7.121286067148913e-08,38,0.03310223721251431,0.024854438641846353,12.0
14.576271186440678,fine,8001,80.0,2.0,-0.47981133314929,0.7212410601530601,19.50178560494743,8.29936169664175e-18,1.5715228656930378e-16,28.39949793196957,1.5509220185270718e-25,1.0852860024498058e-23,6.905951075495153e-08,39,0.022050531125673727,0.016055754985452357,12.0
14.847457627118644,fine,8001,80.0,2.0,-0.4799790116860033,0.721124807723321,19.70410970576385,5.536536968273172e-18,1.0498911589908381e-16,28.61724674863257,1.0031958704862148e-25,7.034772635984315e-24,6.700478021689583e-08,40,0.0147313527440708,0.010407264588944407,12.0
15.11864406779661,fine,8001,80.0,2.0,-0.4801399024210663,0.7210132436917741,19.890601702128713,3.812291669115478e-18,7.239306130905462e-17,28.83272624781428,6.518616426238141e-26,4.580293213834214e-24,6.326978208975575e-08,41,0.010157697902627388,0.006776100072870283,12.0
15.389830508474576,fine,8001,80.0,2.0,-0.48029447864796326,0.7209060419722093,20.09440092358274,2.5357345547894236e-18,4.8216513126436876e-17,29.03272341436493,4.368934346179978e-26,3.0757630000854825e-24,6.379065595266068e-08,42,0.006765410460617661,0.004550293379921885,12.0
15.661016949152541,fine,8001,80.0,2.0,-0.48044316376127383,0.7208029108145486,20.297272662160488,1.6897774184241773e-18,3.2172196752056447e-17,29.24925097642358,2.8329566830938803e-26,1.998135891409955e-24,6.21075367283471e-08,43,0.004514182016369644,0.00295604847272509,12.0
15.932203389830509,fine,8001,80.0,2.0,-0.4805863380320911,0.7207035881469641,20.498973787663886,1.1286889751588906e-18,2.151612825921056e-17,29.464316458325584,1.8423688513640148e-26,1.301786270579858e-24,6.050281235066505e-08,44,0.0030189955630997626,0.0019258666707831845,12.0
16.203389830508474,fine,8001,80.0,2.0,-0.48072434433261624,0.720607837639436,20.698763796389088,7.568001045733911e-19,1.4444095491700832e-17,29.677584548152716,1.2024764244504783e-26,8.511180726364687e-25,5.892498240028232e-08,45,0.0020266964240542246,0.0012591467324829522,12.0
16.474576271186443,fine,8001,80.0,2.0,-0.4808574930096611,0.7205154453516863,20.885888274363623,5.204646536865353e-19,9.944926676918336e-18,29.887207416192354,7.905780902462898e-27,5.605081594393489e-25,5.636121588912863e-08,46,0.0013954039105579543,0.0008292175200814192,12.0
16.74576271186441,fine,8001,80.0,2.0,-0.48098606602251237,0.7204262168865647,21.088014850530858,3.473541892248081e-19,6.644571241282061e-18,30.087708417040766,5.29344044707572e-27,3.7590181064041376e-25,5.657277151382969e-08,47,0.0009323206691493683,0.0005561103116235506,12.0
17.016949152542374,fine,8001,80.0,2.0,-0.48111032045040986,0.7203399749768092,21.28917692650811,2.3227014419826596e-19,4.447907444869106e-18,30.30058538156002,3.45766932557168e-27,2.459210720475198e-25,5.528916127317411e-08,48,0.000624099869612458,0.00036381640135797923,12.0
17.28813559322034,fine,8001,80.0,2.0,-0.4812304914692199,0.7202565574368484,21.48898380865649,1.557374435090336e-19,2.9854379766639266e-18,30.511988380441892,2.265222412065193e-27,1.6135297523843632e-25,5.4046668026491704e-08,49,0.0004188961832201227,0.00023870609505275648,12.0
17.559322033898304,fine,8001,80.0,2.0,-0.4813467949045614,0.7201758154058207,21.673314563210493,1.0770520565174226e-19,2.0667592839874684e-18,30.721211478135096,1.490504488968866e-27,1.0632425764555958e-25,5.1444915946101184e-08,50,0.000289993489218136,0.00015729643853452057,12.0
17.83050847457627,fine,8001,80.0,2.0,-0.4814594294496629,0.7200976118210205,21.874838951682165,7.19693652132553e-20,1.3823732991471312e-18,30.916786871308943,1.0078861975643896e-27,7.199853837557024e-26,5.208328200493343e-08,51,0.00019396514123707376,0.00010651486233669626,12.0
18.101694915254235,fine,8001,80.0,2.0,-0.48156857856566704,0.720021820109872,22.075547722847176,4.816910042475716e-20,9.260994265489601e-19,31.12785720230433,6.607427780454187e-28,4.726491412100492e-26,5.103654398873139e-08,52,0.00012994392048874725,6.992386143581538e-05,12.0
18.372881355932204,fine,8001,80.0,2.0,-0.4816744120980487,0.7199483230773938,22.2751912303115,3.2308444936576086e-20,6.217333087113763e-19,31.3376902597239,4.342395877655553e-28,3.1103710103715485e-26,5.002741475791605e-08,53,8.723735412887192e-05,4.601492578329753e-05,12.0
18.64406779661017,fine,8001,80.0,2.0,-0.481777087676454,0.719877011942697,22.47301926866191,2.1749124791243473e-20,4.18906440247934e-19,31.545885859316,2.863188851930504e-28,2.053487318666939e-26,4.902018974574756e-08,54,5.877807890093096e-05,3.037935546927388e-05,12.0
18.915254237288135,fine,8001,80.0,2.0,-0.4818767519478895,0.7198077854900644,22.658383876690717,1.5010472621870888e-20,2.8936467306693995e-19,31.73799146390366,1.9496085499632999e-28,1.4000140839915688e-26,4.838234291535987e-08,55,4.0601666507213766e-05,2.071185204454045e-05,12.0
19.186440677966104,fine,8001,80.0,2.0,-0.48197354166849105,0.7197405493172585,22.85871406709387,1.0054239019934342e-20,1.9398380173293254e-19,31.94755462547206,1.281983993441719e-28,9.217114437929417e-27,4.7514866476424106e-08,56,2.7218476748680375e-05,1.3635827860510393e-05,12.0
19.45762711864407,fine,8001,80.0,2.0,-0.48206758463233623,0.719675215196177,23.05816523136008,6.746347392637802e-21,1.302686113862228e-19,32.156061383187634,8.447661619932936e-29,6.080809627025939e-27,4.6679008567900075e-08,57,1.8278398188011335e-05,8.995968736750004e-06,12.0
19.728813559322035,fine,8001,80.0,2.0,-0.48215900048174476,0.7196117005151148,23.256347601231184,4.538280669301563e-21,8.770157768009669e-20,32.363249613314395,5.581318020595909e-29,4.0221657111480754e-27,4.5861953884335655e-08,58,1.2305683936407974e-05,5.950404503818152e-06,12.0
20.0,fine,8001,80.0,2.0,-0.48224790141830554,0.7195499277893748,23.439152455581038,3.148268688344037e-21,6.088683294151193e-20,32.568271072680304,3.703566183152201e-29,2.67194779619995e-27,4.3883836079413605e-08,59,8.54322284600312e-06,3.952887907230693e-06,12.0
