D_left,D_right,delta_D,N,lambda_left_fixed,lambda_right_fixed,lambda_displacement_fixed,overlap_signed,overlap_abs,actual_rank_one_projector_sin,rank_one_drift_pass,rayleigh_shift_mean_deltaU,rayleigh_mu,residual_rms_centered_deltaU,raw_davis_kahan_gap,raw_davis_kahan_bound,raw_davis_kahan_bound_clipped,raw_davis_kahan_pass_unclipped,t3a_endpoint_max_Pprime_bound,t3a_integrated_path_bound,t3a_path_bound_pass
8.8,9.6,0.7999999999999989,1,0.6817241195286998,0.6811917941307168,0.0005323253979829801,0.9991785576584474,0.9991785576584474,0.040524189264988554,True,-0.0003869670708872686,0.6813371524578126,0.054481025273961065,0.020583082276733777,2.6468837145709734,1.0,False,0.0592073519500533,0.04736588156004257,True
8.8,9.6,0.7999999999999989,2,0.700418092813945,0.7019202347345463,0.0015021419206013853,0.9999747682303659,0.9999747682303659,0.0071037245601165335,True,0.0015327955792537196,0.7019508883931986,0.04255558762971779,0.020759094262481792,2.049973235423335,1.0,False,0.0663679616801513,0.05309436934412097,True
8.8,9.6,0.7999999999999989,3,0.7445644047367943,0.7431207994801894,0.0014436052566049185,0.9992267943312697,0.9992267943312697,0.03931683469526078,True,-0.001529538815963792,0.7430348659208306,0.02485675071677136,0.04111463118628422,0.6045719005516347,0.6045719005516347,False,0.0460573971686656,0.03684591773493243,True
9.6,10.4,0.8000000000000007,1,0.6811917941307168,0.680421225244805,0.0007705688859118709,0.9991522493012559,0.9991522493012559,0.041167738779789895,True,-0.0006252541976530115,0.6805665399330638,0.0544714302513231,0.022856458721342898,2.383196404806961,1.0,False,0.0563637579753036,0.04509100638024292,True
9.6,10.4,0.8000000000000007,2,0.7019202347345463,0.7034229986544067,0.0015027639198603726,0.9999651857112959,0.9999651857112959,0.008344301371206925,True,0.0015400987517357266,0.7034603334862821,0.04598914314448779,0.023039108241477146,1.9961338200449035,1.0,False,0.0694951890007654,0.05559615120061237,True
9.6,10.4,0.8000000000000007,3,0.7431207994801894,0.7422092708652499,0.000911528614939483,0.9991934263379958,0.9991934263379958,0.04015590570434413,True,-0.0010080620990097395,0.7421127373811797,0.015468753253127241,0.03868973872677295,0.3998153971100095,0.3998153971100095,False,0.048553700804618,0.038842960643694434,True
10.4,11.2,0.7999999999999989,1,0.680421225244805,0.6794263628378219,0.0009948624069830991,0.999198644889484,0.999198644889484,0.04002584228993718,True,-0.000857356532008667,0.6795638687127963,0.05382690041557526,0.025321819553189906,2.125712186776658,1.0,False,0.053412879303211,0.04273030344256874,True
10.4,11.2,0.7999999999999989,2,0.7034229986544067,0.7048856882659862,0.0014626896115794707,0.9999433536719091,0.9999433536719091,0.010643751564900408,True,0.0015090149285410144,0.7049320135829478,0.04935465743558716,0.025505650745125896,1.9350479597160948,1.0,False,0.0708526976733169,0.05668215813865344,True
10.4,11.2,0.7999999999999989,3,0.7422092708652499,0.7418585365445738,0.000350734320676116,0.9992264897499801,0.9992264897499801,0.03932457478388057,True,-0.0004455433282240481,0.7417637275370259,0.0069301667067549364,0.03687803927103972,0.18792123561181812,0.18792123561181812,True,0.0501156036851655,0.04009248294813235,True
11.2,12.0,0.8000000000000007,1,0.6794263628378219,0.678237381450683,0.0011889813871388544,0.9993034056060824,0.9993034056060824,0.037318943501732385,True,-0.0010654935399522444,0.6783608692978697,0.052576170788544284,0.027899336389066387,1.8844953892576681,1.0,False,0.0495089527952279,0.03960716223618235,True
11.2,12.0,0.8000000000000007,2,0.7048856882659862,0.706260205686936,0.00137451742094985,0.9999055136221459,0.9999055136221459,0.013746411460184233,True,0.0014324392696835335,0.7063181275356697,0.052597610455429045,0.028080746084986674,1.8730845076637859,1.0,False,0.0723285573240328,0.05786284585922629,True
11.2,12.0,0.8000000000000007,3,0.7418585365445738,0.742054087643043,0.00019555109846924879,0.9993194697685206,0.9993194697685206,0.036886275788737426,True,0.0001119365802643228,0.7419704731248381,0.006570697572535478,0.035710267437902066,0.18400023421727413,0.18400023421727413,True,0.052145546940984,0.041716437552787235,True
12.0,12.8,0.8000000000000007,1,0.678237381450683,0.6768949660568173,0.0013424153938657035,0.9994390345376687,0.9994390345376687,0.03349053959572304,True,-0.0012364569596296736,0.6770009244910533,0.0508055176896354,0.03049080544182914,1.6662569897198354,1.0,False,0.0463526577881669,0.03708212623053355,True
12.0,12.8,0.8000000000000007,2,0.706260205686936,0.7074917299328825,0.0012315242459464137,0.9998499815091816,0.9998499815091816,0.017320925959350274,True,0.001303529366083254,0.7075637350530193,0.05563913332760668,0.030668768996201967,1.814195194286965,1.0,False,0.0724496208710012,0.057959696696801004,True
12.0,12.8,0.8000000000000007,3,0.742054087643043,0.7427470505123537,0.0006929628693106427,0.9994488900173832,0.9994488900173832,0.03319512378378162,True,0.0006263881760566203,0.7426804758190997,0.014451035075278939,0.03518874588621723,0.41067206890539215,0.41067206890539215,False,0.0538055278029089,0.04304442224232716,True
