D_left,D_right,N,lambda_left,lambda_right,delta_D,lambda_displacement,local_nearest_gap_floor,step_gap_ratio,step_ratio_pass
12.8,13.6,1,0.6830638620519325,0.6802096145824572,0.7999999999999989,0.0028542474694752684,0.05688257696482091,0.05017788612566693,True
12.8,13.6,2,0.7420539290605126,0.7370921915472781,0.7999999999999989,0.0049617375132344765,0.05688257696482091,0.08722772029655176,True
12.8,13.6,3,0.8131709891437531,0.8047855402175768,0.7999999999999989,0.00838544892617632,0.06769334867029864,0.12387404510032088,True
13.6,14.4,1,0.6802096145824572,0.6775461771711009,0.8000000000000007,0.0026634374113563286,0.05471157613067135,0.04868142356189961,True
13.6,14.4,2,0.7370921915472781,0.7322577533017722,0.8000000000000007,0.00483443824550589,0.05471157613067135,0.08836225507303015,True
13.6,14.4,3,0.8047855402175768,0.7967441384530398,0.8000000000000007,0.008041401764536937,0.06448638515126759,0.12469921744991579,True
14.4,15.2,1,0.6775461771711009,0.6750856516280581,0.7999999999999989,0.0024605255430427686,0.05261797678792113,0.046762070555468445,True
14.4,15.2,2,0.7322577533017722,0.7277036284159792,0.7999999999999989,0.004554124885792987,0.05261797678792113,0.08655074109269861,True
14.4,15.2,3,0.7967441384530398,0.7893558093917186,0.7999999999999989,0.007388329061321253,0.061652180975739324,0.11983889206172,True
15.2,16.0,1,0.6750856516280581,0.6728274944423072,0.8000000000000007,0.002258157185750953,0.050690912221833084,0.044547574442314775,True
15.2,16.0,2,0.7277036284159792,0.7235184066641402,0.8000000000000007,0.004185221751838997,0.050690912221833084,0.08256355169785995,True
15.2,16.0,3,0.7893558093917186,0.782825461857259,0.8000000000000007,0.00653034753445958,0.05930705519311874,0.11011080407204707,True
16.0,16.8,1,0.6728274944423072,0.6707191581295668,0.8000000000000007,0.002108336312740322,0.048731108383981425,0.0432646903109095,True
16.0,16.8,2,0.7235184066641402,0.7194502665135483,0.8000000000000007,0.004068140150591981,0.048731108383981425,0.08348137946169175,True
16.0,16.8,3,0.782825461857259,0.7764650120267225,0.8000000000000007,0.006360449830536519,0.0570147455131742,0.11155797983991407,True
16.8,17.6,1,0.6707191581295668,0.6687655269340034,0.8000000000000007,0.0019536311955634655,0.04684205533161845,0.04170677784594908,True
16.8,17.6,2,0.7194502665135483,0.7156075822656218,0.8000000000000007,0.0038426842479264423,0.04684205533161845,0.08203491970457209,True
16.8,17.6,3,0.7764650120267225,0.770534635477075,0.8000000000000007,0.005930376549647454,0.05492705321145319,0.1079682270013144,True
17.6,18.4,1,0.6687655269340034,0.6669643237777407,0.7999999999999972,0.001801203156262643,0.04508830897886473,0.03994834131186782,True
17.6,18.4,2,0.7156075822656218,0.7120526327566055,0.7999999999999972,0.0035549495090163585,0.04508830897886473,0.07884415249821745,True
17.6,18.4,3,0.770534635477075,0.7652088668167716,0.7999999999999972,0.0053257686603034315,0.05315623406016612,0.10019085728073468,True
18.4,19.200000000000003,1,0.6669643237777407,0.6652792876061728,0.8000000000000043,0.0016850361715678996,0.043331425290528136,0.03888716238319152,True
18.4,19.200000000000003,2,0.7120526327566055,0.708610712896701,0.8000000000000043,0.0034419198599044964,0.043331425290528136,0.0794324173928539,True
18.4,19.200000000000003,3,0.7652088668167716,0.7599747381471262,0.8000000000000043,0.005234128669645344,0.05136402525042527,0.10190261849857664,True
19.200000000000003,20.0,1,0.6652792876061728,0.663712104006247,0.7999999999999972,0.0015671835999258033,0.041644263548268556,0.037632640522249364,True
19.200000000000003,20.0,2,0.708610712896701,0.7053563675545156,0.7999999999999972,0.003254345342185383,0.041644263548268556,0.07814630551488498,True
19.200000000000003,20.0,3,0.7599747381471262,0.7550432573165684,0.7999999999999972,0.004931480830557833,0.04968688976205282,0.09925114762011394,True
