D,i,j,lambda_i,lambda_j,A_ij,abs_A_ij,gap_abs
4.0,5,4,1.6419653290034086,1.3016179943485513,9.471177267052994e-06,9.471177267052994e-06,0.34034733465485734
4.0,5,5,1.6419653290034086,1.6419653290034086,0.001182464167286327,0.001182464167286327,0.0
4.0,5,6,1.6419653290034086,2.066705423812488,-1.866907352512528e-05,1.866907352512528e-05,0.42474009480907937
4.0,5,7,1.6419653290034086,2.5669612895002767,-0.0011234840962684937,0.0011234840962684937,0.924995960496868
4.0,5,8,1.6419653290034086,3.142531806823218,-6.184203743024263e-06,6.184203743024263e-06,1.5005664778198093
4.0,6,1,2.066705423812488,0.7359089334327868,2.45464460281413e-05,2.45464460281413e-05,1.3307964903797012
4.0,6,2,2.066705423812488,0.8355420903544075,0.0038473746037233116,0.0038473746037233116,1.2311633334580805
4.0,6,3,2.066705423812488,1.02491356144823,-4.340352583218118e-06,4.340352583218118e-06,1.041791862364258
4.0,6,4,2.066705423812488,1.3016179943485513,0.004411886169366634,0.004411886169366634,0.7650874294639367
4.0,6,5,2.066705423812488,1.6419653290034086,-1.8669073525125387e-05,1.8669073525125387e-05,0.42474009480907937
4.0,6,6,2.066705423812488,2.066705423812488,-0.002123329631208485,0.002123329631208485,0.0
4.0,6,7,2.066705423812488,2.5669612895002767,-1.929445594362589e-05,1.929445594362589e-05,0.5002558656877887
4.0,6,8,2.066705423812488,3.142531806823218,-0.0037435932592306885,0.0037435932592306885,1.07582638301073
4.0,7,1,2.5669612895002767,0.7359089334327868,-0.0024569339592045623,0.0024569339592045623,1.8310523560674898
4.0,7,2,2.5669612895002767,0.8355420903544075,2.284372546417499e-05,2.284372546417499e-05,1.7314191991458692
4.0,7,3,2.5669612895002767,1.02491356144823,0.002686838887633641,0.002686838887633641,1.5420477280520466
4.0,7,4,2.5669612895002767,1.3016179943485513,3.133427974593783e-05,3.133427974593783e-05,1.2653432951517254
4.0,7,5,2.5669612895002767,1.6419653290034086,-0.0011234840962684942,0.0011234840962684942,0.924995960496868
4.0,7,6,2.5669612895002767,2.066705423812488,-1.929445594362585e-05,1.929445594362585e-05,0.5002558656877887
4.0,7,7,2.5669612895002767,2.5669612895002767,0.0005111555114771661,0.0005111555114771661,0.0
4.0,7,8,2.5669612895002767,3.142531806823218,-4.4122017126870955e-06,4.4122017126870955e-06,0.5755705173229413
4.0,8,1,3.142531806823218,0.7359089334327868,-8.287272491190801e-07,8.287272491190801e-07,2.406622873390431
4.0,8,2,3.142531806823218,0.8355420903544075,0.0038016456001575783,0.0038016456001575783,2.3069897164688102
4.0,8,3,3.142531806823218,1.02491356144823,1.6625557193315166e-06,1.6625557193315166e-06,2.117618245374988
4.0,8,4,3.142531806823218,1.3016179943485513,0.005865426471478481,0.005865426471478481,1.8409138124746667
4.0,8,5,3.142531806823218,1.6419653290034086,-6.184203743024342e-06,6.184203743024342e-06,1.5005664778198093
4.0,8,6,3.142531806823218,2.066705423812488,-0.003743593259230688,0.003743593259230688,1.07582638301073
4.0,8,7,3.142531806823218,2.5669612895002767,-4.412201712687034e-06,4.412201712687034e-06,0.5755705173229413
4.0,8,8,3.142531806823218,3.142531806823218,-0.0004152472974913413,0.0004152472974913413,0.0
4.8,1,1,0.7288862929173103,0.7288862929173103,-0.0027586067084400304,0.0027586067084400304,0.0
4.8,1,2,0.7288862929173103,0.8215569493414492,-7.250557090296147e-16,7.250557090296147e-16,0.09267065642413885
4.8,1,3,0.7288862929173103,0.9889954921757056,-0.006706328223914246,0.006706328223914246,0.26010919925839526
4.8,1,4,0.7288862929173103,1.2419289379996943,-2.0559652992058977e-16,2.0559652992058977e-16,0.513042645082384
4.8,1,5,0.7288862929173103,1.55090796687104,-0.005321153044233671,0.005321153044233671,0.8220216739537296
4.8,1,6,0.7288862929173103,1.933852954855356,-5.684071524558063e-16,5.684071524558063e-16,1.2049666619380457
4.8,1,7,0.7288862929173103,2.3885866704099348,0.00032951247315024876,0.00032951247315024876,1.6597003774926244
4.8,1,8,0.7288862929173103,2.909681746748844,4.354642601585732e-16,4.354642601585732e-16,2.180795453831534
4.8,2,1,0.8215569493414492,0.7288862929173103,-7.250268553110757e-16,7.250268553110757e-16,0.09267065642413885
4.8,2,2,0.8215569493414492,0.8215569493414492,0.0035893444929310345,0.0035893444929310345,0.0
4.8,2,3,0.8215569493414492,0.9889954921757056,-6.950046923994754e-16,6.950046923994754e-16,0.1674385428342564
4.8,2,4,0.8215569493414492,1.2419289379996943,-0.001099232417054813,0.001099232417054813,0.4203719886582451
4.8,2,5,0.8215569493414492,1.55090796687104,-6.601678067877097e-16,6.601678067877097e-16,0.7293510175295908
4.8,2,6,0.8215569493414492,1.933852954855356,0.004789362121472056,0.004789362121472056,1.1122960055139068
4.8,2,7,0.8215569493414492,2.3885866704099348,7.371172630290044e-17,7.371172630290044e-17,1.5670297210684856
4.8,2,8,0.8215569493414492,2.909681746748844,-0.0034704388267046203,0.0034704388267046203,2.088124797407395
4.8,3,1,0.9889954921757056,0.7288862929173103,-0.006706328223914245,0.006706328223914245,0.26010919925839526
4.8,3,2,0.9889954921757056,0.8215569493414492,-6.950734481185092e-16,6.950734481185092e-16,0.1674385428342564
4.8,3,3,0.9889954921757056,0.9889954921757056,-0.0023854656844558573,0.0023854656844558573,0.0
4.8,3,4,0.9889954921757056,1.2419289379996943,-5.4065971454166916e-17,5.4065971454166916e-17,0.2529334458239887
4.8,3,5,0.9889954921757056,1.55090796687104,-0.0019295718987842377,0.0019295718987842377,0.5619124746953343
4.8,3,6,0.9889954921757056,1.933852954855356,-3.333273385990085e-16,3.333273385990085e-16,0.9448574626796504
4.8,3,7,0.9889954921757056,2.3885866704099348,0.0016610286763618129,0.0016610286763618129,1.3995911782342292
4.8,3,8,0.9889954921757056,2.909681746748844,2.630529676843505e-16,2.630529676843505e-16,1.9206862545731385
4.8,4,1,1.2419289379996943,0.7288862929173103,-2.054766145811827e-16,2.054766145811827e-16,0.513042645082384
4.8,4,2,1.2419289379996943,0.8215569493414492,-0.001099232417054813,0.001099232417054813,0.4203719886582451
4.8,4,3,1.2419289379996943,0.9889954921757056,-5.399474251962453e-17,5.399474251962453e-17,0.2529334458239887
4.8,4,4,1.2419289379996943,1.2419289379996943,-0.001487392048360313,0.001487392048360313,0.0
4.8,4,5,1.2419289379996943,1.55090796687104,-2.7163467923250735e-16,2.7163467923250735e-16,0.30897902887134565
4.8,4,6,1.2419289379996943,1.933852954855356,0.005242935843089296,0.005242935843089296,0.6919240168556617
4.8,4,7,1.2419289379996943,2.3885866704099348,9.355295711083303e-17,9.355295711083303e-17,1.1466577324102405
4.8,4,8,1.2419289379996943,2.909681746748844,-0.005343747818392118,0.005343747818392118,1.6677528087491498
4.8,5,1,1.55090796687104,0.7288862929173103,-0.005321153044233671,0.005321153044233671,0.8220216739537296
4.8,5,2,1.55090796687104,0.8215569493414492,-6.601827477371021e-16,6.601827477371021e-16,0.7293510175295908
4.8,5,3,1.55090796687104,0.9889954921757056,-0.0019295718987842377,0.0019295718987842377,0.5619124746953343
4.8,5,4,1.55090796687104,1.2419289379996943,-2.7163109258041504e-16,2.7163109258041504e-16,0.30897902887134565
4.8,5,5,1.55090796687104,1.55090796687104,0.0018889992111767878,0.0018889992111767878,0.0
4.8,5,6,1.55090796687104,1.933852954855356,1.23403524834158e-16,1.23403524834158e-16,0.3829449879843161
4.8,5,7,1.55090796687104,2.3885866704099348,0.0014819213059634859,0.0014819213059634859,0.8376787035388948
4.8,5,8,1.55090796687104,2.909681746748844,-1.0334513447351166e-16,1.0334513447351166e-16,1.3587737798778041
4.8,6,1,1.933852954855356,0.7288862929173103,-5.683204771641414e-16,5.683204771641414e-16,1.2049666619380457
4.8,6,2,1.933852954855356,0.8215569493414492,0.004789362121472055,0.004789362121472055,1.1122960055139068
4.8,6,3,1.933852954855356,0.9889954921757056,-3.333159565032253e-16,3.333159565032253e-16,0.9448574626796504
4.8,6,4,1.933852954855356,1.2419289379996943,0.005242935843089296,0.005242935843089296,0.6919240168556617
4.8,6,5,1.933852954855356,1.55090796687104,1.2345703687179306e-16,1.2345703687179306e-16,0.3829449879843161
4.8,6,6,1.933852954855356,1.933852954855356,-0.0018647054463673519,0.0018647054463673519,0.0
4.8,6,7,1.933852954855356,2.3885866704099348,2.446588359001932e-17,2.446588359001932e-17,0.45473371555457875
4.8,6,8,1.933852954855356,2.909681746748844,0.0030149231948937193,0.0030149231948937193,0.975828791893488
4.8,7,1,2.3885866704099348,0.7288862929173103,0.00032951247315024887,0.00032951247315024887,1.6597003774926244
4.8,7,2,2.3885866704099348,0.8215569493414492,7.350449515899175e-17,7.350449515899175e-17,1.5670297210684856
4.8,7,3,2.3885866704099348,0.9889954921757056,0.0016610286763618126,0.0016610286763618126,1.3995911782342292
4.8,7,4,2.3885866704099348,1.2419289379996943,9.369708527533644e-17,9.369708527533644e-17,1.1466577324102405
4.8,7,5,2.3885866704099348,1.55090796687104,0.0014819213059634859,0.0014819213059634859,0.8376787035388948
4.8,7,6,2.3885866704099348,1.933852954855356,2.4411601109783965e-17,2.4411601109783965e-17,0.45473371555457875
4.8,7,7,2.3885866704099348,2.3885866704099348,-0.00031695093104248387,0.00031695093104248387,0.0
4.8,7,8,2.3885866704099348,2.909681746748844,-2.5398883304161743e-18,2.5398883304161743e-18,0.5210950763389093
4.8,8,1,2.909681746748844,0.7288862929173103,4.353065313031547e-16,4.353065313031547e-16,2.180795453831534
4.8,8,2,2.909681746748844,0.8215569493414492,-0.0034704388267046203,0.0034704388267046203,2.088124797407395
4.8,8,3,2.909681746748844,0.9889954921757056,2.630419827328931e-16,2.630419827328931e-16,1.9206862545731385
4.8,8,4,2.909681746748844,1.2419289379996943,-0.005343747818392118,0.005343747818392118,1.6677528087491498
4.8,8,5,2.909681746748844,1.55090796687104,-1.033044750439477e-16,1.033044750439477e-16,1.3587737798778041
4.8,8,6,2.909681746748844,1.933852954855356,0.003014923194893719,0.003014923194893719,0.975828791893488
4.8,8,7,2.909681746748844,2.3885866704099348,-2.6369330725762316e-18,2.6369330725762316e-18,0.5210950763389093
4.8,8,8,2.909681746748844,2.909681746748844,0.00026355464482904844,0.00026355464482904844,0.0
5.6,1,1,0.7224393313380941,0.7224393313380941,-0.002969930971066978,0.002969930971066978,0.0
5.6,1,2,0.7224393313380941,0.8093995500788578,-1.4532489780254779e-05,1.4532489780254779e-05,0.08696021874076365
5.6,1,3,0.7224393313380941,0.9582383065824134,-0.006390555818863669,0.006390555818863669,0.23579897524431925
5.6,1,4,0.7224393313380941,1.1894684086659701,-1.954456562820625e-05,1.954456562820625e-05,0.467029077327876
5.6,1,5,0.7224393313380941,1.4723614773492821,-0.003980234699556885,0.003980234699556885,0.749922146011188
5.6,1,6,0.7224393313380941,1.818923626993834,-2.70447587819467e-06,2.70447587819467e-06,1.09648429565574
5.6,1,7,0.7224393313380941,2.23362438276503,-0.0015217177360264053,0.0015217177360264053,1.511185051426936
5.6,1,8,0.7224393313380941,2.708405079473438,-2.6262217518801934e-05,2.6262217518801934e-05,1.9859657481353439
5.6,2,1,0.8093995500788578,0.7224393313380941,-1.4532489780254684e-05,1.4532489780254684e-05,0.08696021874076365
5.6,2,2,0.8093995500788578,0.8093995500788578,0.0032682506899184755,0.0032682506899184755,0.0
5.6,2,3,0.8093995500788578,0.9582383065824134,-1.2510096670770366e-05,1.2510096670770366e-05,0.1488387565035556
5.6,2,4,0.8093995500788578,1.1894684086659701,-0.0021129907402327153,0.0021129907402327153,0.38006885858711237
5.6,2,5,0.8093995500788578,1.4723614773492821,1.4257695451719647e-05,1.4257695451719647e-05,0.6629619272704244
5.6,2,6,0.8093995500788578,1.818923626993834,-0.005301758490765463,0.005301758490765463,1.0095240769149763
5.6,2,7,0.8093995500788578,2.23362438276503,-2.852097148839815e-05,2.852097148839815e-05,1.4242248326861724
5.6,2,8,0.8093995500788578,2.708405079473438,0.002531903508746434,0.002531903508746434,1.8990055293945802
5.6,3,1,0.9582383065824134,0.7224393313380941,-0.006390555818863669,0.006390555818863669,0.23579897524431925
5.6,3,2,0.9582383065824134,0.8093995500788578,-1.2510096670770314e-05,1.2510096670770314e-05,0.1488387565035556
5.6,3,3,0.9582383065824134,0.9582383065824134,-0.0012468699694853584,0.0012468699694853584,0.0
5.6,3,4,0.9582383065824134,1.1894684086659701,4.321809129114395e-06,4.321809129114395e-06,0.23123010208355677
5.6,3,5,0.9582383065824134,1.4723614773492821,-0.0009407214984742142,0.0009407214984742142,0.5141231707668688
5.6,3,6,0.9582383065824134,1.818923626993834,1.0933869654818268e-05,1.0933869654818268e-05,0.8606853204114207
5.6,3,7,0.9582383065824134,2.23362438276503,0.0011815702345875242,0.0011815702345875242,1.2753860761826168
5.6,3,8,0.9582383065824134,2.708405079473438,-6.127354504066981e-06,6.127354504066981e-06,1.7501667728910246
5.6,4,1,1.1894684086659701,0.7224393313380941,-1.9544565628206116e-05,1.9544565628206116e-05,0.467029077327876
5.6,4,2,1.1894684086659701,0.8093995500788578,-0.0021129907402327153,0.0021129907402327153,0.38006885858711237
5.6,4,3,1.1894684086659701,0.9582383065824134,4.321809129114326e-06,4.321809129114326e-06,0.23123010208355677
5.6,4,4,1.1894684086659701,1.1894684086659701,-0.0025090956816158014,0.0025090956816158014,0.0
5.6,4,5,1.1894684086659701,1.4723614773492821,2.2958729832960054e-05,2.2958729832960054e-05,0.282893068683312
5.6,4,6,1.1894684086659701,1.818923626993834,-0.005346830285934958,0.005346830285934958,0.6294552183278639
5.6,4,7,1.1894684086659701,2.23362438276503,-2.5794502879910247e-05,2.5794502879910247e-05,1.04415597409906
5.6,4,8,1.1894684086659701,2.708405079473438,0.0041124969567657875,0.0041124969567657875,1.5189366708074679
5.6,5,1,1.4723614773492821,0.7224393313380941,-0.003980234699556885,0.003980234699556885,0.749922146011188
5.6,5,2,1.4723614773492821,0.8093995500788578,1.4257695451719593e-05,1.4257695451719593e-05,0.6629619272704244
5.6,5,3,1.4723614773492821,0.9582383065824134,-0.0009407214984742142,0.0009407214984742142,0.5141231707668688
5.6,5,4,1.4723614773492821,1.1894684086659701,2.2958729832959878e-05,2.2958729832959878e-05,0.282893068683312
5.6,5,5,1.4723614773492821,1.4723614773492821,0.001941015102384482,0.001941015102384482,0.0
5.6,5,6,1.4723614773492821,1.818923626993834,1.4528932273166115e-05,1.4528932273166115e-05,0.3465621496445519
5.6,5,7,1.4723614773492821,2.23362438276503,0.0023487157082246806,0.0023487157082246806,0.761262905415748
5.6,5,8,1.4723614773492821,2.708405079473438,1.2791156008964743e-05,1.2791156008964743e-05,1.2360436021241559
5.6,6,1,1.818923626993834,0.7224393313380941,-2.7044758781946715e-06,2.7044758781946715e-06,1.09648429565574
5.6,6,2,1.818923626993834,0.8093995500788578,-0.005301758490765463,0.005301758490765463,1.0095240769149763
5.6,6,3,1.818923626993834,0.9582383065824134,1.0933869654818284e-05,1.0933869654818284e-05,0.8606853204114207
5.6,6,4,1.818923626993834,1.1894684086659701,-0.005346830285934958,0.005346830285934958,0.6294552183278639
5.6,6,5,1.818923626993834,1.4723614773492821,1.4528932273166125e-05,1.4528932273166125e-05,0.3465621496445519
5.6,6,6,1.818923626993834,1.818923626993834,-0.001014389333703918,0.001014389333703918,0.0
5.6,6,7,1.818923626993834,2.23362438276503,1.5022444851178342e-06,1.5022444851178342e-06,0.41470075577119614
5.6,6,8,1.818923626993834,2.708405079473438,0.002127248274139176,0.002127248274139176,0.889481452479604
5.6,7,1,2.23362438276503,0.7224393313380941,-0.001521717736026406,0.001521717736026406,1.511185051426936
5.6,7,2,2.23362438276503,0.8093995500788578,-2.852097148839797e-05,2.852097148839797e-05,1.4242248326861724
5.6,7,3,2.23362438276503,0.9582383065824134,0.0011815702345875242,0.0011815702345875242,1.2753860761826168
5.6,7,4,2.23362438276503,1.1894684086659701,-2.579450287991035e-05,2.579450287991035e-05,1.04415597409906
5.6,7,5,2.23362438276503,1.4723614773492821,0.0023487157082246806,0.0023487157082246806,0.761262905415748
5.6,7,6,2.23362438276503,1.818923626993834,1.502244485117835e-06,1.502244485117835e-06,0.41470075577119614
5.6,7,7,2.23362438276503,2.23362438276503,-0.0012358557331251395,0.0012358557331251395,0.0
5.6,7,8,2.23362438276503,2.708405079473438,-1.6024546511422828e-05,1.6024546511422828e-05,0.47478069670840783
5.6,8,1,2.708405079473438,0.7224393313380941,-2.626221751880178e-05,2.626221751880178e-05,1.9859657481353439
5.6,8,2,2.708405079473438,0.8093995500788578,0.0025319035087464337,0.0025319035087464337,1.8990055293945802
5.6,8,3,2.708405079473438,0.9582383065824134,-6.127354504067001e-06,6.127354504067001e-06,1.7501667728910246
5.6,8,4,2.708405079473438,1.1894684086659701,0.0041124969567657875,0.0041124969567657875,1.5189366708074679
5.6,8,5,2.708405079473438,1.4723614773492821,1.2791156008964641e-05,1.2791156008964641e-05,1.2360436021241559
5.6,8,6,2.708405079473438,1.818923626993834,0.0021272482741391758,0.0021272482741391758,0.889481452479604
5.6,8,7,2.708405079473438,2.23362438276503,-1.6024546511422682e-05,1.6024546511422682e-05,0.47478069670840783
5.6,8,8,2.708405079473438,2.708405079473438,0.0005783187359269539,0.0005783187359269539,0.0
6.4,1,1,0.7166248225287692,0.7166248225287692,-0.0031261878770770107,0.0031261878770770107,0.0
6.4,1,2,0.7166248225287692,0.7991451524254127,1.3576230157011053e-05,1.3576230157011053e-05,0.08252032989664349
6.4,1,3,0.7166248225287692,0.9327388291448655,-0.005924187126839988,0.005924187126839988,0.21611400661609625
6.4,1,4,0.7166248225287692,1.1446432295929876,1.4870993103117347e-05,1.4870993103117347e-05,0.42801840706421834
6.4,1,5,0.7166248225287692,1.406306795510371,0.002615905669935286,0.002615905669935286,0.6896819729816017
6.4,1,6,0.7166248225287692,1.7225783475973717,5.490510298846664e-06,5.490510298846664e-06,1.0059535250686025
6.4,1,7,0.7166248225287692,2.102712458305628,-0.0029390644572649654,0.0029390644572649654,1.3860876357768588
6.4,1,8,0.7166248225287692,2.539164786404355,-2.994968904742759e-05,2.994968904742759e-05,1.8225399638755857
6.4,2,1,0.7991451524254127,0.7166248225287692,1.3576230157010982e-05,1.3576230157010982e-05,0.08252032989664349
6.4,2,2,0.7991451524254127,0.7991451524254127,0.0028611725158270533,0.0028611725158270533,0.0
6.4,2,3,0.7991451524254127,0.9327388291448655,8.024749489254903e-06,8.024749489254903e-06,0.13359367671945277
6.4,2,4,0.7991451524254127,1.1446432295929876,-0.0030485111328795275,0.0030485111328795275,0.34549807716757486
6.4,2,5,0.7991451524254127,1.406306795510371,1.920631157479127e-05,1.920631157479127e-05,0.6071616430849582
6.4,2,6,0.7991451524254127,1.7225783475973717,0.005384037050695395,0.005384037050695395,0.923433195171959
6.4,2,7,0.7991451524254127,2.102712458305628,2.4698232280067782e-05,2.4698232280067782e-05,1.3035673058802153
6.4,2,8,0.7991451524254127,2.539164786404355,-0.0011790839584259415,0.0011790839584259415,1.7400196339789422
6.4,3,1,0.9327388291448655,0.7166248225287692,-0.005924187126839988,0.005924187126839988,0.21611400661609625
6.4,3,2,0.9327388291448655,0.7991451524254127,8.024749489254848e-06,8.024749489254848e-06,0.13359367671945277
6.4,3,3,0.9327388291448655,0.9327388291448655,-0.00016200395673006645,0.00016200395673006645,0.0
6.4,3,4,0.9327388291448655,1.1446432295929876,-1.0261611730166819e-05,1.0261611730166819e-05,0.2119044004481221
6.4,3,5,0.9327388291448655,1.406306795510371,0.0003167595997467692,0.0003167595997467692,0.47356796636550547
6.4,3,6,0.9327388291448655,1.7225783475973717,1.1874368065957109e-05,1.1874368065957109e-05,0.7898395184525062
6.4,3,7,0.9327388291448655,2.102712458305628,0.0011893642041756023,0.0011893642041756023,1.1699736291607625
6.4,3,8,0.9327388291448655,2.539164786404355,-7.023208369927281e-07,7.023208369927281e-07,1.6064259572594894
6.4,4,1,1.1446432295929876,0.7166248225287692,1.4870993103117382e-05,1.4870993103117382e-05,0.42801840706421834
6.4,4,2,1.1446432295929876,0.7991451524254127,-0.0030485111328795275,0.0030485111328795275,0.34549807716757486
6.4,4,3,1.1446432295929876,0.9327388291448655,-1.026161173016682e-05,1.026161173016682e-05,0.2119044004481221
6.4,4,4,1.1446432295929876,1.1446432295929876,-0.0031473429505489716,0.0031473429505489716,0.0
6.4,4,5,1.1446432295929876,1.406306795510371,2.2550703492284015e-05,2.2550703492284015e-05,0.2616635659173834
6.4,4,6,1.1446432295929876,1.7225783475973717,0.004858093917478057,0.004858093917478057,0.5779351180043841
6.4,4,7,1.1446432295929876,2.102712458305628,1.5844379342973174e-05,1.5844379342973174e-05,0.9580692287126404
6.4,4,8,1.1446432295929876,2.539164786404355,-0.002598542045932328,0.002598542045932328,1.3945215568113674
6.4,5,1,1.406306795510371,0.7166248225287692,0.0026159056699352865,0.0026159056699352865,0.6896819729816017
6.4,5,2,1.406306795510371,0.7991451524254127,1.9206311574791435e-05,1.9206311574791435e-05,0.6071616430849582
6.4,5,3,1.406306795510371,0.9327388291448655,0.00031675959974676924,0.00031675959974676924,0.47356796636550547
6.4,5,4,1.406306795510371,1.1446432295929876,2.2550703492284116e-05,2.2550703492284116e-05,0.2616635659173834
6.4,5,5,1.406306795510371,1.406306795510371,0.0014545594423071892,0.0014545594423071892,0.0
6.4,5,6,1.406306795510371,1.7225783475973717,-5.190771031096559e-06,5.190771031096559e-06,0.31627155208700075
6.4,5,7,1.406306795510371,2.102712458305628,-0.0033795997096053346,0.0033795997096053346,0.6964056627952571
6.4,5,8,1.406306795510371,2.539164786404355,-2.2008281086859145e-05,2.2008281086859145e-05,1.132857990893984
6.4,6,1,1.7225783475973717,0.7166248225287692,5.490510298846808e-06,5.490510298846808e-06,1.0059535250686025
6.4,6,2,1.7225783475973717,0.7991451524254127,0.0053840370506953944,0.0053840370506953944,0.923433195171959
6.4,6,3,1.7225783475973717,0.9327388291448655,1.1874368065957119e-05,1.1874368065957119e-05,0.7898395184525062
6.4,6,4,1.7225783475973717,1.1446432295929876,0.004858093917478057,0.004858093917478057,0.5779351180043841
6.4,6,5,1.7225783475973717,1.406306795510371,-5.190771031096573e-06,5.190771031096573e-06,0.31627155208700075
6.4,6,6,1.7225783475973717,1.7225783475973717,4.153251718555076e-05,4.153251718555076e-05,0.0
6.4,6,7,1.7225783475973717,2.102712458305628,1.1714134621279708e-05,1.1714134621279708e-05,0.3801341107082563
6.4,6,8,1.7225783475973717,2.539164786404355,0.0015582399788093763,0.0015582399788093763,0.8165864388069832
6.4,7,1,2.102712458305628,0.7166248225287692,-0.0029390644572649654,0.0029390644572649654,1.3860876357768588
6.4,7,2,2.102712458305628,0.7991451524254127,2.469823228006785e-05,2.469823228006785e-05,1.3035673058802153
6.4,7,3,2.102712458305628,0.9327388291448655,0.0011893642041756023,0.0011893642041756023,1.1699736291607625
6.4,7,4,2.102712458305628,1.1446432295929876,1.584437934297316e-05,1.584437934297316e-05,0.9580692287126404
6.4,7,5,2.102712458305628,1.406306795510371,-0.003379599709605334,0.003379599709605334,0.6964056627952571
6.4,7,6,2.102712458305628,1.7225783475973717,1.1714134621279737e-05,1.1714134621279737e-05,0.3801341107082563
6.4,7,7,2.102712458305628,2.102712458305628,-0.0018005086608448317,0.0018005086608448317,0.0
6.4,7,8,2.102712458305628,2.539164786404355,-1.6918411605597963e-05,1.6918411605597963e-05,0.4364523280987269
6.4,8,1,2.539164786404355,0.7166248225287692,-2.994968904742765e-05,2.994968904742765e-05,1.8225399638755857
6.4,8,2,2.539164786404355,0.7991451524254127,-0.0011790839584259413,0.0011790839584259413,1.7400196339789422
6.4,8,3,2.539164786404355,0.9327388291448655,-7.023208369927254e-07,7.023208369927254e-07,1.6064259572594894
6.4,8,4,2.539164786404355,1.1446432295929876,-0.0025985420459323275,0.0025985420459323275,1.3945215568113674
