D,N,lambda_N,lambda_ref,lambda_abs_diff_vs_ref,hf_lambda_prime_diag,hf_abs_diag,weighted_rms_dD_U,weighted_std_dD_U,included_basis_coupling_power,tail_residual_coupling,tail_gap_floor_reserved_last_mode,nearest_gap_within_computed,max_offdiag_abs_A_mn,included_projector_derivative_bound,tail_projector_derivative_bound,total_projector_derivative_bound,n_eigs,reserved_tail_mode_index,fd_slope_ref_placeholder
10.4,3,0.8449575346912694,0.8449575346912837,1.4210854715202004e-14,0.0026263313064346532,0.0026263313064346532,0.21361064054860113,0.21359449463750818,4.944913642167229e-05,0.21349486321493077,7.6609833654307895,0.08561781845543526,0.003021853590163954,0.02068588631773389,0.027867814486884166,0.04855370080461806,40,40,nan
11.2,1,0.6895727290607241,0.6895727290628133,2.0892176877396196e-12,-0.0029547471467711653,0.0029547471467711653,0.24036295648889996,0.24034479466255032,5.702515348453377e-05,0.2402443041959586,7.774204786973319,0.06376854365699147,0.0030821321007180767,0.01860620315342294,0.030902749641805023,0.04950895279522796,40,40,nan
11.2,2,0.7533412727177156,0.7533412727177153,2.220446049250313e-16,0.0001380408811907392,0.0001380408811907392,0.35064399623000564,0.3506439690581649,9.917520050820506e-05,0.35050254905155825,7.710436243316327,0.06376854365699147,0.005090473975961911,0.025394498164127564,0.04545819950918938,0.07085269767331695,40,40,nan
11.2,3,0.8335422519453772,0.833542251945695,3.177458296477198e-13,0.0027193364387253023,0.0027193364387253023,0.23763666466206088,0.23762110512545345,5.29244982654679e-05,0.23752528264048717,7.6302352640886655,0.08020097922766167,0.0025998274094780026,0.01898612020011648,0.031129483485049073,0.05011560368516556,40,40,nan
12.0,1,0.6861864751124938,0.6861864751125417,4.796163466380676e-14,-0.002829576305105224,0.002829576305105224,0.22611586185400023,0.2260981567370926,4.9983116626379736e-05,0.22600530937425106,7.6052466011888376,0.06132381310185142,0.002513960153024266,0.016635631999822,0.029717025788344897,0.0463526577881669,40,40,nan
12.0,2,0.7475102882143452,0.7475102882143487,3.552713678800501e-15,-0.0002308887954782334,0.0002308887954782334,0.3449161419419095,0.34491606466277497,9.655683674073357e-05,0.3447761420622818,7.543922788086986,0.06132381310185142,0.004957436189044109,0.026626055887149613,0.04570250143688325,0.07232855732403287,40,40,nan
12.0,3,0.8228303945121627,0.8228303945121758,1.3100631690576847e-14,0.002701002572120556,0.002701002572120556,0.2565314932417347,0.2565172735118233,5.638469632633506e-05,0.2564215714960577,7.468602681789168,0.07532010629781749,0.0027469273408293627,0.01781227438368287,0.034333272557301134,0.052145546940984,40,40,nan
12.8,1,0.6830638620518137,0.6830638620519325,1.1879386363489175e-13,-0.002696544175991041,0.002696544175991041,0.21269460615350166,0.21267751206063165,4.521958598847406e-05,0.21258827790074578,7.563346906400946,0.0589900670087109,0.0025730287017597894,0.014785099481381398,0.02810769895016053,0.04289279843154193,40,40,nan
12.8,2,0.7420539290605246,0.7420539290605126,1.199040866595169e-14,-0.0005607011028147393,0.0005607011028147393,0.3380024437754762,0.3380019787108757,9.207655826616911e-05,0.33786620937869444,7.504356839392235,0.0589900670087109,0.004749172826980504,0.027426947161623423,0.04502267370937782,0.07244962087100124,40,40,nan
12.8,3,0.8131709891437326,0.8131709891437531,2.042810365310288e-14,0.002600862634015371,0.002600862634015371,0.2718731197848396,0.27186067897932703,6.216389527973806e-05,0.27175877054156317,7.4332397793090275,0.07111706008320806,0.0032466283033047542,0.017245591811334463,0.03655993599157447,0.05380552780290893,40,40,nan
13.6,1,0.6802096145824321,0.6802096145824572,2.5091040356528538e-14,-0.0025629967918953424,0.0025629967918953424,0.20000344903590336,0.1999870262634602,4.0107232421764635e-05,0.19990315753843266,7.505659837957685,0.05688257696485444,0.0026215766159265715,0.013031377735981542,0.026633655381966652,0.039665033117948195,40,40,nan
13.6,2,0.7370921915472866,0.7370921915472781,8.43769498715119e-15,-0.0008644389335031259,0.0008644389335031259,0.33029244429389154,0.33029131309037435,8.792996597107626e-05,0.33015930820084777,7.448777260992831,0.05688257696485444,0.004485491526853121,0.027739337190009834,0.04432396038069228,0.07206329757070211,40,40,nan
13.6,3,0.8047855402175816,0.8047855402175768,4.884981308350689e-15,0.002433581567168703,0.002433581567168703,0.2849359397060903,0.2849255471468795,6.526724890880317e-05,0.2848213869906611,7.381083912322536,0.06769334867029508,0.0036313016127892013,0.017329579909474323,0.038588016390812045,0.055917596300286365,40,40,nan
14.4,1,0.6775461771709872,0.6775461771711009,1.1368683772161603e-13,-0.002425745663934368,0.002425745663934368,0.18825141236113585,0.18823578303270694,3.525220661466553e-05,0.18815775840859647,7.249725055873192,0.05471157613079369,0.002596652121483023,0.011579815942721242,0.025953778516905956,0.0375335944596272,40,40,nan
14.4,2,0.7322577533017809,0.7322577533017722,8.659739592076221e-15,-0.0011132885451335009,0.0011132885451335009,0.32165136721320137,0.32164944056960054,8.283657864799411e-05,0.32152257378211213,7.195013479742399,0.05471157613079369,0.0041797558371823055,0.02770806002273489,0.04468686190614663,0.07239492192888153,40,40,nan
14.4,3,0.796744138453024,0.7967441384530398,1.5765166949677223e-14,0.0022226876802439012,0.0022226876802439012,0.2944147037328529,0.2944063135083547,6.685366823762782e-05,0.2943011452676763,7.130527094591155,0.06448638515124316,0.00384485667705189,0.018028751754529393,0.041273406771137264,0.05930215852566666,40,40,nan
15.2,1,0.6750856516280721,0.6750856516280581,1.3988810110276972e-14,-0.0022908608592520584,0.0022908608592520584,0.17728298990208796,0.17726818796712335,3.079980542556941e-05,0.17719610239279604,6.983347708773259,0.05261797678790092,0.00252468951890896,0.01037783066341361,0.025374091307265506,0.03575192197067911,40,40,nan
15.2,2,0.727703628415973,0.7277036284159792,6.217248937900877e-15,-0.001323145460100871,0.001323145460100871,0.3124280041593927,0.31242520235908133,7.75800537868481e-05,0.3123038227899791,6.930729731985357,0.05261797678790092,0.0038495093781097827,0.02732060372275147,0.045060741778559794,0.07238134550131126,40,40,nan
15.2,3,0.7893558093917079,0.7893558093917186,1.0658141036401503e-14,0.0019800512347653365,0.0019800512347653365,0.3015031368119064,0.30149663498043694,6.76227018618608e-05,0.30139097333124837,6.869077551009623,0.06165218097573488,0.00391167726402495,0.01915359972761019,0.043876484301294524,0.06303008402890471,40,40,nan
16.0,1,0.6728274944424808,0.6728274944423072,1.7363888105137448e-13,-0.0021616975881226484,0.0021616975881226484,0.1669604287871996,0.16694643405698445,2.6937541425973567e-05,0.1668797388522033,6.638107669125056,0.050690912221659445,0.0024211752045739366,0.009398004565227854,0.02513965533104996,0.034537659896277814,40,40,nan
