D,mode,E_ritz,omega_ritz,S_adapter,r_eta1,n_turning,status,z_left,z_right,component_width,U_center_minus_E,source_spectral_suspicious
10.5,2,1.0180234909057617,1.4205715367082932,3.5997241688050092,0.0007469977853136974,8,NEAREST_FORBIDDEN_ISLAND,-5.089196398799601,-1.6223741247082373,3.4668222740913635,-0.11180761495657454,False
10.75,0,0.7768500447273254,1.332985388039691,9.57695838492254,4.803520406433809e-09,6,CENTRAL_BARRIER,-5.220490163387796,5.220490163387797,10.440980326775593,0.1050372390131632,False
10.75,1,0.7773663401603699,1.333179035298849,9.5725528260146,4.846031802090207e-09,6,CENTRAL_BARRIER,-5.220490163387796,5.220490163387797,10.440980326775593,0.10452094358011876,False
10.75,2,1.0232871770858765,1.4224229951339638,3.544043297583031,0.000834993518711197,8,NEAREST_FORBIDDEN_ISLAND,-5.220490163387796,-1.869373124374789,3.3511170390130065,-0.14139989334538783,False
11.0,0,0.7794389724731445,1.3339561358879626,9.483337120454802,5.7926599836009096e-09,6,CENTRAL_BARRIER,-5.340780260086696,5.340780260086696,10.681560520173392,0.07936877136270437,False
11.0,1,0.7799288630485535,1.3341397464465832,9.478704622662837,5.846578343756451e-09,6,CENTRAL_BARRIER,-5.340780260086696,5.340780260086696,10.681560520173392,0.07887888078729544,False
11.0,2,1.028639793395996,1.424303265950056,3.48419229286313,0.0009411720612548577,8,NEAREST_FORBIDDEN_ISLAND,-5.340780260086696,-2.097032344114705,3.2437479159719906,-0.1698320495601472,False
11.25,0,0.7821273803710938,1.3349634378405626,9.389664423772762,6.986201500217418e-09,6,CENTRAL_BARRIER,-5.475241747249083,5.475241747249086,10.950483494498169,0.05475737382495649,False
11.25,1,0.7825554013252258,1.335123740080007,9.385084452827979,7.0504886839234864e-09,6,CENTRAL_BARRIER,-5.475241747249083,5.475241747249086,10.950483494498169,0.05432935287082441,False
11.25,2,1.0340921878814697,1.42621603829205,3.4302326966239844,0.0010484258887408168,8,NEAREST_FORBIDDEN_ISLAND,-5.462404134711569,-2.3043514504834945,3.1580526842280747,-0.1972074336854195,False
11.5,0,0.7849180102348328,1.3360082373379412,9.245252287458912,9.3255809329453e-09,6,CENTRAL_BARRIER,-5.59836612204068,5.59836612204068,11.19673224408136,0.031116621420349877,False
11.5,1,0.785247266292572,1.3361314554685748,9.24112091724671,9.40295500823881e-09,6,CENTRAL_BARRIER,-5.59836612204068,5.59836612204068,11.19673224408136,0.03078736536261062,False
11.5,2,1.0396851301193237,1.4281754549491892,3.3935292445659253,0.0011282827537143043,8,NEAREST_FORBIDDEN_ISLAND,-5.59836612204068,-2.5033344448149393,3.095031677225741,-0.2236504984641411,False
11.75,0,0.7878057956695557,1.3370885519177687,9.04102174739571,1.4030343010202857e-08,6,CENTRAL_BARRIER,-5.7228242747582545,5.722824274758253,11.445648549516507,0.008375698541558063,False
11.75,1,0.7880070209503174,1.3371637973525596,9.037643989656729,1.412544608302508e-08,6,CENTRAL_BARRIER,-5.7228242747582545,5.722824274758253,11.445648549516507,0.008174473260796344,False
11.75,2,1.0454803705215454,1.4302029123594824,3.3502328464397846,0.0012303388092181572,8,NEAREST_FORBIDDEN_ISLAND,2.6934811603867956,5.722824274758253,3.029343114371457,-0.24929887631043168,False
12.0,0,0.7907713055610657,1.3381970354028834,4.365937924691122,0.00016135948605890346,8,NEAREST_FORBIDDEN_ISLAND,-5.8486162054018,-0.7402467489163058,5.1083694564854945,-0.013514925457172033,False
12.0,1,0.790840744972229,1.3382229802884977,4.365422256126774,0.00016152598793296724,8,NEAREST_FORBIDDEN_ISLAND,-5.8486162054018,-0.7402467489163058,5.1083694564854945,-0.013584364868335363,False
12.0,2,1.0515344142913818,1.4323178468103306,3.3089164789158394,0.001336323679907606,8,NEAREST_FORBIDDEN_ISLAND,-5.8486162054018,-2.887629209736577,2.9609869956652233,-0.2742780341874882,False
12.25,0,0.7937293648719788,1.3393018199315563,4.257355789280045,0.00020049693892120802,8,NEAREST_FORBIDDEN_ISLAND,-5.962237412470824,-1.2086528842947644,4.753584528176059,-0.03453288204645877,False
12.25,1,0.7938101291656494,1.339331971232543,4.256878153131962,0.00020068855960281816,8,NEAREST_FORBIDDEN_ISLAND,-5.962237412470824,-1.2086528842947644,4.753584528176059,-0.03461364634012942,False
12.25,2,1.0578818321228027,1.4345319209145548,3.261540496440444,0.001469135725577741,8,NEAREST_FORBIDDEN_ISLAND,-5.962237412470824,-3.072274091363788,2.889963321107036,-0.29868534929728274,False
12.5,0,0.79668128490448,1.3404034037947232,4.184791118067749,0.00023181237634636965,8,NEAREST_FORBIDDEN_ISLAND,-6.090530176725576,-1.5516838946315445,4.538846282094031,-0.05473680016079818,False
12.5,1,0.7968978881835938,1.3404841991547658,4.183655254956977,0.00023233958921510913,8,NEAREST_FORBIDDEN_ISLAND,-6.090530176725576,-1.5516838946315445,4.538846282094031,-0.05495340343991195,False
12.5,2,1.064544916152954,1.4368524336733242,3.228359941511111,0.001569936850531578,8,NEAREST_FORBIDDEN_ISLAND,-6.090530176725576,-3.246915638546181,2.843614538179395,-0.3226004314092723,False
12.75,0,0.7996772527694702,1.341520500316514,4.123796831492117,0.00026188799044920343,8,NEAREST_FORBIDDEN_ISLAND,1.8335278426142025,6.220156718906299,4.386628876292097,-0.074229277866949,False
12.75,1,0.8000742793083191,1.3416684684780809,4.12182165641032,0.00026292458582444466,8,NEAREST_FORBIDDEN_ISLAND,1.8335278426142025,6.220156718906299,4.386628876292097,-0.07462630440579787,False
