seed,D,max_abs_corr_offdiag,max_strong_residual_l2_over_rms_u,gram_ok,residual_ok,E0_ritz,omega0_ritz,residual0_l2_over_rms_u,E1_ritz,omega1_ritz,residual1_l2_over_rms_u,E2_ritz,omega2_ritz,residual2_l2_over_rms_u
404,12.75,0.02525104396045208,0.11767999827861786,True,True,0.795314371585846,1.3398934179948216,0.05898426100611687,0.7994176745414734,1.3414237490597345,0.08627142757177353,1.064564824104309,1.436859361282206,0.11767999827861786
404,14.25,0.05368747562170029,0.11149703711271286,True,True,0.8169229030609131,1.3479328258711236,0.07398758083581924,0.8199914693832397,1.3490705946625772,0.07843349874019623,1.1019837856292725,1.4498219841171096,0.11149703711271286
404,15.75,0.020312422886490822,0.07671668380498886,True,True,0.8400121331214905,1.356470468945598,0.07671668380498886,0.844746470451355,1.3582144419977853,0.07543013989925385,1.0246644020080566,1.4229070250750948,0.06755847483873367
404,17.25,0.01424450520426035,0.08316164463758469,True,True,0.8696633577346802,1.3673563389748409,0.08197367936372757,0.8738486170768738,1.3688859036007617,0.08316164463758469,0.9595168828964233,1.3998274475435974,0.06907913088798523
505,6.75,0.00658220611512661,0.073801189661026,True,True,0.7445871233940125,1.3208281960171855,0.05458316579461098,0.7515807747840881,1.323472997376255,0.07347302883863449,0.9556125998497009,1.3984321935116129,0.073801189661026
505,8.25,0.009327833540737629,0.07683778554201126,True,True,0.754167914390564,1.3244500422403873,0.049481626600027084,0.7613482475280762,1.3271579587705737,0.06925805658102036,0.9776830077171326,1.4063011795903226,0.07683778554201126
505,9.75,0.01987822726368904,0.08307932317256927,True,True,0.7660472393035889,1.328927100823664,0.04867962375283241,0.7736977934837341,1.3318024603835714,0.07257117331027985,1.0051064491271973,1.416017813845291,0.08307932317256927
505,11.25,0.011084240861237049,0.10246510058641434,True,True,0.7806886434555054,1.3344244615022258,0.054148487746715546,0.7886568903923035,1.3374067782063555,0.07870521396398544,1.037276029586792,1.427331786791982,0.10246510058641434
505,12.75,0.02427443116903305,0.11522217839956284,True,True,0.797880232334137,1.3408505630136929,0.05855104699730873,0.8071364164352417,1.3442977409916457,0.08605700731277466,1.0752428770065308,1.4405703304616997,0.11522217839956284
505,14.25,0.053122349083423615,0.1072840690612793,True,True,0.8205501437187195,1.349277637744997,0.06941463053226471,0.8288640975952148,1.3523550190668185,0.0809570699930191,1.1061803102493286,1.4512685176249531,0.1072840690612793
505,15.75,0.02433169260621071,0.07490944862365723,True,True,0.8438594937324524,1.3578878796618123,0.07490944862365723,0.8543762564659119,1.361754844480427,0.07473846524953842,1.0220515727996826,1.4219885979851183,0.06608208268880844
505,17.25,0.018762940540909767,0.0838291272521019,True,True,0.8733461499214172,1.3687023598728165,0.0838291272521019,0.8838706016540527,1.3725416575295821,0.07858441025018692,0.9567961096763611,1.3988552854660703,0.06957555562257767
